zone_id,GEOID,y_coord,x_coord,geometry
1,6001442700,37.5371513,-122.0081095,Point (-122.00810968 37.53715137)
2,6001442800,37.5293619,-121.9931002,Point (-121.99310043 37.52936188)
3,6001442900,37.5184093,-121.9748369,Point (-121.9748375 37.51840949)
4,6095253502,38.1311499,-121.8217361,Point (-121.8042627 38.13145739)
5,6095252204,38.239549,-122.1785353,Point (-122.18241238 38.2387719)
6,6095252203,38.2685187,-122.143077,Point (-122.14392899 38.27427729)
7,6095253501,38.2466064,-121.7607697,Point (-121.76126653 38.24625445)
8,6095252205,38.1513389,-122.1368881,Point (-122.1334001 38.1582146)
9,6095252206,38.1738614,-122.1668369,Point (-122.16498419 38.1775589)
10,6095253207,38.3786708,-121.9871789,Point (-121.98752536 38.37900211)
11,6095253208,38.3772973,-121.9802182,Point (-121.9802183 38.37729861)
12,6087120901,37.0781624,-122.0154263,Point (-122.01542219 37.07816301)
13,6087120902,37.0628452,-122.0106243,Point (-122.01062257 37.06284678)
14,6001443001,37.5184218,-121.9515237,Point (-121.95152383 37.51842189)
15,6001443002,37.5168344,-121.9605916,Point (-121.96059175 37.51683446)
16,6001443102,37.5072245,-121.9271486,Point (-121.92714881 37.50722471)
17,6001443301,37.4707721,-121.9130472,Point (-121.91304742 37.47077241)
18,6001444100,37.550978,-122.0361606,Point (-122.03633519 37.55123296)
19,6001444200,37.5425433,-122.045728,Point (-122.04572827 37.54254344)
20,6001444400,37.5362315,-122.035338,Point (-122.03533765 37.53623157)
21,6001444500,37.5342653,-122.0273658,Point (-122.02736533 37.53426559)
22,6001450200,37.7224277,-121.9154123,Point (-121.9154125 37.72242794)
23,6001450300,37.7106517,-121.9177272,Point (-121.91772792 37.71065201)
24,6087121601,36.9564718,-121.9752387,Point (-121.97503865 36.95722921)
25,6087122401,37.0209038,-121.7807608,Point (-121.78253634 37.02035011)
26,6087121602,36.9666133,-121.9601595,Point (-121.96214694 36.96509833)
27,6087110503,36.92759,-121.7705127,Point (-121.77051284 36.92759007)
28,6087110506,36.921837,-121.7774079,Point (-121.7774079 36.92183711)
29,6087110202,36.9290901,-121.75468,Point (-121.75467992 36.92909012)
30,6087110505,36.9197951,-121.765771,Point (-121.76577115 36.91979512)
