zone_id,geometry
1001,Point (-121.83310545 37.37112581)
1002,Point (-121.82864032 37.35855477)
1003,Point (-121.8355767 37.35474209)
1004,Point (-121.8218469 37.36934734)
1005,Point (-121.81633388 37.36402995)
1006,Point (-121.82244214 37.38450508)
1007,Point (-121.79315507 37.37631567)
1008,Point (-121.85381904 37.39063034)
1009,Point (-121.82134555 37.41185772)
1010,Point (-121.89061827 37.39547565)
1011,Point (-121.88591445 37.37738139)
1012,Point (-121.85608758 37.4016737)
1013,Point (-121.86079719 37.40916181)
1014,Point (-121.871908 37.38706767)
1015,Point (-121.87767123 37.38266571)
1016,Point (-121.89699043 37.3767802)
1017,Point (-121.86844679 37.37362483)
1018,Point (-121.87248318 37.40266936)
1019,Point (-121.86592712 37.39289914)
1020,Point (-121.88017485 37.40932965)
1021,Point (-121.86609747 37.41602405)
1022,Point (-121.88288229 37.43930211)
1023,Point (-121.90594247 37.4370279)
1024,Point (-121.89783669 37.4402641)
1025,Point (-121.87062813 37.42586658)
1026,Point (-121.87767686 37.42041154)
1027,Point (-121.84951759 37.43346105)
1028,Point (-121.88175403 37.43178903)
1029,Point (-121.86998724 37.46041058)
1030,Point (-121.90201478 37.45134244)
1031,Point (-121.90789424 37.45858735)
1032,Point (-121.89774763 37.42158792)
1033,Point (-121.90355415 37.40909963)
1034,Point (-121.91735977 37.45027479)
1035,Point (-121.91397775 37.43565098)
1036,Point (-122.08932506 37.43736935)
1037,Point (-121.98890579 37.43723678)
1038,Point (-122.05097824 37.41638549)
1039,Point (-121.99245205 37.40032666)
1040,Point (-122.02088841 37.40092626)
1041,Point (-122.00473849 37.40296097)
1042,Point (-122.00318528 37.3957922)
1043,Point (-121.9524346 37.3960029)
1044,Point (-121.97244975 37.40037924)
1045,Point (-121.94619522 37.41198514)
1046,Point (-121.92248476 37.39342119)
1047,Point (-121.94942181 37.38507384)
1048,Point (-121.9252902 37.3628143)
1049,Point (-121.9619924 37.37008059)
1050,Point (-121.93435037 37.34690544)
1051,Point (-121.9861248 37.36752925)
1052,Point (-121.97381454 37.36019583)
1053,Point (-121.96531173 37.35824975)
1054,Point (-121.98280623 37.35919954)
1055,Point (-121.9919564 37.35884055)
1056,Point (-121.98851709 37.34865313)
1057,Point (-121.97470777 37.34584416)
1058,Point (-121.98754932 37.34154844)
1059,Point (-121.96322712 37.3468829)
1060,Point (-121.94745059 37.35071868)
1061,Point (-121.94550951 37.34288386)
1062,Point (-121.94512577 37.33150363)
1063,Point (-121.95828384 37.33014745)
1064,Point (-121.96342244 37.33772011)
1065,Point (-121.9859939 37.33399386)
1066,Point (-121.9726692 37.33128767)
1067,Point (-121.98719001 37.32669144)
1068,Point (-121.99167947 37.30093489)
1069,Point (-121.98424454 37.32064684)
1070,Point (-121.9877937 37.31360093)
1071,Point (-121.96269215 37.31961112)
1072,Point (-121.95809092 37.3088019)
1073,Point (-121.97167997 37.3121317)
1074,Point (-121.97285329 37.30428512)
1075,Point (-121.94647022 37.31622616)
1076,Point (-121.94636745 37.30147373)
1077,Point (-121.95722307 37.29784911)
1078,Point (-121.94924837 37.27840151)
1079,Point (-121.95576188 37.28551408)
1080,Point (-121.98367324 37.29259778)
1081,Point (-121.97044736 37.28203153)
1082,Point (-121.98794889 37.28057139)
1083,Point (-121.97057109 37.29716569)
1084,Point (-121.96969488 37.29003759)
1085,Point (-121.98061275 37.27047549)
1086,Point (-121.96367603 37.27419774)
1087,Point (-121.96829378 37.26452071)
1088,Point (-121.95762526 37.2421267)
1089,Point (-121.93721595 37.24681788)
1090,Point (-121.91552241 37.24272886)
1091,Point (-121.93515715 37.23966581)
1092,Point (-121.93328878 37.22755854)
1093,Point (-121.99443498 37.2210948)
1094,Point (-121.94965976 37.20925644)
1095,Point (-121.97644856 37.23587755)
1096,Point (-121.9656774 37.25113634)
1097,Point (-121.98231243 37.25729697)
1098,Point (-121.98697545 37.24339281)
1099,Point (-122.00913681 37.2588618)
1100,Point (-122.03050556 37.23817823)
1101,Point (-122.01957953 37.28795357)
1102,Point (-122.00075088 37.28173748)
1103,Point (-122.02517798 37.27413736)
1104,Point (-122.0539495 37.27104205)
1105,Point (-122.05068394 37.32014311)
1106,Point (-122.06083213 37.29871191)
1107,Point (-122.07705166 37.31328651)
1108,Point (-122.05376481 37.33304572)
1109,Point (-122.04194366 37.3285196)
1110,Point (-122.04186787 37.31224626)
1111,Point (-122.0391543 37.30212812)
1112,Point (-122.01148327 37.30242276)
1113,Point (-122.00312949 37.30176757)
1114,Point (-122.02935123 37.30242675)
1115,Point (-122.02050027 37.30168347)
1116,Point (-122.02394315 37.31637926)
1117,Point (-122.00594622 37.31650978)
1118,Point (-122.02468759 37.33002185)
1119,Point (-122.00639398 37.33023875)
1120,Point (-122.00629067 37.34476211)
1121,Point (-122.02801929 37.34484272)
1122,Point (-122.01917977 37.34434653)
1123,Point (-122.0584205 37.34454242)
1124,Point (-122.04708956 37.34462631)
1125,Point (-122.03813338 37.34458585)
1126,Point (-122.05742605 37.36241232)
1127,Point (-122.04266133 37.35540195)
1128,Point (-122.04285994 37.36441941)
1129,Point (-122.02725525 37.35711185)
1130,Point (-122.0216635 37.36224427)
1131,Point (-122.01131594 37.35859966)
1132,Point (-122.00253675 37.35971697)
1133,Point (-122.04234194 37.3758077)
1134,Point (-122.03015925 37.37261098)
1135,Point (-122.01209211 37.36957303)
1136,Point (-122.00616671 37.37992632)
1137,Point (-122.02616515 37.38505509)
1138,Point (-122.00779247 37.3909077)
1139,Point (-122.02305668 37.39220094)
1140,Point (-122.03971756 37.39152067)
1141,Point (-122.0637119 37.37861637)
1142,Point (-122.05185971 37.37844068)
1143,Point (-122.0578253 37.37933131)
1144,Point (-122.05822079 37.40018783)
1145,Point (-122.06083135 37.39133175)
1146,Point (-122.07565425 37.40109476)
1147,Point (-122.08508135 37.4058362)
1148,Point (-122.10172859 37.40922598)
1149,Point (-122.09329009 37.4060747)
1150,Point (-122.09644763 37.41754628)
1151,Point (-122.1155575 37.40693604)
1152,Point (-122.09799067 37.39801622)
1153,Point (-122.10676499 37.40183951)
1154,Point (-122.09081443 37.39430297)
1155,Point (-122.08170745 37.39079888)
1156,Point (-122.0744415 37.38530006)
1157,Point (-122.09448395 37.38405443)
1158,Point (-122.08364724 37.37862467)
1159,Point (-122.08743121 37.36937086)
1160,Point (-122.07311434 37.36990775)
1161,Point (-122.0808617 37.35819865)
1162,Point (-122.07302652 37.34624699)
1163,Point (-122.08129906 37.34064056)
1164,Point (-122.10277954 37.37171523)
1165,Point (-122.11256423 37.37738646)
1166,Point (-122.10879325 37.39122466)
1167,Point (-122.12124175 37.39268189)
1168,Point (-122.13133591 37.40866559)
