id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
47_1000035,,47,1000035,349.78386614520764,1,1,1,999999,-1,,"LINESTRING (-122.0541352 37.9256927, -122.056015 37.928463)",walk,1,True
66_1000047,,66,1000047,368.436985342453,1,1,1,999999,-1,,"LINESTRING (-121.9388552 37.4990214, -121.939358 37.502307)",walk,1,True
67_1000046,,67,1000046,655.1880566943728,1,1,1,999999,-1,,"LINESTRING (-122.0108429 37.5937696, -122.01723 37.590765)",walk,1,True
68_1000046,,68,1000046,387.3111912620373,1,1,1,999999,-1,,"LINESTRING (-122.0142011 37.5882461, -122.01723 37.590765)",walk,1,True
70_1000041,,70,1000041,930.4891353316137,1,1,1,999999,-1,,"LINESTRING (-122.1508066 37.7247163, -122.160713 37.721806)",walk,1,True
73_1000020,,73,1000020,517.8350775144338,1,1,1,999999,-1,,"LINESTRING (-121.9723074 37.5543457, -121.976605 37.557513)",walk,1,True
77_1000023,,77,1000023,707.2155074537948,1,1,1,999999,-1,,"LINESTRING (-122.0945904 37.6678078, -122.086941 37.669731)",walk,1,True
86_1000008,,86,1000008,951.4236313486042,1,1,1,999999,-1,,"LINESTRING (-122.1226567 37.7049461, -122.126431 37.696938)",walk,1,True
87_1000008,,87,1000008,323.9301840139538,1,1,1,999999,-1,,"LINESTRING (-122.123894 37.6948314, -122.126431 37.696938)",walk,1,True
88_1000023,,88,1000023,622.8755067102026,1,1,1,999999,-1,,"LINESTRING (-122.087795 37.6641766, -122.086941 37.669731)",walk,1,True
90_1000025,,90,1000025,562.5483247187724,1,1,1,999999,-1,,"LINESTRING (-122.2651075 37.8024095, -122.265232 37.797357)",walk,1,True
90_1000001,,90,1000001,582.2054759483067,1,1,1,999999,-1,,"LINESTRING (-122.2651075 37.8024095, -122.271589 37.803471)",walk,1,True
90_1000003,,90,1000003,704.7835342360034,1,1,1,999999,-1,,"LINESTRING (-122.2651075 37.8024095, -122.268722 37.80806)",walk,1,True
96_1000041,,96,1000041,269.96870667222186,1,1,1,999999,-1,,"LINESTRING (-122.1576682 37.7215214, -122.160713 37.721806)",walk,1,True
97_1000003,,97,1000003,797.2226649520788,1,1,1,999999,-1,,"LINESTRING (-122.2597833 37.8092493, -122.268722 37.80806)",walk,1,True
98_1000025,,98,1000025,421.63050078153555,1,1,1,999999,-1,,"LINESTRING (-122.2667344 37.7937603, -122.265232 37.797357)",walk,1,True
99_1000025,,99,1000025,173.0069192815873,1,1,1,999999,-1,,"LINESTRING (-122.266955 37.7981065, -122.265232 37.797357)",walk,1,True
99_1000001,,99,1000001,723.0175639440932,1,1,1,999999,-1,,"LINESTRING (-122.266955 37.7981065, -122.271589 37.803471)",walk,1,True
102_1000003,,102,1000003,242.8123074371376,1,1,1,999999,-1,,"LINESTRING (-122.2707403 37.8095483, -122.268722 37.80806)",walk,1,True
102_1000001,,102,1000001,680.6274862957747,1,1,1,999999,-1,,"LINESTRING (-122.2707403 37.8095483, -122.271589 37.803471)",walk,1,True
103_1000001,,103,1000001,431.08726865638823,1,1,1,999999,-1,,"LINESTRING (-122.2735577 37.8070174, -122.271589 37.803471)",walk,1,True
103_1000003,,103,1000003,440.8548698346279,1,1,1,999999,-1,,"LINESTRING (-122.2735577 37.8070174, -122.268722 37.80806)",walk,1,True
