name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
12TH,1000001,1000001,-122.271589,37.803471,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.271589 37.803471),0,,
16TH,1000002,1000002,-122.419755,37.765176,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.419755 37.765176),0,,
19TH,1000003,1000003,-122.268722,37.80806,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.268722 37.80806),0,,
24TH,1000004,1000004,-122.418518,37.752422,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.418518 37.752422),0,,
ANTC,1000005,1000005,-121.780353,37.995415,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-121.780353 37.995415),1,,
ASHB,1000006,1000006,-122.26975,37.853069,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.26975 37.853069),0,,
BALB,1000007,1000007,-122.44751,37.721758,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.44751 37.721758),0,,
BAYF,1000008,1000008,-122.126431,37.696938,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.126431 37.696938),0,,
BERY,1000009,1000009,-121.874661,37.368495,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-121.874661 37.368495),1,,
CAST,1000010,1000010,-122.075615,37.690776,1,12,metro_station,,,,Bay Area Rapid Transit,POINT (-122.075615 37.690776),0,,
CIVC,1000011,1000011,-122.413879,37.77945,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.413879 37.77945),0,,
COLM,1000012,1000012,-122.466167,37.684642,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.466167 37.684642),0,,
COLS,1000013,1000013,-122.196698,37.753604,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.196698 37.753604),0,,
CONC,1000014,1000014,-122.029126,37.973773,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.029126 37.973773),0,,
DALY,1000015,1000015,-122.468994,37.706304,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.468994 37.706304),1,,
DBRK,1000016,1000016,-122.268078,37.870117,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.268078 37.870117),0,,
DELN,1000017,1000017,-122.316868,37.925205,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.316868 37.925205),0,,
DUBL,1000018,1000018,-121.899242,37.701692,1,12,metro_station,,,,Bay Area Rapid Transit,POINT (-121.899242 37.701692),1,,
EMBR,1000019,1000019,-122.39708,37.792789,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.39708 37.792789),0,,
FRMT,1000020,1000020,-121.976605,37.557513,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-121.976605 37.557513),0,,
FTVL,1000021,1000021,-122.224067,37.774873,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.224067 37.774873),0,,
GLEN,1000022,1000022,-122.433557,37.733269,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.433557 37.733269),0,,
HAYW,1000023,1000023,-122.086941,37.669731,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.086941 37.669731),0,,
LAFY,1000024,1000024,-122.124644,37.89322,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.124644 37.89322),0,,
LAKE,1000025,1000025,-122.265232,37.797357,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.265232 37.797357),0,,
MCAR,1000026,1000026,-122.267163,37.828814,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.267163 37.828814),0,,
MLBR,1000027,1000027,-122.38684,37.600199,1,8,metro_station,,,,Bay Area Rapid Transit,POINT (-122.38684 37.600199),1,,
MLPT,1000028,1000028,-121.890803,37.409836,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-121.890803 37.409836),0,,
MONT,1000029,1000029,-122.401642,37.789213,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.401642 37.789213),0,,
NBRK,1000030,1000030,-122.283508,37.874032,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.283508 37.874032),0,,
NCON,1000031,1000031,-122.024561,38.003407,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.024561 38.003407),0,,
OAKL,1000032,1000032,-122.212237,37.713256,1,19,metro_station,,,,Bay Area Rapid Transit,POINT (-122.212237 37.713256),1,,
ORIN,1000033,1000033,-122.183717,37.878503,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.183717 37.878503),0,,
PCTR,1000034,1000034,-121.889011,38.016873,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-121.889011 38.016873),0,,
PHIL,1000035,1000035,-122.056015,37.928463,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.056015 37.928463),0,,
PITT,1000036,1000036,-121.944248,38.01895,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-121.944248 38.01895),1,,
PLZA,1000037,1000037,-122.298895,37.902633,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.298895 37.902633),0,,
POWL,1000038,1000038,-122.407387,37.784645,1,5,metro_station,,,,Bay Area Rapid Transit,POINT (-122.407387 37.784645),0,,
RICH,1000039,1000039,-122.353004,37.936795,1,4,metro_station,,,,Bay Area Rapid Transit,POINT (-122.353004 37.936795),1,,
ROCK,1000040,1000040,-122.251271,37.844795,1,1,metro_station,,,,Bay Area Rapid Transit,POINT (-122.251271 37.844795),0,,
