stopSequence,stopId,scheduleRelationship,arrival_delay,arrival_time,departure_delay,departure_time,trip_id,route_id,direction_id,start_date,vehicle_id,entity_id,feed_timestamp
1,7845,SCHEDULED,0.0,2025-10-04 00:17:00,0.0,2025-10-04 00:17:00,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
2,7846,SCHEDULED,19.0,2025-10-04 00:19:19,19.0,2025-10-04 00:19:19,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
3,7946,SCHEDULED,20.0,2025-10-04 00:21:20,20.0,2025-10-04 00:21:20,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
4,48,SCHEDULED,11.0,2025-10-04 00:23:11,11.0,2025-10-04 00:23:11,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
5,61,SCHEDULED,-29.0,2025-10-04 00:25:31,-29.0,2025-10-04 00:25:31,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
6,2837,SCHEDULED,0.0,2025-10-04 00:28:00,0.0,2025-10-04 00:28:00,22788150,I10E,1,20251003,7311,RT|22788150|22788150,2025-10-03 23:59:07
7,5068,SCHEDULED,-3.0,2025-10-03 23:59:57,0.0,2025-10-04 00:00:00,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
8,5061,SCHEDULED,-11.0,2025-10-04 00:01:49,-11.0,2025-10-04 00:01:49,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
9,9505,SCHEDULED,0.0,2025-10-04 00:05:00,0.0,2025-10-04 00:05:00,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
10,9375,SCHEDULED,16.0,2025-10-04 00:06:16,16.0,2025-10-04 00:06:16,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
11,9548,SCHEDULED,-7.0,2025-10-04 00:07:53,-7.0,2025-10-04 00:07:53,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
12,8066,SCHEDULED,10.0,2025-10-04 00:09:10,10.0,2025-10-04 00:09:10,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
13,8067,SCHEDULED,-33.0,2025-10-04 00:10:27,-33.0,2025-10-04 00:10:27,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
14,30012,SCHEDULED,-17.0,2025-10-04 00:12:43,-17.0,2025-10-04 00:12:43,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
15,4445,SCHEDULED,-12.0,2025-10-04 00:13:48,-12.0,2025-10-04 00:13:48,22562547,112,1,20251003,6798,RT|22562547|22562547,2025-10-03 23:59:07
