id,vehicle_trip_tripId,vehicle_trip_routeId,vehicle_trip_directionId,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_currentStopSequence,vehicle_currentStatus,vehicle_stopId,vehicle_timestamp,header_timestamp
RTVP:T:22788071,22788071,0,1.0,5247,Dobbins+Central,33.50232,-112.07393,181.0,26386.0,2.68224,22.0,INCOMING_AT,4509,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22788074,22788074,0,1.0,5229,Dobbins+Central,33.39539,-112.07341,180.0,61633.0,7.15264,51.0,IN_TRANSIT_TO,5048,2025-10-04 00:21:11,2025-10-04 00:21:46
RTVP:T:22788109,22788109,0,1.0,5306,Baseline+Central,33.531456,-112.07373,179.0,15622.0,3.12928,12.0,INCOMING_AT,4529,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22788108,22788108,0,1.0,5285,Baseline+Central,33.454113,-112.0752,169.0,44181.0,3.57632,36.0,INCOMING_AT,3781,2025-10-04 00:21:40,2025-10-04 00:21:46
RTVP:T:22788107,22788107,0,1.0,5164,Baseline+Central,33.376457,-112.06957,358.0,72602.0,0.0,,,,2025-10-04 00:21:16,2025-10-04 00:21:46
RTVP:T:22786501,22786501,0,0.0,5232,Dunlap+3rd St,33.441814,-112.07378,0.0,23283.0,0.0,19.0,IN_TRANSIT_TO,4979,2025-10-04 00:18:56,2025-10-04 00:21:46
RTVP:T:22786505,22786505,0,0.0,5275,Dunlap+3rd St,33.538673,-112.073654,21.0,60420.0,0.0,47.0,INCOMING_AT,2824,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:T:22786503,22786503,0,0.0,5133,Dunlap+3rd St,33.374462,-112.07312,341.0,3985.0,0.0,5.0,INCOMING_AT,3300,2025-10-04 00:21:34,2025-10-04 00:21:46
RTVP:T:22788045,22788045,0,0.0,5637,Dunlap+3rd St,33.481186,-112.07363,349.0,44697.0,4.02336,33.0,INCOMING_AT,2804,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22786508,22786508,0,0.0,5284,Dunlap+3rd St,33.55293,-112.073875,14.0,71039.0,7.15264,54.0,INCOMING_AT,2818,2025-10-04 00:21:32,2025-10-04 00:21:46
RTVP:T:22788307,22788307,ALEX,1.0,3008,Desert Foothills via Pecos PNR,33.33085,-111.983185,93.0,15206.0,14.75232,12.0,IN_TRANSIT_TO,4935,2025-10-04 00:21:30,2025-10-04 00:21:46
RTVP:T:22788297,22788297,ALEX,0.0,3007,51st St+Elliot via Pecos PNR,33.307587,-111.98037,359.0,57883.0,13.4112,35.0,INCOMING_AT,7550,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22788423,22788423,DASH,1.0,5209,State Capitol,33.4492,-112.097176,269.0,5941.0,4.02336,1.0,IN_TRANSIT_TO,1444,2025-10-04 00:21:17,2025-10-04 00:21:46
RTVP:T:22788361,22788361,DASH,0.0,5265,4th Av+Washington,33.448013,-112.077705,0.0,7108.0,0.0,10.0,INCOMING_AT,7840,2025-10-04 00:21:25,2025-10-04 00:21:46
RTVP:T:22561226,22561226,DBUZ,0.0,1667,Main+Centennial,33.43343,-111.844635,7.0,15303.0,0.89408,13.0,INCOMING_AT,210,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22561222,22561222,DBUZ,0.0,1670,Main+Centennial,33.41719,-111.82901,101.0,28686.0,3.57632,1.0,INCOMING_AT,9585,2025-10-04 00:21:18,2025-10-04 00:21:46
RTVP:T:22803363,22803363,67,0.0,5184,Union Hills+67th Ave,33.422485,-112.221344,175.0,0.0,0.0,1.0,IN_TRANSIT_TO,9209,2025-10-04 00:21:16,2025-10-04 00:21:46
RTVP:T:22803284,22803284,43,0.0,5197,Union Hills+43rd Ave,33.465874,-112.16851,86.0,270.0,0.0,1.0,INCOMING_AT,20076,2025-10-04 00:21:35,2025-10-04 00:21:46
RTVP:T:22786434,22786434,186,1.0,5301,51st Ave+Union Hills,33.65534,-111.92619,269.0,284.0,0.0,1.0,INCOMING_AT,8403,2025-10-04 00:21:23,2025-10-04 00:21:46
RTVP:T:22785872,22785872,16,1.0,5656,Baseline Rd+16th St,33.55274,-112.04809,178.0,60.0,0.0,1.0,INCOMING_AT,3708,2025-10-04 00:21:11,2025-10-04 00:21:46
RTVP:V:5125,,,,5125,,33.50915,-112.02947,359.0,26525.0,0.0,,,,2025-10-04 00:21:40,2025-10-04 00:21:46
RTVP:T:22803971,22803971,75,0.0,5241,Camelback+75th Ave,33.409027,-112.22132,0.0,4177.0,0.0,1.0,IN_TRANSIT_TO,20127,2025-10-04 00:18:42,2025-10-04 00:21:46
RTVP:T:22803967,22803967,75,0.0,5343,Camelback+75th Ave,33.422455,-112.22114,2.0,136.0,1.34112,2.0,IN_TRANSIT_TO,1380,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:T:22563296,22563296,140,1.0,6876,48th St+Ray Rd,33.33056,-111.788414,100.0,73.0,0.0,1.0,IN_TRANSIT_TO,30159,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22786808,22786808,19,1.0,5203,27th Ave+Baseline,33.712017,-112.108986,181.0,461.0,0.0,1.0,INCOMING_AT,20126,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:T:22788261,22788261,SMRT,0.0,3015,15th St+Cinnabar,33.58642,-112.10162,183.0,720.0,0.0,1.0,INCOMING_AT,40339,2025-10-04 00:21:20,2025-10-04 00:21:46
RTVP:T:22803274,22803274,29,0.0,5024,44th St+Thomas Rd,33.47933,-112.228325,179.0,18104.0,0.0,1.0,STOPPED_AT,9580,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:T:22804315,22804315,3,1.0,5342,35th Ave+Van Buren,33.44732,-111.98983,269.0,1607.0,0.0,1.0,IN_TRANSIT_TO,6122,2025-10-04 00:21:30,2025-10-04 00:21:46
RTVP:V:5616,,,,5616,,33.4473,-111.99001,91.0,1625.0,0.0,,,,2025-10-04 00:21:26,2025-10-04 00:21:46
RTVP:T:22804250,22804250,3,0.0,5274,44th St+Van Buren,33.44986,-112.141335,270.0,1310.0,0.0,1.0,IN_TRANSIT_TO,1812,2025-10-04 00:19:18,2025-10-04 00:21:46
RTVP:T:22788293,22788293,ALEX,0.0,3009,51st St+Elliot via Pecos PNR,33.30579,-112.05521,113.0,3865.0,0.0,1.0,IN_TRANSIT_TO,40338,2025-10-04 00:21:27,2025-10-04 00:21:46
