link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500002,1500001,,1,HB.1,1,service_links,13462.887003559727,2,999999,32.309636423086424,0,25.0,1999998,0.15,4,0,"LINESTRING (-122.25692 37.7366, -122.39125 37.79476)",,San Francisco Bay Ferry,1,HB.1:1;2
1000002,1500003,1500004,,1,HB.2,1,service_links,13462.887003559727,4,999999,32.309636423086424,0,25.0,3999996,0.15,4,0,"LINESTRING (-122.39125 37.79476, -122.25692 37.7366)",,San Francisco Bay Ferry,1,HB.2:1;2
1000003,1500006,1500005,,1,OA.1,1,service_links,9768.537832401116,4,999999,23.44355305564045,0,25.0,3999996,0.15,4,0,"LINESTRING (-122.27976 37.79509, -122.39093 37.79439)",,San Francisco Bay Ferry,1,OA.1:1;2
1000004,1500007,1500008,,1,OA.2,1,service_links,9768.537832401116,4,999999,23.44355305564045,0,25.0,3999996,0.15,4,0,"LINESTRING (-122.39093 37.79439, -122.27976 37.79509)",,San Francisco Bay Ferry,1,OA.2:1;2
1000005,1500011,1500010,,1,RCH.1,1,service_links,13099.469708289196,4,999999,22.455592197290127,0,35.0,3999996,0.15,4,0,"LINESTRING (-122.35925 37.90951, -122.39093 37.79439)",,San Francisco Bay Ferry,1,RCH.1:1;2
1000006,1500012,1500013,,1,RCH.2,1,service_links,13034.599294097541,2,999999,22.34438895019721,0,35.0,1999998,0.15,4,0,"LINESTRING (-122.391612 37.795106, -122.35925 37.90951)",,San Francisco Bay Ferry,1,RCH.2:1;2
1000007,1500016,1500015,,1,SEA.1,1,service_links,8397.455214204285,4,999999,25.191106087308487,0,20.0,3999996,0.15,4,0,"LINESTRING (-122.29832 37.77717, -122.39125 37.79476)",,San Francisco Bay Ferry,1,SEA.1:1;2
1000008,1500017,1500018,,1,SEA.2,1,service_links,8397.455214204285,2,999999,25.191106087308487,0,20.0,1999998,0.15,4,0,"LINESTRING (-122.39125 37.79476, -122.29832 37.77717)",,San Francisco Bay Ferry,1,SEA.2:1;2
1000009,1500020,1500021,,1,SSF.1,1,service_links,1339.0606073618603,4,999999,8.033560288142349,0,10.0,3999996,0.15,4,0,"LINESTRING (-122.29398 37.79076, -122.27976 37.79509)",,San Francisco Bay Ferry,1,SSF.1:1;2;3
1000010,1500021,1500019,,1,SSF.1,1,service_links,17037.963616257603,4,999999,22.716780004343374,0,45.0,3999996,0.15,4,0,"LINESTRING (-122.27976 37.79509, -122.377245 37.662676)",,San Francisco Bay Ferry,2,SSF.1:1;2;3
1000011,1500022,1500023,,1,SSF.2,1,service_links,16014.661021226439,2,999999,24.02139099706473,0,40.0,1999998,0.15,4,0,"LINESTRING (-122.377245 37.662676, -122.29398 37.79076)",,San Francisco Bay Ferry,1,SSF.2:1;2
1000012,1500026,1500024,,1,VJO.1,1,service_links,35752.022685358876,2,999999,35.75142682824507,0,60.0,1999998,0.15,4,0,"LINESTRING (-122.26263 38.10012, -122.391612 37.795106)",,San Francisco Bay Ferry,1,VJO.1:1;2
1000013,1500028,1500027,,1,VJO.1,1,service_links,613.7354611130145,2,999999,7.363352862783617,0,5.0,1999998,0.15,4,0,"LINESTRING (-122.26949 38.10127, -122.26263 38.10012)",,San Francisco Bay Ferry,1,VJO.1:1;2;3
1000014,1500027,1500025,,1,VJO.1,1,service_links,35752.022685358876,2,999999,30.64415309954904,0,70.0,1999998,0.15,4,0,"LINESTRING (-122.26263 38.10012, -122.391612 37.795106)",,San Francisco Bay Ferry,2,VJO.1:1;2;3
1000015,1500029,1500030,,1,VJO.2,1,service_links,35752.022685358876,2,999999,35.75142682824507,0,60.0,1999998,0.15,4,0,"LINESTRING (-122.391612 37.795106, -122.26263 38.10012)",,San Francisco Bay Ferry,1,VJO.2:1;2
1000015,1000003,1500001,,1,HB.1,2,boarding_links,14.172160347363082,1,999999,2.0,0,10.0,999999,0.15,4,0,"LINESTRING (-122.39135 37.79465999999999, -122.39125 37.79476)",,San Francisco Bay Ferry,-1,HB.1.72013:1;2
1000016,1500001,1000003,,1,HB.1,2,boarding_links,14.172160347363082,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.39135 37.79465999999999, -122.39125 37.79476)",,San Francisco Bay Ferry,-1,HB.1.72013:1;2
1000017,1000005,1500002,,1,HB.1,2,boarding_links,14.176447240966377,1,999999,2.0,0,10.0,999999,0.15,4,0,"LINESTRING (-122.25702 37.7365, -122.25692 37.7366)",,San Francisco Bay Ferry,-1,HB.1.7206:1;2
1000018,1500002,1000005,,1,HB.1,2,boarding_links,14.176447240966377,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.25702 37.7365, -122.25692 37.7366)",,San Francisco Bay Ferry,-1,HB.1.7206:1;2
1000019,1000003,1500003,,1,HB.2,2,boarding_links,14.172160347363082,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.39135 37.79465999999999, -122.39125 37.79476)",,San Francisco Bay Ferry,-1,HB.2.72013:1;2
1000020,1500003,1000003,,1,HB.2,2,boarding_links,14.172160347363082,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.39135 37.79465999999999, -122.39125 37.79476)",,San Francisco Bay Ferry,-1,HB.2.72013:1;2
1000021,1000005,1500004,,1,HB.2,2,boarding_links,14.176447240966377,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.25702 37.7365, -122.25692 37.7366)",,San Francisco Bay Ferry,-1,HB.2.7206:1;2
1000022,1500004,1000005,,1,HB.2,2,boarding_links,14.176447240966377,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.25702 37.7365, -122.25692 37.7366)",,San Francisco Bay Ferry,-1,HB.2.7206:1;2
1000023,1000002,1500005,,1,OA.1,2,boarding_links,14.172187630742421,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,OA.1.72012:1;2
1000024,1500005,1000002,,1,OA.1,2,boarding_links,14.172187630742421,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,OA.1.72012:1;2
1000025,1000008,1500006,,1,OA.1,2,boarding_links,14.17213601341756,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.27986 37.79499, -122.27976 37.79509)",,San Francisco Bay Ferry,-1,OA.1.7209:1;2
1000026,1500006,1000008,,1,OA.1,2,boarding_links,14.17213601341756,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.27986 37.79499, -122.27976 37.79509)",,San Francisco Bay Ferry,-1,OA.1.7209:1;2
1000027,1000002,1500007,,1,OA.2,2,boarding_links,14.172187630742421,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,OA.2.72012:1;2
1000028,1500007,1000002,,1,OA.2,2,boarding_links,14.172187630742421,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,OA.2.72012:1;2
1000029,1000008,1500008,,1,OA.2,2,boarding_links,14.17213601341756,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.27986 37.79499, -122.27976 37.79509)",,San Francisco Bay Ferry,-1,OA.2.7209:1;2
1000030,1500008,1000008,,1,OA.2,2,boarding_links,14.17213601341756,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.27986 37.79499, -122.27976 37.79509)",,San Francisco Bay Ferry,-1,OA.2.7209:1;2
1000031,1000001,1500009,,1,RCH.1,2,boarding_links,14.172134833587005,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.391712 37.795005999999994, -122.391612 37.795106)",,San Francisco Bay Ferry,-1,RCH.1.72011:1;2
1000032,1500009,1000001,,1,RCH.1,2,boarding_links,14.172134833587005,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.391712 37.795005999999994, -122.391612 37.795106)",,San Francisco Bay Ferry,-1,RCH.1.72011:1;2
1000033,1000002,1500010,,1,RCH.1,2,boarding_links,14.172187630742421,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,RCH.1.72012:1;2
1000034,1500010,1000002,,1,RCH.1,2,boarding_links,14.172187630742421,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.39103 37.79429, -122.39093 37.79439)",,San Francisco Bay Ferry,-1,RCH.1.72012:1;2
1000035,1000009,1500011,,1,RCH.1,2,boarding_links,14.163691928705818,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.35935 37.909409999999994, -122.35925 37.90951)",,San Francisco Bay Ferry,-1,RCH.1.7211:1;2
1000036,1500011,1000009,,1,RCH.1,2,boarding_links,14.163691928705818,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.35935 37.909409999999994, -122.35925 37.90951)",,San Francisco Bay Ferry,-1,RCH.1.7211:1;2
1000037,1000001,1500012,,1,RCH.2,2,boarding_links,14.172134833587005,1,999999,2.0,0,10.0,999999,0.15,4,0,"LINESTRING (-122.391712 37.795005999999994, -122.391612 37.795106)",,San Francisco Bay Ferry,-1,RCH.2.72011:1;2
1000038,1500012,1000001,,1,RCH.2,2,boarding_links,14.172134833587005,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.391712 37.795005999999994, -122.391612 37.795106)",,San Francisco Bay Ferry,-1,RCH.2.72011:1;2
