name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
25765,1000001,1000001,-122.303604,47.651367,3,Gold-48,stop,,,,Seattle Children's Hospital,POINT (-122.303604 47.651367),1,,
755000,1000002,1000002,-122.283025,47.663531,3,Purp-48,stop,,,,Seattle Children's Hospital,POINT (-122.283025 47.663531),1,,
755005,1000003,1000003,-122.269723,47.671721,3,Ylw-48,stop,,,,Seattle Children's Hospital,POINT (-122.269723 47.671721),1,,
755006,1000004,1000004,-122.298813,47.658232,3,Pink-48,stop,,,,Seattle Children's Hospital,POINT (-122.298813 47.658232),1,,
755008,1000005,1000005,-122.256796,47.676503,3,Blue-48,stop,,,,Seattle Children's Hospital,POINT (-122.256796 47.676503),1,,
755009,1000006,1000006,-122.317474,47.659806,3,Purp-48,stop,,,,Seattle Children's Hospital,POINT (-122.317474 47.659806),1,,
Blue-48.1.755000:1;2,1500001,1000002,-122.283125,47.663430999999996,3,Blue-48,bus_service_node,Blue-48.1,Blue-48.1:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Blue-48.1.755008:1;2,1500002,1000005,-122.256896,47.67640299999999,3,Blue-48,bus_service_node,Blue-48.1,Blue-48.1:1;2,,Seattle Children's Hospital,POINT (-122.256896 47.67640299999999),1,,
Blue-48.2.755000:1;2,1500003,1000002,-122.283125,47.663430999999996,3,Blue-48,bus_service_node,Blue-48.2,Blue-48.2:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Blue-48.2.755008:1;2,1500004,1000005,-122.256896,47.67640299999999,3,Blue-48,bus_service_node,Blue-48.2,Blue-48.2:1;2,,Seattle Children's Hospital,POINT (-122.256896 47.67640299999999),1,,
Gold-48.1.25765:1;2,1500005,1000001,-122.30370400000001,47.651267,3,Gold-48,bus_service_node,Gold-48.1,Gold-48.1:1;2,,Seattle Children's Hospital,POINT (-122.30370400000001 47.651267),1,,
Gold-48.1.755000:1;2,1500006,1000002,-122.283125,47.663430999999996,3,Gold-48,bus_service_node,Gold-48.1,Gold-48.1:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Gold-48.2.25765:1;2,1500007,1000001,-122.30370400000001,47.651267,3,Gold-48,bus_service_node,Gold-48.2,Gold-48.2:1;2,,Seattle Children's Hospital,POINT (-122.30370400000001 47.651267),1,,
Gold-48.2.755000:1;2,1500008,1000002,-122.283125,47.663430999999996,3,Gold-48,bus_service_node,Gold-48.2,Gold-48.2:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Pink-48.1.755000:1;2,1500009,1000002,-122.283125,47.663430999999996,3,Pink-48,bus_service_node,Pink-48.1,Pink-48.1:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Pink-48.1.755006:1;2,1500010,1000004,-122.298913,47.658131999999995,3,Pink-48,bus_service_node,Pink-48.1,Pink-48.1:1;2,,Seattle Children's Hospital,POINT (-122.298913 47.658131999999995),1,,
Pink-48.2.755000:1;2,1500011,1000002,-122.283125,47.663430999999996,3,Pink-48,bus_service_node,Pink-48.2,Pink-48.2:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Pink-48.2.755006:1;2,1500012,1000004,-122.298913,47.658131999999995,3,Pink-48,bus_service_node,Pink-48.2,Pink-48.2:1;2,,Seattle Children's Hospital,POINT (-122.298913 47.658131999999995),1,,
Purp-48.1.755000:1;2,1500013,1000002,-122.283125,47.663430999999996,3,Purp-48,bus_service_node,Purp-48.1,Purp-48.1:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Purp-48.1.755009:1;2,1500014,1000006,-122.31757400000001,47.659706,3,Purp-48,bus_service_node,Purp-48.1,Purp-48.1:1;2,,Seattle Children's Hospital,POINT (-122.31757400000001 47.659706),1,,
Purp-48.2.755000:1;2,1500015,1000002,-122.283125,47.663430999999996,3,Purp-48,bus_service_node,Purp-48.2,Purp-48.2:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Purp-48.2.755009:1;2,1500016,1000006,-122.31757400000001,47.659706,3,Purp-48,bus_service_node,Purp-48.2,Purp-48.2:1;2,,Seattle Children's Hospital,POINT (-122.31757400000001 47.659706),1,,
Ylw-48.1.755000:1;2,1500017,1000002,-122.283125,47.663430999999996,3,Ylw-48,bus_service_node,Ylw-48.1,Ylw-48.1:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Ylw-48.1.755005:1;2,1500018,1000003,-122.269823,47.671620999999995,3,Ylw-48,bus_service_node,Ylw-48.1,Ylw-48.1:1;2,,Seattle Children's Hospital,POINT (-122.269823 47.671620999999995),1,,
Ylw-48.2.755000:1;2,1500019,1000002,-122.283125,47.663430999999996,3,Ylw-48,bus_service_node,Ylw-48.2,Ylw-48.2:1;2,,Seattle Children's Hospital,POINT (-122.283125 47.663430999999996),1,,
Ylw-48.2.755005:1;2,1500020,1000003,-122.269823,47.671620999999995,3,Ylw-48,bus_service_node,Ylw-48.2,Ylw-48.2:1;2,,Seattle Children's Hospital,POINT (-122.269823 47.671620999999995),1,,
