service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20231203,20240302
2,1,0,0,1,1,0,0,20231203,20240302
3,0,0,1,0,0,0,0,20231203,20240302
4,1,1,1,1,1,0,0,20231203,20240302
5,1,1,1,1,1,0,0,20231203,20240302
6,1,1,0,1,1,0,0,20231203,20240302
7,0,0,1,1,0,0,0,20231203,20240302
8,1,1,1,1,1,0,0,20231203,20240302
9,1,1,1,1,1,0,0,20231203,20240302
10,1,1,1,1,1,0,0,20231203,20240302
11,1,1,1,1,1,0,0,20231203,20240302
12,1,1,0,0,1,0,0,20231203,20240302
13,0,1,1,1,1,0,0,20231203,20240302
14,0,0,0,0,1,0,0,20231203,20240302
15,1,1,0,1,1,0,0,20231203,20240302
16,0,0,0,0,0,1,0,20231203,20240302
17,1,1,0,1,1,0,0,20231203,20240302
18,1,1,1,1,1,0,0,20231203,20240302
19,1,1,1,1,1,0,0,20231203,20240302
20,0,1,0,0,0,0,0,20231203,20240302
21,1,1,1,1,1,0,0,20231203,20240302
22,0,0,0,0,1,0,0,20231203,20240302
23,1,1,1,1,1,0,0,20231203,20240302
24,1,1,1,1,1,0,0,20231203,20240302
25,0,0,0,0,1,0,0,20231203,20240302
26,1,1,1,1,0,0,0,20231203,20240302
27,1,1,0,1,0,0,0,20231203,20240302
28,0,0,1,0,0,0,0,20231203,20240302
29,0,0,1,0,0,0,0,20231203,20240302
30,1,1,1,1,1,0,0,20231203,20240302
31,1,1,1,1,1,0,0,20231203,20240302
32,0,1,1,1,1,0,0,20231203,20240302
33,1,1,1,1,1,0,0,20231203,20240302
34,1,1,1,1,1,0,0,20231203,20240302
35,1,1,0,1,1,0,0,20231203,20240302
36,0,1,1,1,1,0,0,20231203,20240302
37,1,1,1,1,1,0,0,20231203,20240302
38,0,0,0,0,0,0,1,20231203,20240302
39,1,1,1,1,0,0,0,20231203,20240302
40,0,1,1,1,1,0,0,20231203,20240302
41,1,1,0,1,1,0,0,20231203,20240302
42,1,1,0,1,1,0,0,20231203,20240302
11-1,1,1,1,1,0,0,1,20231203,20240301
16-1,0,0,0,0,1,0,0,20231203,20240301
38-1,0,0,0,0,0,1,0,20231203,20240301
