service_id,date,exception_type
1,20231222,2
1,20231225,2
1,20231226,2
1,20231227,2
1,20231228,2
1,20231229,2
1,20240101,2
1,20240102,2
1,20240103,2
1,20240104,2
1,20240105,2
1,20240115,2
1,20240216,2
1,20240219,2
1,20240220,2
1,20240221,2
1,20240222,2
1,20240223,2
2,20231225,2
2,20231228,2
2,20231229,2
2,20240101,2
2,20240104,2
2,20240105,2
2,20240115,2
2,20240219,2
3,20231220,2
3,20231227,2
3,20240221,2
4,20231218,2
4,20231219,2
4,20231220,2
4,20231221,2
4,20231222,2
4,20231225,2
4,20231226,2
4,20231227,2
4,20231228,2
4,20231229,2
4,20240101,2
4,20240102,2
4,20240103,2
4,20240115,2
4,20240219,2
5,20231225,2
5,20231226,2
5,20231227,2
5,20231228,2
5,20231229,2
5,20240101,2
5,20240102,2
5,20240103,2
5,20240104,2
5,20240105,2
5,20240108,2
5,20240115,2
5,20240216,2
5,20240219,2
6,20231225,2
6,20231226,2
6,20231228,2
6,20231229,2
6,20240101,2
6,20240102,2
6,20240104,2
6,20240105,2
6,20240108,2
6,20240115,2
6,20240216,2
6,20240219,2
7,20231220,2
7,20231221,2
7,20231227,2
7,20231228,2
7,20240221,2
7,20240222,2
8,20231204,2
8,20231205,2
8,20231206,2
8,20231207,2
8,20231208,2
8,20231211,2
8,20231212,2
8,20231213,2
8,20231214,2
8,20231215,2
8,20231218,2
8,20231219,2
8,20231220,2
8,20231221,2
8,20231222,1
8,20231225,2
8,20231226,1
8,20231227,1
8,20231228,1
8,20231229,1
8,20240101,2
8,20240102,1
8,20240103,1
8,20240104,1
8,20240105,1
8,20240108,1
8,20240109,2
8,20240110,2
8,20240111,2
8,20240112,2
8,20240115,2
8,20240116,2
8,20240117,2
8,20240118,2
8,20240119,2
8,20240122,2
8,20240123,2
8,20240124,2
8,20240125,2
8,20240126,2
8,20240129,2
8,20240130,2
8,20240131,2
8,20240201,2
8,20240202,2
8,20240205,2
8,20240206,2
8,20240207,2
8,20240208,2
8,20240209,2
8,20240212,2
8,20240213,2
8,20240214,2
8,20240215,2
8,20240216,1
8,20240219,2
8,20240220,2
8,20240221,2
8,20240222,2
8,20240223,2
8,20240226,2
8,20240227,2
8,20240228,2
8,20240229,2
8,20240301,2
9,20231204,2
9,20231205,2
9,20231206,2
9,20231207,2
9,20231208,2
9,20231211,2
9,20231212,2
9,20231213,2
9,20231214,2
9,20231215,2
9,20231218,1
9,20231219,1
9,20231220,1
9,20231221,1
9,20231222,1
9,20231225,2
9,20231226,1
9,20231227,1
9,20231228,1
9,20231229,1
9,20240101,2
9,20240102,2
9,20240103,2
9,20240104,2
9,20240105,2
9,20240108,2
9,20240109,2
9,20240110,2
9,20240111,2
9,20240112,2
9,20240115,2
9,20240116,1
9,20240117,2
9,20240118,2
9,20240119,2
9,20240122,2
9,20240123,2
9,20240124,2
9,20240125,2
9,20240126,2
9,20240129,2
9,20240130,2
9,20240131,2
9,20240201,2
9,20240202,2
9,20240205,2
9,20240206,2
9,20240207,2
9,20240208,2
9,20240209,2
9,20240212,2
9,20240213,2
9,20240214,2
9,20240215,2
9,20240216,2
9,20240219,2
9,20240220,1
9,20240221,1
9,20240222,1
9,20240223,1
9,20240226,2
9,20240227,2
9,20240228,2
9,20240229,2
9,20240301,2
10,20231204,2
10,20231205,2
10,20231206,2
10,20231207,2
10,20231208,2
10,20231211,2
10,20231212,2
10,20231213,2
10,20231214,2
10,20231215,2
10,20231218,1
10,20231219,1
10,20231220,1
10,20231221,1
10,20231222,1
10,20231225,2
10,20231226,1
10,20231227,1
10,20231228,1
10,20231229,1
10,20240101,2
10,20240102,1
10,20240103,1
10,20240104,2
10,20240105,2
10,20240108,2
10,20240109,2
10,20240110,2
10,20240111,2
10,20240112,2
10,20240115,2
10,20240116,2
10,20240117,2
10,20240118,2
10,20240119,2
10,20240122,2
10,20240123,2
10,20240124,2
10,20240125,2
10,20240126,2
10,20240129,2
10,20240130,2
10,20240131,2
10,20240201,2
10,20240202,2
10,20240205,2
10,20240206,2
10,20240207,2
10,20240208,2
10,20240209,2
10,20240212,2
10,20240213,2
10,20240214,2
10,20240215,2
10,20240216,2
10,20240219,2
10,20240220,2
10,20240221,2
10,20240222,2
10,20240223,2
10,20240226,2
10,20240227,2
10,20240228,2
10,20240229,2
10,20240301,2
11,20231225,2
11,20240101,2
11,20240115,2
11,20240219,2
12,20231218,2
12,20231219,2
12,20231222,2
12,20231225,2
12,20231226,2
12,20231229,2
12,20240101,2
12,20240115,2
12,20240116,2
12,20240219,2
12,20240220,2
12,20240223,2
13,20231205,2
13,20231206,2
13,20231207,2
13,20231208,2
13,20231212,2
13,20231213,2
13,20231214,2
13,20231215,2
13,20231219,2
13,20231220,2
13,20231221,2
13,20231222,2
13,20231226,1
13,20231227,1
13,20231228,1
13,20231229,1
13,20240102,1
13,20240103,1
13,20240104,1
13,20240105,1
13,20240109,2
13,20240110,2
13,20240111,2
13,20240112,2
13,20240116,2
13,20240117,2
13,20240118,2
13,20240119,2
13,20240123,2
13,20240124,2
13,20240125,2
13,20240126,2
13,20240130,2
13,20240131,2
13,20240201,2
13,20240202,2
13,20240206,2
13,20240207,2
13,20240208,2
13,20240209,2
13,20240213,2
13,20240214,2
13,20240215,2
13,20240216,2
13,20240220,2
13,20240221,2
13,20240222,2
13,20240223,2
13,20240227,2
13,20240228,2
13,20240229,2
13,20240301,2
14,20231222,2
14,20231229,2
14,20240223,2
15,20231218,2
15,20231219,2
15,20231221,2
15,20231222,2
15,20231225,2
15,20231226,2
15,20231228,2
15,20231229,2
15,20240101,2
15,20240115,2
15,20240116,2
15,20240219,2
15,20240220,2
15,20240222,2
15,20240223,2
17,20231225,2
17,20231226,2
17,20231228,2
17,20231229,2
17,20240101,2
17,20240102,2
17,20240104,2
17,20240105,2
17,20240115,2
17,20240219,2
18,20231204,2
18,20231205,2
18,20231206,2
18,20231207,2
18,20231208,2
18,20231211,2
18,20231212,2
18,20231213,2
18,20231214,2
18,20231215,2
18,20231218,2
18,20231219,2
18,20231220,2
18,20231221,2
18,20231222,2
18,20231225,2
18,20231226,1
18,20231227,1
18,20231228,1
18,20231229,1
18,20240101,2
18,20240102,1
18,20240103,1
18,20240104,1
18,20240105,1
18,20240108,1
18,20240109,2
18,20240110,2
18,20240111,2
18,20240112,2
18,20240115,2
18,20240116,2
18,20240117,2
18,20240118,2
18,20240119,2
18,20240122,2
18,20240123,2
18,20240124,2
18,20240125,2
18,20240126,2
18,20240129,2
18,20240130,2
18,20240131,2
18,20240201,2
18,20240202,2
18,20240205,2
18,20240206,2
18,20240207,2
18,20240208,2
18,20240209,2
18,20240212,1
18,20240213,2
18,20240214,2
18,20240215,2
18,20240216,2
18,20240219,2
18,20240220,2
18,20240221,2
18,20240222,2
18,20240223,2
18,20240226,2
18,20240227,2
18,20240228,2
18,20240229,2
18,20240301,2
19,20231204,2
19,20231205,2
19,20231206,2
19,20231207,2
19,20231208,2
19,20231211,2
19,20231212,2
19,20231213,2
19,20231214,2
19,20231215,2
19,20231218,2
19,20231219,2
19,20231220,2
19,20231221,2
19,20231222,2
19,20231225,2
19,20231226,1
19,20231227,1
19,20231228,1
19,20231229,1
19,20240101,2
19,20240102,1
19,20240103,1
19,20240104,1
19,20240105,1
19,20240108,1
19,20240109,2
19,20240110,2
19,20240111,2
19,20240112,2
19,20240115,2
19,20240116,2
19,20240117,2
19,20240118,2
19,20240119,2
19,20240122,2
19,20240123,2
19,20240124,2
19,20240125,2
19,20240126,2
19,20240129,2
19,20240130,2
19,20240131,2
19,20240201,2
19,20240202,2
19,20240205,2
19,20240206,2
19,20240207,2
19,20240208,2
19,20240209,2
19,20240212,2
19,20240213,2
19,20240214,2
19,20240215,2
19,20240216,1
19,20240219,2
19,20240220,2
19,20240221,2
19,20240222,2
19,20240223,2
19,20240226,2
19,20240227,2
19,20240228,2
19,20240229,2
19,20240301,2
20,20231226,2
20,20240102,2
21,20231225,2
21,20231226,2
21,20231227,2
21,20231228,2
21,20231229,2
21,20240101,2
21,20240102,2
21,20240115,2
21,20240219,2
22,20231229,2
22,20240105,2
23,20231225,2
23,20231226,2
23,20231227,2
23,20231228,2
23,20231229,2
23,20240101,2
23,20240102,2
23,20240103,2
23,20240104,2
23,20240105,2
