trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
521,0,SAC,04:10:00,04:10:00,Sacramento,0,0,,,0,1
521,1,DAV,04:25:00,04:25:00,Davis,0,0,,,21408.887665007744,1
521,2,FFV,04:45:00,04:45:00,Fairfield/Vacaville,0,0,,,56427.14662640118,1
521,3,SUI,04:51:00,04:51:00,Suisun/Fairfield,0,0,,,64360.876639394104,1
521,4,MTZ,05:10:00,05:10:00,Martinez,0,0,,,92376.89667691571,1
521,5,RIC,05:36:00,05:36:00,Richmond-BART,0,0,,,123689.00655409343,1
521,6,BKY,05:44:00,05:44:00,Berkeley,0,0,,,132951.00430694362,1
521,7,EMY,05:49:00,05:49:00,Emeryville,0,0,,,136061.61227938376,1
521,8,OKJ,06:01:00,06:01:00,Oakland Jack London,0,0,,,143657.72642453515,1
521,9,OAC,06:11:00,06:11:00,Oakland Coliseum-BART,0,0,,,151781.42143880355,1
521,10,HAY,06:21:00,06:21:00,Hayward,0,0,,,164752.73507095425,1
521,11,FMT,06:37:00,06:37:00,Fremont/Centervile,0,0,,,184178.8762292685,1
521,12,GAC,06:54:00,06:54:00,Santa Clara/Great America,0,0,,,204348.2762594392,1
521,13,SCC,07:03:00,07:03:00,Santa Clara/University,0,0,,,211092.35384251567,1
521,14,SJC,07:15:00,07:15:00,San Jose,0,0,,,215239.13034823403,1
521W,0,EMY,05:50:00,05:50:00,Emeryville- Amtrak,0,0,,,0,1
521W,1,SFC,06:20:00,06:20:00,SF Salesforce Plaza,0,0,,,14067.177798337818,1
522,0,OKJ,05:42:00,05:42:00,Oakland Jack LLondon,0,0,1,1,0,1
522,1,EMY,05:51:00,05:51:00,Emeryville,0,0,1,1,7556.472670501587,1
522,2,BKY,05:55:00,05:55:00,Berkeley,0,0,1,1,10664.795212778303,1
522,3,RIC,06:02:00,06:02:00,Richmond-BART,0,0,1,1,19927.516907734473,1
522,4,MTZ,06:28:00,06:28:00,Martinez,0,0,1,1,51229.6291374164,1
522,5,SUI,06:47:00,06:47:00,Suisun/Fairfield,0,0,1,1,79220.941681471,1
522,6,FFV,06:53:00,06:53:00,Fairfield/Vacaville,0,0,1,1,87160.68926858512,1
522,7,DAV,07:17:00,07:17:00,Davis,0,0,1,1,122258.17392114646,1
522,8,SAC,07:40:00,07:40:00,Sacramento,0,0,1,1,143675.4182309906,1
523,0,SAC,05:10:00,05:10:00,Sacramento,0,0,,,0,1
523,1,DAV,05:25:00,05:25:00,Davis,0,0,,,21408.887665007744,1
523,2,FFV,05:45:00,05:45:00,Fairfield/Vacaville,0,0,,,56427.14662640118,1
523,3,SUI,05:51:00,05:51:00,Suisun/Fairfield,0,0,,,64360.876639394104,1
523,4,MTZ,06:10:00,06:10:00,Martinez,0,0,,,92376.89667691571,1
523,5,RIC,06:36:00,06:36:00,Richmond-BART,0,0,,,123689.00655409343,1
523,6,BKY,06:44:00,06:44:00,Berkeley,0,0,,,132951.00430694362,1
523,7,EMY,06:49:00,06:49:00,Emeryville,0,0,,,136061.61227938376,1
523,8,OKJ,07:00:00,07:00:00,Oakland Jack London,0,0,,,143657.72642453515,1
523,9,OAC,07:09:00,07:09:00,Oakland Coliseum-BART,0,0,,,151781.42143880355,1
523,10,HAY,07:22:00,07:22:00,Hayward,0,0,,,164752.73507095425,1
523,11,FMT,07:37:00,07:37:00,Fremont/Centervile,0,0,,,184178.8762292685,1
523,12,GAC,07:54:00,07:54:00,Santa Clara/Great America,0,0,,,204348.2762594392,1
523,13,SCC,08:02:00,08:02:00,Santa Clara/University,0,0,,,211092.35384251567,1
523,14,SJC,08:14:00,08:14:00,San Jose,0,0,,,215239.13034823403,1
523S,0,RSV,04:15:00,04:15:00,Roseville,0,0,,,,1
523S,1,SAC,04:55:00,04:55:00,Sacramento,0,0,,,,1
523W,0,EMY,06:50:00,06:50:00,Emeryville- Amtrak,0,0,,,0,1
523W,1,SFC,07:30:00,07:30:00,SF Salesforce Plaza,0,0,,,14067.177798337818,1
524,0,SJC,06:18:00,06:18:00,San Jose,0,0,,,0,1
524,1,SCC,06:24:00,06:24:00,Santa Clara/University,0,0,,,4154.512465661643,1
524,2,GAC,06:31:00,06:31:00,Santa Clara/Great America,0,0,,,10918.165731592784,1
524,3,FMT,06:47:00,06:47:00,Fremont/Centerville,0,0,,,31086.60708677945,1
524,4,HAY,07:02:00,07:02:00,Hayward,0,0,,,50506.70453135568,1
524,5,OAC,07:13:00,07:13:00,Oakland Coliseum-BART,0,0,,,63477.5119057513,1
524,6,OKJ,07:24:00,07:24:00,Oakland Jack LLondon,0,0,,,71563.53332699878,1
524,7,EMY,07:35:00,07:35:00,Emeryville,0,0,,,79135.80017977765,1
524,8,BKY,07:39:00,07:39:00,Berkeley,0,0,,,82246.73668918217,1
524,9,RIC,07:46:00,07:46:00,Richmond-BART,0,0,,,91511.38188479214,1
524,10,MTZ,08:13:00,08:13:00,Martinez,0,0,,,122820.38232257577,1
524,11,SUI,08:32:00,08:32:00,Suisun/Fairfield,0,0,,,150806.37858174607,1
524,12,FFV,08:39:00,08:39:00,Fairfield/Vacaville,0,0,,,158739.7939306282,1
524,13,DAV,09:00:00,09:00:00,Davis,0,0,,,193845.7664832605,1
524,14,SAC,09:22:00,09:22:00,Sacramento,0,0,,,215252.04139820446,1
524E,0,SFC,06:55:00,06:55:00,SF Salesforce Plaza,0,0,,,0,1
524E,1,EMY,07:25:00,07:25:00,Emeryville- Amtrak,0,0,,,13496.01535418957,1
524S,0,SAC,10:00:00,10:00:00,Sacramento,0,0,,,,1
524S,1,RSV,10:30:00,10:30:00,Roseville,0,0,,,,1
524S,2,RLN,10:45:00,10:45:00,Rocklin,0,0,,,,1
524S,3,ARN,11:10:00,11:10:00,Auburn,0,0,,,,1
525,0,SAC,06:10:00,06:10:00,Sacramento,0,0,,,0,1
525,1,DAV,06:25:00,06:25:00,Davis,0,0,,,21402.198605363017,1
525,2,FFV,06:45:00,06:45:00,Fairfield/Vacaville,0,0,,,56416.20332238398,1
525,3,SUI,06:51:00,06:51:00,Suisun/Fairfield,0,0,,,64358.394380880374,1
525,4,MTZ,07:10:00,07:10:00,Martinez,0,0,,,92371.99120815379,1
525,5,RIC,07:36:00,07:36:00,Richmond-BART,0,0,,,123683.06285252418,1
525,6,BKY,07:44:00,07:44:00,Berkeley,0,0,,,132951.9496868013,1
525,7,EMY,07:50:00,07:50:00,Emeryville,0,0,,,136064.48177109883,1
525,8,OKJ,08:04:00,08:04:00,Oakland Jack LLondon,0,0,,,143645.31766030885,1
525S,0,RSV,05:15:00,05:15:00,Roseville,0,0,,,,1
525S,1,SAC,05:55:00,05:55:00,Sacramento,0,0,,,,1
525W,0,EMY,07:50:00,07:50:00,Emeryville- Amtrak,0,0,,,0,1
525W,1,SFC,08:30:00,08:30:00,SF Salesforce Plaza,0,0,,,14067.177798337818,1
527,0,SAC,06:43:00,06:43:00,Sacramento,0,0,,,0,1
527,1,DAV,06:58:00,06:58:00,Davis,0,0,,,21408.887665007744,1
527,2,FFV,07:18:00,07:18:00,Fairfield/Vacaville,0,0,,,56427.14662640118,1
527,3,SUI,07:24:00,07:24:00,Suisun/Fairfield,0,0,,,64360.876639394104,1
527,4,MTZ,07:43:00,07:43:00,Martinez,0,0,,,92376.89667691571,1
