runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_69700_b_81109_d_31,0101,1,1,t_5665264_b_81109_tn_1,5351,t_5665265_b_81109_tn_14,5351
1000000,c_69700_b_81109_d_32,0101,10,1,t_5665279_b_81109_tn_1,5351,t_5665280_b_81109_tn_8,5351
1100000,c_69700_b_81109_d_32,0301,11,1,t_5665270_b_81109_tn_1,5351,t_5665271_b_81109_tn_8,5351
1200000,c_69700_b_81109_d_32,0601,12,1,t_5665303_b_81109_tn_1,28569,t_5665303_b_81109_tn_8,28717
1300000,c_69700_b_81109_d_32,0701,13,1,t_5665274_b_81109_tn_1,5351,t_5665274_b_81109_tn_7,28761
1400000,c_69967_b_81643_d_31,0801,14,1,t_5751818_b_81643_tn_0,28761,t_5751820_b_81643_tn_0,28761
1500000,c_69967_b_81643_d_31,0802,15,1,t_5751819_b_81643_tn_0,28761,t_5751821_b_81643_tn_0,28761
1600000,c_69967_b_81643_d_31,0803,16,1,t_5751814_b_81643_tn_0,28761,t_5751816_b_81643_tn_0,28717
1700000,c_69967_b_81643_d_31,0804,17,1,t_5751815_b_81643_tn_0,28761,t_5751817_b_81643_tn_0,28717
1800000,c_69967_b_81644_d_31,0801,18,1,t_5751818_b_81644_tn_0,28761,t_5751820_b_81644_tn_0,28761
1900000,c_69967_b_81644_d_31,0802,19,1,t_5751819_b_81644_tn_0,28761,t_5751821_b_81644_tn_0,28761
200000,c_69700_b_81109_d_31,0102,2,1,t_5665262_b_81109_tn_1,5351,t_5665263_b_81109_tn_13,5351
2000000,c_69967_b_81644_d_31,0803,20,1,t_5751814_b_81644_tn_0,28761,t_5751816_b_81644_tn_0,28717
2100000,c_69967_b_81644_d_31,0804,21,1,t_5751815_b_81644_tn_0,28761,t_5751817_b_81644_tn_0,28717
2200000,c_69967_b_81645_d_31,0801,22,1,t_5751818_b_81645_tn_0,28761,t_5751820_b_81645_tn_0,28761
2300000,c_69967_b_81645_d_31,0802,23,1,t_5751819_b_81645_tn_0,28761,t_5751821_b_81645_tn_0,28761
2400000,c_69967_b_81645_d_31,0803,24,1,t_5751814_b_81645_tn_0,28761,t_5751816_b_81645_tn_0,28717
2500000,c_69967_b_81645_d_31,0804,25,1,t_5751815_b_81645_tn_0,28761,t_5751817_b_81645_tn_0,28717
2600000,c_69967_b_81646_d_31,0801,26,1,t_5751818_b_81646_tn_0,28761,t_5751820_b_81646_tn_0,28761
2700000,c_69967_b_81646_d_31,0802,27,1,t_5751819_b_81646_tn_0,28761,t_5751821_b_81646_tn_0,28761
2800000,c_69967_b_81646_d_31,0803,28,1,t_5751814_b_81646_tn_0,28761,t_5751816_b_81646_tn_0,28717
2900000,c_69967_b_81646_d_31,0804,29,1,t_5751815_b_81646_tn_0,28761,t_5751817_b_81646_tn_0,28717
300000,c_69700_b_81109_d_31,0103,3,1,t_5665301_b_81109_tn_1,5351,t_5665295_b_81109_tn_3,5351
3000000,c_69967_b_81647_d_31,0801,30,1,t_5751818_b_81647_tn_0,28761,t_5751820_b_81647_tn_0,28761
3100000,c_69967_b_81647_d_31,0802,31,1,t_5751819_b_81647_tn_0,28761,t_5751821_b_81647_tn_0,28761
3200000,c_69967_b_81647_d_31,0803,32,1,t_5751814_b_81647_tn_0,28761,t_5751816_b_81647_tn_0,28717
3300000,c_69967_b_81647_d_31,0804,33,1,t_5751815_b_81647_tn_0,28761,t_5751817_b_81647_tn_0,28717
3400000,c_69967_b_81648_d_31,0801,34,1,t_5751818_b_81648_tn_0,28761,t_5751820_b_81648_tn_0,28761
3500000,c_69967_b_81648_d_31,0802,35,1,t_5751819_b_81648_tn_0,28761,t_5751821_b_81648_tn_0,28761
3600000,c_69967_b_81648_d_31,0803,36,1,t_5751814_b_81648_tn_0,28761,t_5751816_b_81648_tn_0,28717
3700000,c_69967_b_81648_d_31,0804,37,1,t_5751815_b_81648_tn_0,28761,t_5751817_b_81648_tn_0,28717
3800000,c_69967_b_81649_d_31,0801,38,1,t_5751818_b_81649_tn_0,28761,t_5751820_b_81649_tn_0,28761
3900000,c_69967_b_81649_d_31,0802,39,1,t_5751819_b_81649_tn_0,28761,t_5751821_b_81649_tn_0,28761
