route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
76439,c_69967_b_81643_d_31,t_5751820_b_81643_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751816_b_81643_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751817_b_81643_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751821_b_81643_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751819_b_81643_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751814_b_81643_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751815_b_81643_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81643_d_31,t_5751818_b_81643_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751820_b_81644_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751816_b_81644_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751817_b_81644_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751821_b_81644_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751819_b_81644_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751814_b_81644_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751815_b_81644_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81644_d_31,t_5751818_b_81644_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751820_b_81645_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751816_b_81645_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751817_b_81645_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751821_b_81645_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751819_b_81645_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751814_b_81645_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751815_b_81645_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81645_d_31,t_5751818_b_81645_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751821_b_81646_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751820_b_81646_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751817_b_81646_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751816_b_81646_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751815_b_81646_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751814_b_81646_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751819_b_81646_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81646_d_31,t_5751818_b_81646_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751817_b_81647_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751816_b_81647_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751821_b_81647_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751820_b_81647_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751818_b_81647_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751815_b_81647_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751814_b_81647_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81647_d_31,t_5751819_b_81647_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751820_b_81648_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751816_b_81648_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751817_b_81648_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751821_b_81648_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751819_b_81648_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751814_b_81648_tn_0,,OAKBROOK DR,1,0803,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751815_b_81648_tn_0,,OAKBROOK DR,1,0804,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81648_d_31,t_5751818_b_81648_tn_0,,OAKBROOK DR,1,0801,p_1434332,,,,,,,,,,,,
76439,c_69967_b_81649_d_31,t_5751820_b_81649_tn_0,,CORDELIA LIBRARY,0,0801,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81649_d_31,t_5751816_b_81649_tn_0,,CORDELIA LIBRARY,0,0803,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81649_d_31,t_5751817_b_81649_tn_0,,CORDELIA LIBRARY,0,0804,p_1435107,,,,,,,,,,,,
76439,c_69967_b_81649_d_31,t_5751821_b_81649_tn_0,,CORDELIA LIBRARY,0,0802,p_1435106,,,,,,,,,,,,
76439,c_69967_b_81649_d_31,t_5751819_b_81649_tn_0,,OAKBROOK DR,1,0802,p_1434332,,,,,,,,,,,,
