trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
8599201,6:00:00,6:00:00,43004,1,,0,0,,1
8599201,6:30:00,6:30:00,43000,2,,0,0,,1
8758841,6:00:00,6:00:00,43004,1,,0,0,,1
8758841,6:30:00,6:30:00,43000,2,,0,0,,1
8758873,6:45:00,6:45:00,43004,1,,0,0,,1
8758873,7:15:00,7:15:00,43000,2,,0,0,,1
8567754,6:45:00,6:45:00,43004,1,,0,0,,1
8567754,7:15:00,7:15:00,43000,2,,0,0,,1
8723642,6:45:00,6:45:00,43004,1,,0,0,,1
8723642,7:15:00,7:15:00,43000,2,,0,0,,1
8758855,7:20:00,7:20:00,43004,1,,0,0,,1
8758855,7:50:00,7:50:00,43000,2,,0,0,,1
8567768,7:20:00,7:20:00,43004,1,,0,0,,1
8567768,7:50:00,7:50:00,43000,2,,0,0,,1
8599215,7:20:00,7:20:00,43004,1,,0,0,,1
8599215,7:50:00,7:50:00,43000,2,,0,0,,1
8599284,7:50:00,7:50:00,43004,1,,0,0,,1
8599284,8:20:00,8:20:00,43000,2,,0,0,,1
8599336,7:50:00,7:50:00,43004,1,,0,0,,1
8599336,8:20:00,8:20:00,43000,2,,0,0,,1
8758919,7:50:00,7:50:00,43004,1,,0,0,,1
8758919,8:20:00,8:20:00,43000,2,,0,0,,1
8567837,7:50:00,7:50:00,43004,1,,0,0,,1
8567837,8:20:00,8:20:00,43000,2,,0,0,,1
8758953,7:50:00,7:50:00,43004,1,,0,0,,1
8758953,8:20:00,8:20:00,43000,2,,0,0,,1
8567889,7:50:00,7:50:00,43004,1,,0,0,,1
8567889,8:20:00,8:20:00,43000,2,,0,0,,1
8567755,8:00:00,8:00:00,43004,1,,0,0,,1
8567755,8:30:00,8:30:00,43000,2,,0,0,,1
8758842,8:00:00,8:00:00,43004,1,,0,0,,1
8758842,8:30:00,8:30:00,43000,2,,0,0,,1
8599202,8:00:00,8:00:00,43004,1,,0,0,,1
8599202,8:30:00,8:30:00,43000,2,,0,0,,1
8758856,8:35:00,8:35:00,43004,1,,0,0,,1
8758856,9:05:00,9:05:00,43000,2,,0,0,,1
8599216,8:35:00,8:35:00,43004,1,,0,0,,1
8599216,9:05:00,9:05:00,43000,2,,0,0,,1
8567769,8:50:00,8:50:00,43004,1,,0,0,,1
8567769,9:20:00,9:20:00,43000,2,,0,0,,1
8599337,9:00:00,9:00:00,43004,1,,0,0,,1
8599337,10:00:00,10:00:00,43000,2,,0,0,,1
8567890,9:00:00,9:00:00,43004,1,,0,0,,1
8567890,10:00:00,10:00:00,43000,2,,0,0,,1
8599276,9:00:00,9:00:00,43004,1,,0,0,,1
8599276,10:00:00,10:00:00,43000,2,,0,0,,1
8567829,9:00:00,9:00:00,43004,1,,0,0,,1
8567829,10:00:00,10:00:00,43000,2,,0,0,,1
8758912,9:00:00,9:00:00,43004,1,,0,0,,1
8758912,10:00:00,10:00:00,43000,2,,0,0,,1
8758954,9:00:00,9:00:00,43004,1,,0,0,,1
8758954,10:00:00,10:00:00,43000,2,,0,0,,1
8599203,9:25:00,9:25:00,43004,1,,0,0,,1
8599203,9:55:00,9:55:00,43000,2,,0,0,,1
8567756,9:25:00,9:25:00,43004,1,,0,0,,1
8567756,9:55:00,9:55:00,43000,2,,0,0,,1
8758843,9:25:00,9:25:00,43004,1,,0,0,,1
8758843,9:55:00,9:55:00,43000,2,,0,0,,1
8723643,10:00:00,10:00:00,43004,1,,0,0,,1
8723643,10:30:00,10:30:00,43000,2,,0,0,,1
8758955,10:00:00,10:00:00,43004,1,,0,0,,1
8758955,10:30:00,10:30:00,43000,2,,0,0,,1
8567830,10:00:00,10:00:00,43004,1,,0,0,,1
8567830,10:30:00,10:30:00,43000,2,,0,0,,1
8758913,10:00:00,10:00:00,43004,1,,0,0,,1
8758913,10:30:00,10:30:00,43000,2,,0,0,,1
8758874,10:00:00,10:00:00,43004,1,,0,0,,1
