fare_id,route_id,origin_id,destination_id,contains_id
F1,,1,1,
F2,,1,2,
F2,,1,3,
F4,,1,4,
F5,,1,5,
F5,,1,6,
F6,,1,7,
F2,,2,1,
F7,,2,2,
F7,,2,3,
F7,,2,4,
F4,,2,5,
F4,,2,6,
F9,,2,7,
F2,,3,1,
F7,,3,2,
F7,,3,3,
F7,,3,4,
F4,,3,5,
F4,,3,6,
F9,,3,7,
F4,,4,1,
F7,,4,2,
F7,,4,3,
F7,,4,4,
F11,,4,5,
F11,,4,6,
F9,,4,7,
F5,,5,1,
F4,,5,2,
F4,,5,3,
F11,,5,4,
F1,,5,5,
F1,,5,6,
F6,,5,7,
F5,,6,1,
F4,,6,2,
F4,,6,3,
F11,,6,4,
F1,,6,5,
F1,,6,6,
F6,,6,7,
F6,,7,1,
F9,,7,2,
F9,,7,3,
F9,,7,4,
F6,,7,5,
F6,,7,6,
F1,,7,7,
