shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1010465,37.970868,-122.522318,10001
1010465,37.970857,-122.522318,10002
1010465,37.970668,-122.522331,10003
1010465,37.970593,-122.522335,10004
1010465,37.970527,-122.522331,10005
1010465,37.970451,-122.522318,10006
1010465,37.970424,-122.522311,10007
1010465,37.970380,-122.522301,10008
1010465,37.970331,-122.522287,10009
1010465,37.970311,-122.522280,10010
1010465,37.970287,-122.522271,10011
1010465,37.970203,-122.522236,10012
1010465,37.970128,-122.522204,10013
1010465,37.970077,-122.522183,10014
1010465,37.970012,-122.522150,10015
1010465,37.969953,-122.522121,10016
1010465,37.969895,-122.522088,10017
1010465,37.969836,-122.522055,10018
1010465,37.969772,-122.522020,10019
1010465,37.969666,-122.521956,10020
1010465,37.969556,-122.521882,10021
1010465,37.969496,-122.521844,10022
1010465,37.969402,-122.521775,10023
1010465,37.969328,-122.521720,10024
1010465,37.969183,-122.521609,10025
1010465,37.968887,-122.521337,10026
1010465,37.968824,-122.521277,10027
1010465,37.968687,-122.521128,10028
1010465,37.968537,-122.520950,10029
1010465,37.968409,-122.520790,10030
1010465,37.968229,-122.520538,10031
1010465,37.968084,-122.520316,10032
1010465,37.968042,-122.520243,10033
1010465,37.967922,-122.520043,10034
1010465,37.967837,-122.519896,10035
1010465,37.967766,-122.519759,10036
1010465,37.967611,-122.519273,10037
1010465,37.967378,-122.518852,10038
1010465,37.967253,-122.518626,10039
1010465,37.967004,-122.518174,10040
1010465,37.966910,-122.518000,10041
1010465,37.966707,-122.517642,10042
1010465,37.966606,-122.517460,10043
1010465,37.966350,-122.516996,10044
1010465,37.965887,-122.516222,10045
1010465,37.965743,-122.515982,10046
1010465,37.965416,-122.515426,10047
1010465,37.965050,-122.514794,10048
1010465,37.964996,-122.514699,10049
1010465,37.964958,-122.514632,10050
1010465,37.964848,-122.514423,10051
1010465,37.964643,-122.514066,10052
1010465,37.963588,-122.512181,10053
1010465,37.963506,-122.512033,10054
1010465,37.963467,-122.511963,10055
1010465,37.963148,-122.511412,10056
1010465,37.963000,-122.511168,10057
1010465,37.962899,-122.511018,10058
1010465,37.962788,-122.510884,10059
1010465,37.962672,-122.510763,10060
1010465,37.962486,-122.510580,10061
1010465,37.962279,-122.510387,10062
1010465,37.961968,-122.510184,10063
1010465,37.961803,-122.510084,10064
1010465,37.961681,-122.510020,10065
1010465,37.961564,-122.509969,10066
1010465,37.961420,-122.509921,10067
1010465,37.961112,-122.509825,10068
1010465,37.960663,-122.509732,10069
1010465,37.960070,-122.509608,10070
1010465,37.959915,-122.509583,10071
1010465,37.959756,-122.509549,10072
1010465,37.959641,-122.509526,10073
1010465,37.959478,-122.509492,10074
1010465,37.959478,-122.509492,20001
1010465,37.959023,-122.509398,20002
1010465,37.958943,-122.509384,20003
1010465,37.958796,-122.509364,20004
1010465,37.958670,-122.509339,20005
