stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2-017,880040,SPRINGTOWN BLVD & BLUEBELL DR,,37.705346,-121.740859,,,,,,0
2-031,880043,DALTON AVE & VASCO RD,,37.726887,-121.726686,,,,,,0
2-043,880059,JUNCTION AVE & CHESTNUT ST OUTBOUND,0 JUNCTION AVE & CHESTNUT ST,37.686841,-121.766714,,,,,,0
7-110,880095,EAST DUBLIN PLEASANTON  BART,0 UNNAMED ST & I-580 E,37.701682,-121.898192,,,,,,0
6-009,880103,DUBLIN BLVD & TASSAJARA RD, Unit WB,37.705802,-121.875028,,,,,,0
1-001,881448,MURRIETA BLVD & OLIVINA AVE,N MURRIETA BLVD & DEL NORTE DR,37.683176,-121.790886,,,,,,0
1-002,881449,MURRIETA BLVD & PINE ST,,37.687598,-121.790799,,,,,,0
1-014,881461,NORTH CANYON PLWY & CONSTITUTION DR EB,,37.704508,-121.816342,,,,,,0
1-015,881462,NORTH CANYON PKWY & INDEPENDENCE DR EB,,37.704158,-121.811136,,,,,,0
1-017,881464,LAS POSITAS COLLEGE,CAMPUS LOOP RD,37.710383,-121.799763,,,,,,0
1-019,881466,NORTH CANYON PKWY & INDEPENDENCE  DR, Unit WB,37.704096,-121.812889,,,,,,0
1-020,881467,NORTH CANYON PKWY & CONSTITUTION DR WB,N CANYON PKWY,37.704483,-121.817951,,,,,,0
1-032,881479,MURRIETA BLVD & PINE ST,,37.687766,-121.791023,,,,,,0
2-009,881489,VASCO RD & LAS POSITAS RD, Unit NB,37.70323,-121.720535,,,,,,0
2-010,881490,VASCO RD & LAS POSITAS RD,,37.702137,-121.720273,,,,,,0
2-011,881491,VASCO RD & BRISA ST,,37.699051,-121.718495,,,,,,0
2-012,881492,FIRST ST & LARCH LN,1ST ST & INDUSTRIAL WAY,37.688788,-121.756406,,,,,,0
2-013,881946,FIRST ST & PORTOLA AVE, Unit PRE,37.690099,-121.753783,,,,,,0
2-014,881494,FIRST ST & PORTOLA AVE,,37.691598,-121.750965,,,,,,0
2-118,881496,FIRST ST & LAS POSITAS RD,,37.699144,-121.742017,,,,,,0
2-018,881498,SPRINGTOWN BLVD & RHODODENDRON DR,,37.708364,-121.745438,,,,,,0
2-020,881500,SPRINGTOWN BLVD & OLEANDER DR,,37.712621,-121.747849,,,,,,0
2-021,881501,SPRINGTOWN BLVD & RHODODENDRON DR,,37.716079,-121.747881,,,,,,0
2-022,881502,BLUEBELL DR & GALLOWAY ST,,37.719071,-121.74653,,,,,,0
2-023,881503,BLUEBELL DR & NORTH LIVERMORE PARK,,37.718784,-121.744428,,,,,,0
2-024,881504,BLUEBELL DR & CAPRICONUS AVE,,37.717142,-121.74152,,,,,,0
2-025,881505,SCENIC AVE & AQUARIUS ST,,37.716996,-121.737581,,,,,,0
2-026,881506,SCENIC AVE & HEATHER LN,,37.716977,-121.733039,,,,,,0
2-027,881507,BROADMOOR ST & GREENWICH ST,,37.718861,-121.732508,,,,,,0
2-028,881508,BROADMOOR ST & BRIDGEPORT CIR,,37.721216,-121.732509,,,,,,0
2-030,881510,BROADMOOR ST & HAGGIN OAKS AVE,,37.726109,-121.732453,,,,,,0
2-032,881512,SCENIC AVE & VASCO RD,,37.717113,-121.725035,,,,,,0
2-033,881513,SCENIC AVE & LEO CROCE SCHOOL,,37.717114,-121.729187,,,,,,0
2-034,881514,SCENIC AVE & BROADMOOR ST,,37.717113,-121.733238,,,,,,0
2-035,881515,HEATHER LN & IRIS WY,,37.713061,-121.7341,,,,,,0
2-036,881516,BLUEBELL DR & HEATHER LN,,37.71098,-121.735173,,,,,,0
2-037,881517,BLUEBELL DR & SUNFLOWER CT,,37.707952,-121.735712,,,,,,0
2-038,881518,BLUEBELL DR & LAS FLORES RD,,37.706273,-121.738303,,,,,,0
2-040,881520,FIRST ST & MINES RD, Unit WB,37.693936,-121.748155,,,,,,0
2-041,881521,FIRST ST &  LARCH LN, Unit WB & INDUSTRIAL WAY,37.689245,-121.756199,,,,,,0
2-042,881522,LIVERMORE HIGH SCHOOL,0 MAPLE ST & 6TH ST,37.680663,-121.761918,,,,,,0
2-047,881527,4992 NORTH  LIVERMORE AVE,,37.693988,-121.77306,,,,,,0
2-048,881528,4750 NORTH LIVERMORE AVE,,37.696995,-121.773215,,,,,,0
2-050,881530,LIVERMORE TARGET,,37.699704,-121.745182,,,,,,0
2-067,881547,LAS POSITAS RD & PLAZA DR,,37.69941,-121.744138,,,,,,0
2-068,881548,LIVERMORE TARGET, Unit WB,37.700519,-121.747038,,,,,,0
2-069,881549,WALMART INBOUND, Unit WB & ARROYO PLZ,37.698371,-121.769612,,,,,,0
2-070,881550,NORTH LIVERMORE AVE & LAS POSITAS RD,,37.696502,-121.773561,,,,,,0
2-071,881551,NORTH LIVERMORE AVE & CROMWELL WY,,37.693032,-121.773381,,,,,,0
2-075,881555,JUNCTION AVE & CHESTNUT ST,,37.686987,-121.767302,,,,,,0
3-002,881556,STANLEY BLVD & MURDELL LN EB,,37.676595,-121.799795,,,,,,0
3-003,881557,STANLEY BLVD & EL CAMINITO,,37.677144,-121.79494,,,,,,0
3-005,881558,STANLEY BLVD & MURRIETA BLVD EB,E STANLEY BLVD & DEL NORTE DR,37.678045,-121.786643,,,,,,0
3-006,881559,STANLEY BLVD & VALLEY MEMORIAL  HOSPITAL EB,,37.678864,-121.781922,,,,,,0
3-007,881560,RAILROAD AVE & P ST EB,,37.680664,-121.778142,,,,,,0
3-008,881561,RAILROAD AVE & N ST,,37.681692,-121.774684,,,,,,0
3-009,881562,RAILROAD AVE & STATION SQUARE,,37.682467,-121.772825,,,,,,0
3-010,881563,RAILROAD AVE & P ST, Unit WB,37.680725,-121.77878,,,,,,0
3-011,881564,STANLEY BLVD & VALLEY MEMORIAL HOSPITAL, Unit WB,37.679257,-121.781549,,,,,,0
3-012,881565,STANLEY BLVD & WALL ST,,37.677746,-121.79181,,,,,,0
3-013,881566,STANLEY BLVD & MURDELL LN,,37.676798,-121.800519,,,,,,0
3-015,881567,FOURTH ST & M ST,,37.678296,-121.771998,,,,,,0
3-016,881568,FOURTH ST & P ST,,37.677515,-121.774561,,,,,,0
3-034,881586,FOURTH ST & P ST,,37.677292,-121.774796,,,,,,0
