route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,2,801560,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801561,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801562,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801563,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801564,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801565,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801566,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801567,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801568,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801569,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801570,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801571,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
1,2,801572,HALL OF JUSTICE - SANTA RITA JAIL,,0,136221,42532,0,0
1,2,801573,HALL OF JUSTICE - SANTA RITA JAIL,,0,136220,42532,0,0
10R,2,801740,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801741,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801742,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801743,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801744,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801745,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801746,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801747,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801748,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801749,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801750,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801751,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801752,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801753,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801754,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801755,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801756,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801757,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801758,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801759,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801760,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801761,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801762,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801763,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801764,LIVERMORE TRANSIT CENTER,,0,136263,42534,0,0
10R,2,801765,LIVERMORE TRANSIT CENTER,,0,136264,42534,0,0
10R,2,801766,LIVERMORE TRANSIT CENTER,,0,136262,42534,0,0
10R,2,801767,LIVERMORE TRANSIT CENTER,,0,136263,42533,0,0
10R,2,801768,LIVERMORE TRANSIT CENTER,,0,136262,42533,0,0
10R,2,801770,EAST DUBLIN PLEASANTON BART,,1,136263,42536,0,0
10R,2,801771,EAST DUBLIN PLEASANTON BART,,1,136262,42536,0,0
10R,2,801772,EAST DUBLIN PLEASANTON BART,,1,136263,42536,0,0
10R,2,801773,EAST DUBLIN PLEASANTON BART,,1,136262,42536,0,0
10R,2,801774,EAST DUBLIN PLEASANTON BART,,1,136263,42536,0,0
10R,2,801775,EAST DUBLIN PLEASANTON BART,,1,136262,42536,0,0
10R,2,801776,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801777,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801778,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801779,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801780,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801781,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801782,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801783,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801784,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801785,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801786,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801787,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801788,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801789,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801769,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801790,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801791,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801792,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801793,EAST DUBLIN PLEASANTON BART,,1,136263,42537,0,0
10R,2,801794,EAST DUBLIN PLEASANTON BART,,1,136264,42537,0,0
10R,2,801795,EAST DUBLIN PLEASANTON BART,,1,136262,42537,0,0
10R,2,801796,EAST DUBLIN PLEASANTON BART,,1,136263,42535,0,0
10R,2,801797,EAST DUBLIN PLEASANTON BART,,1,136262,42535,0,0
10R,2,801798,EAST DUBLIN PLEASANTON BART,,1,136263,42535,0,0
10R,2,801799,EAST DUBLIN PLEASANTON BART,,1,136262,42535,0,0
14,2,802661,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802660,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802659,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802658,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802657,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802656,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802655,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802654,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802653,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802652,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802651,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802650,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802649,LIVERMORE TRANSIT CENTER,,0,136221,42540,0,0
14,2,802648,LIVERMORE TRANSIT CENTER,,0,136220,42540,0,0
14,2,802675,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802674,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802673,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802672,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802671,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802670,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802669,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802668,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802667,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802666,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802665,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802664,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
14,2,802663,EAST DUBLIN PLEASANTON BART,,1,136220,42541,0,0
14,2,802662,EAST DUBLIN PLEASANTON BART,,1,136221,42541,0,0
15,2,803006,SPRINGTOWN - LIVEMORE TRANSIT CENTER,,0,136326,42543,0,0
15,2,803007,SPRINGTOWN - LIVEMORE TRANSIT CENTER,,0,136326,42543,0,0
