shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_1275834,-122.39107,37.79472,1,0.00000000
p_1275834,-122.3888269533,37.7968939065,2,311.84705983
p_1275834,-122.3877070958,37.7983558977,3,501.74026109
p_1275834,-122.3877936683,37.8003610002,4,724.42252948
p_1275834,-122.390190258,37.8031264048,5,1096.92752438
p_1275834,-122.4019766888,37.811677565,6,2503.38711922
p_1275834,-122.4055820008,37.8135486702,7,2882.75021890
p_1275834,-122.4096723038,37.813907394,8,3245.11250663
p_1275834,-122.4121404076,37.8131533108,9,3477.99989342
p_1275834,-122.4132777754,37.8120949025,10,3632.37245699
p_1275834,-122.4133278653,37.8110660148,11,3746.65684188
p_1275834,-122.413110809,37.810657094,12,3795.90450461
p_1275834,-122.412272,37.809594,13,3935.11278675
p_1275835,-122.412272,37.809594,1,0.00000000
p_1275835,-122.4133856498,37.8108873146,2,173.84820586
p_1275835,-122.4132467827,37.8121063084,3,309.69933274
p_1275835,-122.4124290099,37.8130402556,4,435.91767672
p_1275835,-122.4094177676,37.8138147862,5,714.65908136
p_1275835,-122.4051460053,37.8133168746,6,1094.84449455
p_1275835,-122.3998717052,37.8108341027,7,1634.87988441
p_1275835,-122.390511665,37.8036304429,8,2783.22500158
p_1275835,-122.3883539425,37.8009341847,9,3137.72378417
p_1275835,-122.3874877539,37.7987467146,10,3392.21948043
p_1275835,-122.3890381821,37.796704854,11,3656.80982879
p_1275835,-122.39107,37.79472,12,3940.63770072
p_1276395,-122.2984651189,37.7771650761,1,0.00000000
p_1276395,-122.3042349701,37.77737588,2,508.84735277
p_1276395,-122.3055243709,37.7768275752,3,637.71571013
p_1276395,-122.3063613584,37.7763393682,4,729.22209533
p_1276395,-122.3079612173,37.7752900126,5,912.06404595
p_1276395,-122.3110352151,37.7748406172,6,1187.43851109
p_1276395,-122.3134122109,37.774770997,7,1396.99523229
p_1276395,-122.3214341712,37.7755010033,8,2108.35920899
p_1276395,-122.3295797234,37.7760653384,9,2828.70432981
p_1276395,-122.3378663965,37.7773249816,10,3572.01176311
p_1276395,-122.3416950072,37.7780140518,11,3917.86329676
p_1276395,-122.3559168195,37.7809810189,12,5213.28712260
p_1276395,-122.3644665961,37.7834410896,13,6014.41805955
p_1276395,-122.3677989362,37.7846044939,14,6335.10848088
p_1276395,-122.3720723084,37.7860937186,15,6746.23237379
p_1276395,-122.376494729,37.7878716971,16,7182.91928044
p_1276395,-122.3794519076,37.7896407931,17,7509.11771389
p_1276395,-122.3816833291,37.7912826655,18,7777.14896559
p_1276395,-122.3857955935,37.7947505041,19,8305.67750032
p_1276395,-122.3865000009,37.7953398509,20,8395.83315688
p_1276395,-122.387382067,37.7956695177,21,8481.70748907
p_1276395,-122.3884126371,37.7956691917,22,8572.47558735
p_1276395,-122.3891780457,37.7955176161,23,8641.95704021
p_1276395,-122.3898286531,37.795385608,24,8701.10338528
p_1276395,-122.3912494905,37.794760351,25,8844.20040293
p_1276399,-122.39125,37.79476,1,0.00000000
p_1276399,-122.38982,37.79539,2,144.05809430
p_1276399,-122.38917,37.79552,3,203.09774557
p_1276399,-122.38841,37.79567,4,272.07468358
p_1276399,-122.38738,37.79567,5,362.79255465
p_1276399,-122.38649,37.79534,6,449.31522393
p_1276399,-122.38579,37.79475,7,539.25695644
p_1276399,-122.38167,37.79128,8,1068.42724069
p_1276399,-122.37945,37.78964,9,1335.58000210
p_1276399,-122.37649,37.78787,10,1662.03729828
p_1276399,-122.37202,37.78608,11,2103.06649061
p_1276399,-122.36771,37.78458,12,2517.62556962
p_1276399,-122.36446,37.78344,13,2830.63122097
p_1276399,-122.35591,37.78098,14,3631.77799076
p_1276399,-122.34168,37.77801,15,4927.98504205
p_1276399,-122.33784,37.77732,16,5274.83795946
p_1276399,-122.32956,37.77606,17,6017.57551577
p_1276399,-122.32143,37.7755,18,6736.51396700
p_1276399,-122.31341,37.77477,19,7447.70629948
p_1276399,-122.31103,37.77484,20,7657.52907100
p_1276399,-122.30796,37.77529,21,7932.56934055
p_1276399,-122.30636,37.77634,22,8115.46644257
p_1276399,-122.30552,37.77683,23,8207.30453029
p_1276399,-122.30475,37.77756,24,8312.97641184
p_1276399,-122.29832,37.77717,25,8881.09374369
p_1303747,-122.2940330487,37.7907565121,1,0.00000000
p_1303747,-122.2941782994,37.7915026105,2,83.79380517
p_1303747,-122.2946533991,37.7917059214,3,131.33740541
p_1303747,-122.2955122686,37.7917080958,4,206.98728590
p_1303747,-122.3028551884,37.7915664192,5,853.94566192
p_1303747,-122.3081153904,37.7926301931,6,1332.07127698
p_1303747,-122.3143452393,37.7939009393,7,1898.62394271
p_1303747,-122.3213274842,37.7956474608,8,2543.42608045
