trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t_5797627_b_81905_tn_0,7:00:00,7:00:00,72013,1,,0,0,0.00000000,1
t_5797627_b_81905_tn_0,7:25:00,7:25:00,7206,2,,0,0,13947.99011216,1
t_5802051_b_none_tn_0,7:00:00,7:00:00,72013,1,,0,0,0.00000000,1
t_5802051_b_none_tn_0,7:25:00,7:25:00,7206,2,,0,0,13947.99011216,1
t_5797626_b_81905_tn_0,8:00:00,8:00:00,72013,1,,0,0,0.00000000,1
t_5797626_b_81905_tn_0,8:25:00,8:25:00,7206,2,,0,0,13947.99011216,1
t_5802050_b_none_tn_0,8:00:00,8:00:00,72013,1,,0,0,0.00000000,1
t_5802050_b_none_tn_0,8:25:00,8:25:00,7206,2,,0,0,13947.99011216,1
t_5797677_b_81905_tn_0,9:00:00,9:00:00,72013,1,,0,0,0.00000000,1
t_5797677_b_81905_tn_0,9:25:00,9:25:00,7206,2,,0,0,13947.99011216,1
t_5802099_b_none_tn_0,9:00:00,9:00:00,72013,1,,0,0,0.00000000,1
t_5802099_b_none_tn_0,9:25:00,9:25:00,7206,2,,0,0,13947.99011216,1
t_5797660_b_81905_tn_0,10:45:00,10:45:00,72013,1,,0,0,0.00000000,1
t_5797660_b_81905_tn_0,11:10:00,11:10:00,7206,2,,0,0,13947.99011216,1
t_5802082_b_none_tn_0,10:45:00,10:45:00,72013,1,,0,0,0.00000000,1
t_5802082_b_none_tn_0,11:10:00,11:10:00,7206,2,,0,0,13947.99011216,1
t_5797747_b_81905_tn_0,11:50:00,11:50:00,72013,1,,0,0,0.00000000,1
t_5797747_b_81905_tn_0,12:15:00,12:15:00,7206,2,,0,0,13947.99011216,1
t_5802162_b_none_tn_0,11:50:00,11:50:00,72013,1,,0,0,0.00000000,1
t_5802162_b_none_tn_0,12:15:00,12:15:00,7206,2,,0,0,13947.99011216,1
t_5802192_b_none_tn_0,13:25:00,13:25:00,72013,1,,0,0,0.00000000,1
t_5802192_b_none_tn_0,13:50:00,13:50:00,7206,2,,0,0,13947.99011216,1
t_5797776_b_81905_tn_0,13:25:00,13:25:00,72013,1,,0,0,0.00000000,1
t_5797776_b_81905_tn_0,13:50:00,13:50:00,7206,2,,0,0,13947.99011216,1
t_5797679_b_81905_tn_0,15:40:00,15:40:00,72013,1,,0,0,0.00000000,1
t_5797679_b_81905_tn_0,16:05:00,16:05:00,7206,2,,0,0,13947.99011216,1
t_5802101_b_none_tn_0,15:40:00,15:40:00,72013,1,,0,0,0.00000000,1
t_5802101_b_none_tn_0,16:05:00,16:05:00,7206,2,,0,0,13947.99011216,1
t_5802102_b_none_tn_0,16:40:00,16:40:00,72013,1,,0,0,0.00000000,1
t_5802102_b_none_tn_0,17:05:00,17:05:00,7206,2,,0,0,13947.99011216,1
t_5797680_b_81905_tn_0,16:40:00,16:40:00,72013,1,,0,0,0.00000000,1
t_5797680_b_81905_tn_0,17:05:00,17:05:00,7206,2,,0,0,13947.99011216,1
t_5797678_b_81905_tn_0,17:40:00,17:40:00,72013,1,,0,0,0.00000000,1
t_5797678_b_81905_tn_0,18:05:00,18:05:00,7206,2,,0,0,13947.99011216,1
t_5802100_b_none_tn_0,17:40:00,17:40:00,72013,1,,0,0,0.00000000,1
t_5802100_b_none_tn_0,18:05:00,18:05:00,7206,2,,0,0,13947.99011216,1
t_5802103_b_none_tn_0,18:40:00,18:40:00,72013,1,,0,0,0.00000000,1
t_5802103_b_none_tn_0,19:05:00,19:05:00,7206,2,,0,0,13947.99011216,1
t_5797681_b_81905_tn_0,18:40:00,18:40:00,72013,1,,0,0,0.00000000,1
t_5797681_b_81905_tn_0,19:05:00,19:05:00,7206,2,,0,0,13947.99011216,1
t_5797775_b_81905_tn_0,9:00:00,9:00:00,7206,1,,0,0,0.00000000,1
t_5797775_b_81905_tn_0,9:25:00,9:25:00,72012,2,,0,0,13944.51777083,1
t_5802190_b_none_tn_0,9:00:00,9:00:00,7206,1,,0,0,0.00000000,1
t_5802190_b_none_tn_0,9:25:00,9:25:00,72012,2,,0,0,13944.51777083,1
t_5797718_b_81905_tn_0,10:20:00,10:20:00,7206,1,,0,0,0.00000000,1
t_5797718_b_81905_tn_0,10:45:00,10:45:00,72012,2,,0,0,13944.51777083,1
t_5802135_b_none_tn_0,10:20:00,10:20:00,7206,1,,0,0,0.00000000,1
t_5802135_b_none_tn_0,10:45:00,10:45:00,72012,2,,0,0,13944.51777083,1
t_5797632_b_81905_tn_0,11:15:00,11:15:00,7206,1,,0,0,0.00000000,1
t_5797632_b_81905_tn_0,11:40:00,11:40:00,72012,2,,0,0,13944.51777083,1
t_5802067_b_none_tn_0,11:15:00,11:15:00,7206,1,,0,0,0.00000000,1
t_5802067_b_none_tn_0,11:40:00,11:40:00,72012,2,,0,0,13944.51777083,1
t_5802054_b_none_tn_0,6:30:00,6:30:00,7206,1,,0,0,0.00000000,1
t_5802054_b_none_tn_0,6:55:00,6:55:00,72013,2,,0,0,13944.28765469,1
t_5797630_b_81905_tn_0,6:30:00,6:30:00,7206,1,,0,0,0.00000000,1
t_5797630_b_81905_tn_0,6:55:00,6:55:00,72013,2,,0,0,13944.28765469,1
t_5802053_b_none_tn_0,7:30:00,7:30:00,7206,1,,0,0,0.00000000,1
t_5802053_b_none_tn_0,7:55:00,7:55:00,72013,2,,0,0,13944.28765469,1
t_5797629_b_81905_tn_0,7:30:00,7:30:00,7206,1,,0,0,0.00000000,1
t_5797629_b_81905_tn_0,7:55:00,7:55:00,72013,2,,0,0,13944.28765469,1
t_5797628_b_81905_tn_0,8:30:00,8:30:00,7206,1,,0,0,0.00000000,1
t_5797628_b_81905_tn_0,8:55:00,8:55:00,72013,2,,0,0,13944.28765469,1
t_5802052_b_none_tn_0,8:30:00,8:30:00,7206,1,,0,0,0.00000000,1
t_5802052_b_none_tn_0,8:55:00,8:55:00,72013,2,,0,0,13944.28765469,1
t_5797631_b_81905_tn_0,9:30:00,9:30:00,7206,1,,0,0,0.00000000,1
t_5797631_b_81905_tn_0,9:55:00,9:55:00,72013,2,,0,0,13944.28765469,1
t_5802055_b_none_tn_0,9:30:00,9:30:00,7206,1,,0,0,0.00000000,1
t_5802055_b_none_tn_0,9:55:00,9:55:00,72013,2,,0,0,13944.28765469,1
t_5802164_b_none_tn_0,12:20:00,12:20:00,7206,1,,0,0,0.00000000,1
t_5802164_b_none_tn_0,12:45:00,12:45:00,72013,2,,0,0,13944.28765469,1
t_5797749_b_81905_tn_0,12:20:00,12:20:00,7206,1,,0,0,0.00000000,1
t_5797749_b_81905_tn_0,12:45:00,12:45:00,72013,2,,0,0,13944.28765469,1
t_5797684_b_81905_tn_0,16:10:00,16:10:00,7206,1,,0,0,0.00000000,1
t_5797684_b_81905_tn_0,16:35:00,16:35:00,72013,2,,0,0,13944.28765469,1
t_5802106_b_none_tn_0,16:10:00,16:10:00,7206,1,,0,0,0.00000000,1
t_5802106_b_none_tn_0,16:35:00,16:35:00,72013,2,,0,0,13944.28765469,1
t_5797682_b_81905_tn_0,17:10:00,17:10:00,7206,1,,0,0,0.00000000,1
t_5797682_b_81905_tn_0,17:35:00,17:35:00,72013,2,,0,0,13944.28765469,1
t_5802104_b_none_tn_0,17:10:00,17:10:00,7206,1,,0,0,0.00000000,1
t_5802104_b_none_tn_0,17:35:00,17:35:00,72013,2,,0,0,13944.28765469,1
t_5797685_b_81905_tn_0,18:10:00,18:10:00,7206,1,,0,0,0.00000000,1
t_5797685_b_81905_tn_0,18:35:00,18:35:00,72013,2,,0,0,13944.28765469,1
t_5802107_b_none_tn_0,18:10:00,18:10:00,7206,1,,0,0,0.00000000,1
t_5802107_b_none_tn_0,18:35:00,18:35:00,72013,2,,0,0,13944.28765469,1
t_5797683_b_81905_tn_0,19:55:00,19:55:00,7206,1,,0,0,0.00000000,1
t_5797683_b_81905_tn_0,20:20:00,20:20:00,72013,2,,0,0,13944.28765469,1
t_5802105_b_none_tn_0,19:55:00,19:55:00,7206,1,,0,0,0.00000000,1
t_5802105_b_none_tn_0,20:20:00,20:20:00,72013,2,,0,0,13944.28765469,1
t_5797648_b_81905_tn_0,8:30:00,8:30:00,7208,1,,0,0,0.00000000,1
t_5797648_b_81905_tn_0,8:40:00,8:50:00,7209,2,,0,0,1514.88235720,1
t_5797648_b_81905_tn_0,9:15:00,9:15:00,72012,3,,0,0,11751.67690759,1
t_5800139_b_81905_tn_0,9:45:00,9:45:00,7208,1,,0,0,0.00000000,1
t_5800139_b_81905_tn_0,9:55:00,10:05:00,7209,2,,0,0,1514.88235720,1
t_5800139_b_81905_tn_0,10:30:00,10:30:00,72012,3,,0,0,11751.67690759,1
t_5797649_b_81905_tn_0,11:00:00,11:00:00,7208,1,,0,0,0.00000000,1
t_5797649_b_81905_tn_0,11:10:00,11:20:00,7209,2,,0,0,1514.88235720,1
t_5797649_b_81905_tn_0,11:45:00,11:45:00,72012,3,,0,0,11751.67690759,1
t_5800143_b_81905_tn_0,11:55:00,11:55:00,7208,1,,0,0,0.00000000,1
t_5800143_b_81905_tn_0,12:05:00,12:15:00,7209,2,,0,0,1514.88235720,1
t_5800143_b_81905_tn_0,12:40:00,12:40:00,72012,3,,0,0,11751.67690759,1
t_5797815_b_81905_tn_0,12:20:00,12:20:00,7208,1,,0,0,0.00000000,1
t_5797815_b_81905_tn_0,12:30:00,12:35:00,7209,2,,0,0,1514.88235720,1
t_5797815_b_81905_tn_0,13:00:00,13:00:00,72012,3,,0,0,11751.67690759,1
t_5802012_b_none_tn_0,12:20:00,12:20:00,7208,1,,0,0,0.00000000,1
t_5802012_b_none_tn_0,12:30:00,12:35:00,7209,2,,0,0,1514.88235720,1
t_5802012_b_none_tn_0,13:00:00,13:00:00,72012,3,,0,0,11751.67690759,1
t_5797650_b_81905_tn_0,13:15:00,13:15:00,7208,1,,0,0,0.00000000,1
t_5797650_b_81905_tn_0,13:25:00,13:35:00,7209,2,,0,0,1514.88235720,1
t_5797650_b_81905_tn_0,14:00:00,14:00:00,72012,3,,0,0,11751.67690759,1
t_5800145_b_81905_tn_0,14:10:00,14:10:00,7208,1,,0,0,0.00000000,1
t_5800145_b_81905_tn_0,14:20:00,14:30:00,7209,2,,0,0,1514.88235720,1
t_5800145_b_81905_tn_0,14:55:00,14:55:00,72012,3,,0,0,11751.67690759,1
t_5800151_b_81905_tn_0,14:35:00,14:35:00,7208,1,,0,0,0.00000000,1
t_5800151_b_81905_tn_0,14:45:00,14:55:00,7209,2,,0,0,1514.88235720,1
t_5800151_b_81905_tn_0,15:20:00,15:20:00,72012,3,,0,0,11751.67690759,1
t_5800140_b_81905_tn_0,14:55:00,14:55:00,7208,1,,0,0,0.00000000,1
t_5800140_b_81905_tn_0,15:05:00,15:15:00,7209,2,,0,0,1514.88235720,1
t_5800140_b_81905_tn_0,15:40:00,15:40:00,72012,3,,0,0,11751.67690759,1
t_5800147_b_81905_tn_0,15:55:00,15:55:00,7208,1,,0,0,0.00000000,1
t_5800147_b_81905_tn_0,16:05:00,16:15:00,7209,2,,0,0,1514.88235720,1
t_5800147_b_81905_tn_0,16:40:00,16:40:00,72012,3,,0,0,11751.67690759,1
t_5800153_b_81905_tn_0,16:55:00,16:55:00,7208,1,,0,0,0.00000000,1
t_5800153_b_81905_tn_0,17:05:00,17:15:00,7209,2,,0,0,1514.88235720,1
t_5800153_b_81905_tn_0,17:40:00,17:40:00,72012,3,,0,0,11751.67690759,1
t_5800149_b_81905_tn_0,17:25:00,17:25:00,7208,1,,0,0,0.00000000,1
t_5800149_b_81905_tn_0,17:35:00,17:45:00,7209,2,,0,0,1514.88235720,1
t_5800149_b_81905_tn_0,18:10:00,18:10:00,72012,3,,0,0,11751.67690759,1
t_5800155_b_81905_tn_0,18:15:00,18:15:00,7208,1,,0,0,0.00000000,1
t_5800155_b_81905_tn_0,18:25:00,18:35:00,7209,2,,0,0,1514.88235720,1
t_5800155_b_81905_tn_0,19:00:00,19:00:00,72012,3,,0,0,11751.67690759,1
t_5800157_b_81905_tn_0,19:35:00,19:35:00,7208,1,,0,0,0.00000000,1
t_5800157_b_81905_tn_0,19:45:00,19:55:00,7209,2,,0,0,1514.88235720,1
t_5800157_b_81905_tn_0,20:20:00,20:20:00,72012,3,,0,0,11751.67690759,1
t_5800159_b_81905_tn_0,20:55:00,20:55:00,7208,1,,0,0,0.00000000,1
t_5800159_b_81905_tn_0,21:05:00,21:10:00,7209,2,,0,0,1514.88235720,1
t_5800159_b_81905_tn_0,21:35:00,21:35:00,72012,3,,0,0,11751.67690759,1
t_5797778_b_81905_tn_0,9:20:00,9:20:00,72012,1,,0,0,0.00000000,1
t_5797778_b_81905_tn_0,9:40:00,9:40:00,7208,2,,0,0,8975.40000978,1
t_5797712_b_81905_tn_0,9:25:00,9:25:00,72012,1,,0,0,0.00000000,1
t_5797712_b_81905_tn_0,9:45:00,9:45:00,7208,2,,0,0,8975.40000978,1
t_5802182_b_none_tn_0,9:25:00,9:25:00,72012,1,,0,0,0.00000000,1
t_5802182_b_none_tn_0,9:45:00,9:45:00,7208,2,,0,0,8975.40000978,1
t_5800134_b_81905_tn_0,10:15:00,10:15:00,72012,1,,0,0,0.00000000,1
t_5800134_b_81905_tn_0,10:35:00,10:35:00,7208,2,,0,0,8975.40000978,1
t_5802196_b_none_tn_0,10:15:00,10:15:00,72012,1,,0,0,0.00000000,1
t_5802196_b_none_tn_0,10:35:00,10:35:00,7208,2,,0,0,8975.40000978,1
t_5797779_b_81905_tn_0,10:35:00,10:35:00,72012,1,,0,0,0.00000000,1
t_5797779_b_81905_tn_0,10:55:00,10:55:00,7208,2,,0,0,8975.40000978,1
t_5802010_b_none_tn_0,11:20:00,11:20:00,72012,1,,0,0,0.00000000,1
t_5802010_b_none_tn_0,11:40:00,11:40:00,7208,2,,0,0,8975.40000978,1
t_5797769_b_81905_tn_0,11:20:00,11:20:00,72012,1,,0,0,0.00000000,1
t_5797769_b_81905_tn_0,11:40:00,11:40:00,7208,2,,0,0,8975.40000978,1
t_5800142_b_81905_tn_0,11:30:00,11:30:00,72012,1,,0,0,0.00000000,1
t_5800142_b_81905_tn_0,11:50:00,11:50:00,7208,2,,0,0,8975.40000978,1
t_5797780_b_81905_tn_0,12:50:00,12:50:00,72012,1,,0,0,0.00000000,1
t_5797780_b_81905_tn_0,13:10:00,13:10:00,7208,2,,0,0,8975.40000978,1
t_5800144_b_81905_tn_0,13:45:00,13:45:00,72012,1,,0,0,0.00000000,1
t_5800144_b_81905_tn_0,14:05:00,14:05:00,7208,2,,0,0,8975.40000978,1
t_5800150_b_81905_tn_0,14:10:00,14:10:00,72012,1,,0,0,0.00000000,1
t_5800150_b_81905_tn_0,14:30:00,14:30:00,7208,2,,0,0,8975.40000978,1
t_5797651_b_81905_tn_0,14:30:00,14:30:00,72012,1,,0,0,0.00000000,1
t_5797651_b_81905_tn_0,14:50:00,14:50:00,7208,2,,0,0,8975.40000978,1
t_5800146_b_81905_tn_0,15:30:00,15:30:00,72012,1,,0,0,0.00000000,1
t_5800146_b_81905_tn_0,15:50:00,15:50:00,7208,2,,0,0,8975.40000978,1
t_5800152_b_81905_tn_0,16:30:00,16:30:00,72012,1,,0,0,0.00000000,1
t_5800152_b_81905_tn_0,16:50:00,16:50:00,7208,2,,0,0,8975.40000978,1
t_5800148_b_81905_tn_0,17:00:00,17:00:00,72012,1,,0,0,0.00000000,1
t_5800148_b_81905_tn_0,17:20:00,17:20:00,7208,2,,0,0,8975.40000978,1
t_5800154_b_81905_tn_0,17:50:00,17:50:00,72012,1,,0,0,0.00000000,1
t_5800154_b_81905_tn_0,18:10:00,18:10:00,7208,2,,0,0,8975.40000978,1
t_5800156_b_81905_tn_0,19:10:00,19:10:00,72012,1,,0,0,0.00000000,1
t_5800156_b_81905_tn_0,19:30:00,19:30:00,7208,2,,0,0,8975.40000978,1
t_5800158_b_81905_tn_0,20:30:00,20:30:00,72012,1,,0,0,0.00000000,1
t_5800158_b_81905_tn_0,20:50:00,20:50:00,7208,2,,0,0,8975.40000978,1
t_5797652_b_81905_tn_0,21:40:00,21:40:00,72012,1,,0,0,0.00000000,1
t_5797652_b_81905_tn_0,22:00:00,22:00:00,7208,2,,0,0,8975.40000978,1
t_5797759_b_81905_tn_0,9:50:00,9:50:00,7208,1,,0,0,0.00000000,1
t_5797759_b_81905_tn_0,10:00:00,10:05:00,7209,2,,0,0,1514.88235720,1
t_5797759_b_81905_tn_0,10:30:00,10:30:00,72013,3,,0,0,11728.65699583,1
t_5802184_b_none_tn_0,9:50:00,9:50:00,7208,1,,0,0,0.00000000,1
t_5802184_b_none_tn_0,10:00:00,10:05:00,7209,2,,0,0,1514.88235720,1
t_5802184_b_none_tn_0,10:30:00,10:30:00,72013,3,,0,0,11728.65699583,1
t_5797814_b_81905_tn_0,11:45:00,11:45:00,7208,1,,0,0,0.00000000,1
t_5797814_b_81905_tn_0,11:55:00,12:05:00,7209,2,,0,0,1514.88235720,1
t_5797814_b_81905_tn_0,12:30:00,12:30:00,72013,3,,0,0,11728.65699583,1
t_5802011_b_none_tn_0,11:45:00,11:45:00,7208,1,,0,0,0.00000000,1
t_5802011_b_none_tn_0,11:55:00,12:05:00,7209,2,,0,0,1514.88235720,1
t_5802011_b_none_tn_0,12:30:00,12:30:00,72013,3,,0,0,11728.65699583,1
t_5800065_b_81905_tn_0,20:05:00,20:05:00,7209,1,,0,0,0.00000000,1
t_5800065_b_81905_tn_0,20:15:00,20:15:00,7208,2,,0,0,1512.73427344,1
t_5802193_b_none_tn_0,20:05:00,20:05:00,7209,1,,0,0,0.00000000,1
t_5802193_b_none_tn_0,20:15:00,20:15:00,7208,2,,0,0,1512.73427344,1
t_5800135_b_81905_tn_0,10:40:00,10:40:00,7208,1,,0,0,0.00000000,1
t_5800135_b_81905_tn_0,11:00:00,11:00:00,72013,2,,0,0,8947.43468582,1
t_5802197_b_none_tn_0,10:40:00,10:40:00,7208,1,,0,0,0.00000000,1
t_5802197_b_none_tn_0,11:00:00,11:00:00,72013,2,,0,0,8947.43468582,1
t_5800160_b_81905_tn_0,22:05:00,22:05:00,7208,1,,0,0,0.00000000,1
t_5800160_b_81905_tn_0,22:15:00,22:15:00,7209,2,,0,0,1514.88235719,1
t_5797772_b_81905_tn_0,13:40:00,13:40:00,7209,1,,0,0,0.00000000,1
t_5797772_b_81905_tn_0,13:50:00,13:55:00,7208,2,,0,0,1512.73427344,1
t_5797772_b_81905_tn_0,14:15:00,14:15:00,72012,3,,0,0,10468.93319248,1
t_5802013_b_none_tn_0,13:40:00,13:40:00,7209,1,,0,0,0.00000000,1
t_5802013_b_none_tn_0,13:50:00,13:55:00,7208,2,,0,0,1512.73427344,1
t_5802013_b_none_tn_0,14:15:00,14:15:00,72012,3,,0,0,10468.93319248,1
t_5797641_b_81905_tn_0,15:00:00,15:00:00,7209,1,,0,0,0.00000000,1
t_5797641_b_81905_tn_0,15:10:00,15:15:00,7208,2,,0,0,1512.73427344,1
t_5797641_b_81905_tn_0,15:35:00,15:35:00,72012,3,,0,0,10468.93319248,1
t_5802033_b_none_tn_0,15:00:00,15:00:00,7209,1,,0,0,0.00000000,1
t_5802033_b_none_tn_0,15:10:00,15:15:00,7208,2,,0,0,1512.73427344,1
t_5802033_b_none_tn_0,15:35:00,15:35:00,72012,3,,0,0,10468.93319248,1
t_5797710_b_81905_tn_0,17:55:00,17:55:00,7209,1,,0,0,0.00000000,1
t_5797710_b_81905_tn_0,18:05:00,18:10:00,7208,2,,0,0,1512.73427344,1
t_5797710_b_81905_tn_0,18:30:00,18:30:00,72012,3,,0,0,10468.93319248,1
t_5802178_b_none_tn_0,17:55:00,17:55:00,7209,1,,0,0,0.00000000,1
t_5802178_b_none_tn_0,18:05:00,18:10:00,7208,2,,0,0,1512.73427344,1
t_5802178_b_none_tn_0,18:30:00,18:30:00,72012,3,,0,0,10468.93319248,1
t_5797773_b_81905_tn_0,18:55:00,18:55:00,7209,1,,0,0,0.00000000,1
t_5797773_b_81905_tn_0,19:05:00,19:10:00,7208,2,,0,0,1512.73427344,1
t_5797773_b_81905_tn_0,19:30:00,19:30:00,72012,3,,0,0,10468.93319248,1
t_5802191_b_none_tn_0,18:55:00,18:55:00,7209,1,,0,0,0.00000000,1
t_5802191_b_none_tn_0,19:05:00,19:10:00,7208,2,,0,0,1512.73427344,1
t_5802191_b_none_tn_0,19:30:00,19:30:00,72012,3,,0,0,10468.93319248,1
t_5797731_b_81905_tn_0,20:30:00,20:30:00,7209,1,,0,0,0.00000000,1
t_5797731_b_81905_tn_0,20:40:00,20:45:00,7208,2,,0,0,1512.73427344,1
t_5797731_b_81905_tn_0,21:05:00,21:05:00,72012,3,,0,0,10468.93319248,1
t_5802180_b_none_tn_0,20:30:00,20:30:00,7209,1,,0,0,0.00000000,1
t_5802180_b_none_tn_0,20:40:00,20:45:00,7208,2,,0,0,1512.73427344,1
t_5802180_b_none_tn_0,21:05:00,21:05:00,72012,3,,0,0,10468.93319248,1
t_5797711_b_81905_tn_0,14:35:00,14:35:00,7209,1,,0,0,0.00000000,1
t_5797711_b_81905_tn_0,14:45:00,14:50:00,7208,2,,0,0,1512.73427344,1
t_5797711_b_81905_tn_0,15:10:00,15:10:00,72013,3,,0,0,10460.22413173,1
t_5802179_b_none_tn_0,14:35:00,14:35:00,7209,1,,0,0,0.00000000,1
t_5802179_b_none_tn_0,14:45:00,14:50:00,7208,2,,0,0,1512.73427344,1
t_5802179_b_none_tn_0,15:10:00,15:10:00,72013,3,,0,0,10460.22413173,1
t_5797732_b_81905_tn_0,21:40:00,21:40:00,7209,1,,0,0,0.00000000,1
t_5797732_b_81905_tn_0,21:50:00,21:55:00,7208,2,,0,0,1512.73427344,1
t_5797732_b_81905_tn_0,22:15:00,22:15:00,72013,3,,0,0,10460.22413173,1
t_5802181_b_none_tn_0,21:40:00,21:40:00,7209,1,,0,0,0.00000000,1
t_5802181_b_none_tn_0,21:50:00,21:55:00,7208,2,,0,0,1512.73427344,1
t_5802181_b_none_tn_0,22:15:00,22:15:00,72013,3,,0,0,10460.22413173,1
t_5797716_b_81905_tn_0,15:50:00,15:50:00,7209,1,,0,0,0.00000000,1
t_5797716_b_81905_tn_0,16:00:00,16:05:00,7208,2,,0,0,1512.73427344,1
t_5797716_b_81905_tn_0,16:25:00,16:25:00,72011,3,,0,0,10497.70562719,1
t_5802183_b_none_tn_0,15:50:00,15:50:00,7209,1,,0,0,0.00000000,1
t_5802183_b_none_tn_0,16:00:00,16:05:00,7208,2,,0,0,1512.73427344,1
