service_id,date,exception_type
1,20231120,2
M51,20231120,1
1,20231121,2
M51,20231121,1
1,20231122,2
M51,20231122,1
1,20231123,2
M21,20231123,1
1,20231124,2
M51,20231124,1
2,20231125,2
M22,20231125,1
3,20231126,2
M23,20231126,1
1,20231127,2
M11,20231127,1
1,20231128,2
M11,20231128,1
1,20231129,2
M11,20231129,1
1,20231130,2
M11,20231130,1
1,20231201,2
M11,20231201,1
2,20231202,2
M22,20231202,1
3,20231203,2
M23,20231203,1
1,20231204,2
M11,20231204,1
1,20231205,2
M11,20231205,1
1,20231206,2
M11,20231206,1
1,20231207,2
M11,20231207,1
1,20231208,2
M11,20231208,1
2,20231209,2
M22,20231209,1
3,20231210,2
M23,20231210,1
1,20231211,2
M11,20231211,1
1,20231212,2
M11,20231212,1
1,20231213,2
M11,20231213,1
1,20231214,2
M11,20231214,1
1,20231215,2
M11,20231215,1
2,20231216,2
M22,20231216,1
3,20231217,2
M23,20231217,1
1,20231218,2
M11,20231218,1
1,20231219,2
M11,20231219,1
1,20231220,2
M11,20231220,1
1,20231221,2
M11,20231221,1
1,20231222,2
M51,20231222,1
2,20231223,2
M22,20231223,1
3,20231224,2
M23,20231224,1
1,20231225,2
M22,20231225,1
1,20231226,2
M51,20231226,1
1,20231227,2
M51,20231227,1
1,20231228,2
M51,20231228,1
1,20231229,2
M51,20231229,1
2,20231230,2
M22,20231230,1
3,20231231,2
M23,20231231,1
1,20240101,2
M23,20240101,1
1,20240102,2
M51,20240102,1
1,20240103,2
M51,20240103,1
1,20240104,2
M51,20240104,1
1,20240105,2
M51,20240105,1
2,20240106,2
M22,20240106,1
3,20240107,2
M23,20240107,1
1,20240108,2
M11,20240108,1
1,20240109,2
M11,20240109,1
1,20240110,2
M11,20240110,1
1,20240111,2
M11,20240111,1
1,20240112,2
M11,20240112,1
2,20240113,2
M22,20240113,1
3,20240114,2
M23,20240114,1
1,20240115,2
M22,20240115,1
1,20240116,2
M11,20240116,1
1,20240117,2
M11,20240117,1
1,20240118,2
M11,20240118,1
1,20240119,2
M11,20240119,1
2,20240120,2
M22,20240120,1
3,20240121,2
M23,20240121,1
1,20240122,2
M11,20240122,1
1,20240123,2
M11,20240123,1
1,20240124,2
M11,20240124,1
1,20240125,2
M11,20240125,1
1,20240126,2
M11,20240126,1
2,20240127,2
M22,20240127,1
3,20240128,2
M23,20240128,1
1,20240129,2
M11,20240129,1
1,20240130,2
M11,20240130,1
1,20240131,2
M11,20240131,1
1,20240201,2
M11,20240201,1
1,20240202,2
M11,20240202,1
