runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_69916_b_81551_d_31,118244,1,1,t_5742682_b_81551_tn_0,2573264,t_5742682_b_81551_tn_0,2574328
1000000,c_69916_b_81551_d_31,159683,10,1,t_5742686_b_81551_tn_0,3478082,t_5742686_b_81551_tn_0,3478093
1100000,c_69916_b_81551_d_31,178138,11,1,t_5742668_b_81551_tn_0,2573264,t_5742668_b_81551_tn_0,2574328
1200000,c_69916_b_81551_d_31,178139,12,1,t_5742699_b_81551_tn_0,3478082,t_5742699_b_81551_tn_0,3478093
1300000,c_69916_b_81551_d_31,178140,13,1,t_5742684_b_81551_tn_0,2573264,t_5742684_b_81551_tn_0,2574328
1400000,c_69916_b_81551_d_31,178141,14,1,t_5742695_b_81551_tn_0,3478082,t_5742695_b_81551_tn_0,3478093
1500000,c_69916_b_81551_d_31,178142,15,1,t_5742671_b_81551_tn_0,2573264,t_5742671_b_81551_tn_0,2574328
1600000,c_69916_b_81551_d_31,178143,16,1,t_5742696_b_81551_tn_0,3478082,t_5742696_b_81551_tn_0,3478093
1700000,c_69916_b_81551_d_31,178144,17,1,t_5742672_b_81551_tn_0,2573264,t_5742672_b_81551_tn_0,2574328
1800000,c_69916_b_81551_d_31,178145,18,1,t_5742700_b_81551_tn_0,3478082,t_5742700_b_81551_tn_0,3478093
1900000,c_69916_b_81551_d_31,178146,19,1,t_5742688_b_81551_tn_0,2573264,t_5742688_b_81551_tn_0,2574328
200000,c_69916_b_81551_d_31,118245,2,1,t_5742685_b_81551_tn_0,3478082,t_5742685_b_81551_tn_0,3478093
2000000,c_69916_b_81551_d_31,178147,20,1,t_5742677_b_81551_tn_0,3478082,t_5742677_b_81551_tn_0,3478093
2100000,c_69916_b_81551_d_31,179303,21,1,t_5742666_b_81551_tn_0,2573264,t_5742666_b_81551_tn_0,2574328
2200000,c_69916_b_81551_d_31,179304,22,1,t_5742675_b_81551_tn_0,3478082,t_5742675_b_81551_tn_0,3478093
2300000,c_69916_b_81551_d_31,179305,23,1,t_5742689_b_81551_tn_0,2573264,t_5742689_b_81551_tn_0,2574328
2400000,c_69916_b_81551_d_31,179306,24,1,t_5742703_b_81551_tn_0,3478082,t_5742703_b_81551_tn_0,3478093
2500000,c_69916_b_81551_d_31,179307,25,1,t_5742667_b_81551_tn_0,2573264,t_5742667_b_81551_tn_0,2574328
2600000,c_69916_b_81551_d_31,179308,26,1,t_5742676_b_81551_tn_0,3478082,t_5742676_b_81551_tn_0,3478093
2700000,c_69916_b_81551_d_31,179309,27,1,t_5742697_b_81551_tn_0,2573264,t_5742697_b_81551_tn_0,2574328
2800000,c_69916_b_81551_d_31,179310,28,1,t_5742701_b_81551_tn_0,3478082,t_5742701_b_81551_tn_0,3478093
2900000,c_69916_b_81551_d_31,179311,29,1,t_5742690_b_81551_tn_0,2573264,t_5742690_b_81551_tn_0,2574328
300000,c_69916_b_81551_d_31,118246,3,1,t_5742669_b_81551_tn_0,2573264,t_5742669_b_81551_tn_0,2574328
3000000,c_69916_b_81551_d_31,179312,30,1,t_5742678_b_81551_tn_0,3478082,t_5742678_b_81551_tn_0,3478093
3100000,c_69916_b_81551_d_31,179313,31,1,t_5742692_b_81551_tn_0,2573264,t_5742692_b_81551_tn_0,2574328
3200000,c_69916_b_81551_d_31,179314,32,1,t_5742679_b_81551_tn_0,3478082,t_5742679_b_81551_tn_0,3478093
3300000,c_69916_b_81551_d_31,179315,33,1,t_5742691_b_81551_tn_0,2573264,t_5742691_b_81551_tn_0,2574328
3400000,c_69916_b_81551_d_31,179316,34,1,t_5742680_b_81551_tn_0,3478082,t_5742680_b_81551_tn_0,3478093
3500000,c_69916_b_81551_d_31,179317,35,1,t_5742693_b_81551_tn_0,2573264,t_5742693_b_81551_tn_0,2574328
3600000,c_69916_b_81551_d_31,179318,36,1,t_5742681_b_81551_tn_0,3478082,t_5742681_b_81551_tn_0,3478093
3700000,c_69916_b_81551_d_31,179319,37,1,t_5742698_b_81551_tn_0,2573264,t_5742698_b_81551_tn_0,2574328
3800000,c_69916_b_81551_d_31,179320,38,1,t_5742702_b_81551_tn_0,3478082,t_5742702_b_81551_tn_0,3478093
3900000,c_69917_b_81552_d_96,118244,39,1,t_5742709_b_81552_tn_0,2573264,t_5742709_b_81552_tn_0,2574328
400000,c_69916_b_81551_d_31,118247,4,1,t_5742673_b_81551_tn_0,3478082,t_5742673_b_81551_tn_0,3478093
4000000,c_69917_b_81552_d_96,118245,40,1,t_5742708_b_81552_tn_0,3478082,t_5742708_b_81552_tn_0,3478093
4100000,c_69917_b_81552_d_96,118246,41,1,t_5742710_b_81552_tn_0,2573264,t_5742710_b_81552_tn_0,2574328
4200000,c_69917_b_81552_d_96,118247,42,1,t_5742705_b_81552_tn_0,3478082,t_5742705_b_81552_tn_0,3478093
4300000,c_69917_b_81552_d_96,118248,43,1,t_5742711_b_81552_tn_0,2573264,t_5742711_b_81552_tn_0,2574328
4400000,c_69917_b_81552_d_96,118249,44,1,t_5742706_b_81552_tn_0,3478082,t_5742706_b_81552_tn_0,3478093
4500000,c_69917_b_81552_d_96,159682,45,1,t_5742713_b_81552_tn_0,2573264,t_5742713_b_81552_tn_0,2574328
4600000,c_69917_b_81552_d_96,159683,46,1,t_5742715_b_81552_tn_0,3478082,t_5742715_b_81552_tn_0,3478093
4700000,c_69917_b_81552_d_96,178138,47,1,t_5742712_b_81552_tn_0,2573264,t_5742712_b_81552_tn_0,2574328
4800000,c_69917_b_81552_d_96,178139,48,1,t_5742704_b_81552_tn_0,3478082,t_5742704_b_81552_tn_0,3478093
4900000,c_69917_b_81552_d_96,178140,49,1,t_5742714_b_81552_tn_0,2573264,t_5742717_b_81552_tn_0,2574328
500000,c_69916_b_81551_d_31,118248,5,1,t_5742670_b_81551_tn_0,2573264,t_5742670_b_81551_tn_0,2574328
5000000,c_69917_b_81552_d_96,178141,50,1,t_5742707_b_81552_tn_0,3478082,t_5742718_b_81552_tn_0,3478093
600000,c_69916_b_81551_d_31,118249,6,1,t_5742674_b_81551_tn_0,3478082,t_5742674_b_81551_tn_0,3478093
700000,c_69916_b_81551_d_31,1296499,7,1,t_5742694_b_81551_tn_0,2573264,t_5742694_b_81551_tn_0,2574328
800000,c_69916_b_81551_d_31,1296500,8,1,t_5742687_b_81551_tn_0,3478082,t_5742687_b_81551_tn_0,3478093
900000,c_69916_b_81551_d_31,159682,9,1,t_5742683_b_81551_tn_0,2573264,t_5742683_b_81551_tn_0,2574328
