stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2573255,71092,,Cotati SMART,The station is located at 980 East Cotati Ave. It is adjacent to the Sonoma County Transit Intermodal Transit Facility.,38.3309356992263,-122.691054151434,2430,https://www.sonomamarintrain.org/stations/COT,0,3478101,,,,1,Cotati SMART Station
2573256,71032,,Marin Civic Center SMART,The station is located at 3801 Civic Center Drive.,38.0012396295314,-122.537763819005,2428,https://www.sonomamarintrain.org/stations/MCC,0,3478106,,,,1,Marin Civic Center SMART Station
2573257,71042,,Novato Hamilton SMART,The station is located at 10 Main Gate Road Novato CA.,38.05628165747,-122.523872910292,2427,https://www.sonomamarintrain.org/stations/HAM,0,3478105,,,,1,Novato Hamilton SMART Station
2573258,71062,,Novato San Marin SMART,The station is located at 7700 Redwood Blvd Novato CA.,38.1208796869184,-122.566061523732,2427,https://www.sonomamarintrain.org/stations/NSM,0,3478103,,,,1,Novato San Marin SMART Station
2573259,71072,,Petaluma Downtown SMART,The station is located at 220 Lakeville Street Petaluma CA.,38.2372555775185,-122.634812403603,2430,https://www.sonomamarintrain.org/stations/PET,0,3478102,,,,1,Petaluma Downtown SMART Station
2573260,71102,,Rohnert Park SMART,The station is located at 900 Enterprise Drive Rohnert Park CA. It cannot be accessed via Rohnert Park Expressway.,38.3470971900444,-122.701030451881,2430,https://www.sonomamarintrain.org/stations/RPK,0,3478100,,,,1,Rohnert Park SMART Station
2573261,71022,,San Rafael SMART,The station is located at 680 3rd Street San Rafael CA. The Bettini Transit Center is located one block away from this station.,37.971995,-122.5228,2428,https://www.sonomamarintrain.org/stations/DSR,0,3478107,,,,1,San Rafael SMART Station
2573262,71112,,Santa Rosa Downtown SMART,The station is located at 7 4th Street Santa Rosa CA.,38.4375828137211,-122.721767620114,2431,https://www.sonomamarintrain.org/stations/SRD,0,3478099,,,,1,Santa Rosa Downtown SMART Station
2573263,71122,,Santa Rosa North SMART,"The station is located at 1500 Guerneville Road, Santa Rosa CA.",38.4552197905623,-122.736450449671,2431,https://www.sonomamarintrain.org/stations/SRN,0,3478098,,,,1,Santa Rosa North SMART Station
2573264,71132,,Sonoma County Airport SMART,The station is located at 1130 Airport Blvd Santa Rosa CA.,38.5098174161125,-122.784080761671,2429,https://www.sonomamarintrain.org/stations/SCA,0,3478094,,,,1,Sonoma County Airport SMART Station
2574328,71012,,Larkspur SMART,,37.9478048434154,-122.512488321719,2428,https://sonomamarintrain.org/stations/LAR,0,3478108,,,,1,Larkspur SMART Station
