route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
14603,c_69916_b_81551_d_31,t_5742666_b_81551_tn_0,19,Larkspur,0,179303,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742698_b_81551_tn_0,35,Larkspur,0,179319,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742697_b_81551_tn_0,25,Larkspur,0,179309,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742694_b_81551_tn_0,37,Larkspur,0,1296499,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742693_b_81551_tn_0,33,Larkspur,0,179317,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742692_b_81551_tn_0,29,Larkspur,0,179313,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742691_b_81551_tn_0,31,Larkspur,0,179315,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742690_b_81551_tn_0,27,Larkspur,0,179311,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742689_b_81551_tn_0,21,Larkspur,0,179305,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742688_b_81551_tn_0,17,Larkspur,0,178146,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742684_b_81551_tn_0,11,Larkspur,0,178140,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742683_b_81551_tn_0,7,Larkspur,0,159682,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742682_b_81551_tn_0,1,Larkspur,0,118244,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742672_b_81551_tn_0,15,Larkspur,0,178144,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742671_b_81551_tn_0,13,Larkspur,0,178142,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742670_b_81551_tn_0,5,Larkspur,0,118248,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742669_b_81551_tn_0,3,Larkspur,0,118246,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742668_b_81551_tn_0,9,Larkspur,0,178138,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742667_b_81551_tn_0,23,Larkspur,0,179307,p_897679,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742700_b_81551_tn_0,16,Sonoma County Airport,1,178145,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742699_b_81551_tn_0,10,Sonoma County Airport,1,178139,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742673_b_81551_tn_0,4,Sonoma County Airport,1,118247,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742696_b_81551_tn_0,14,Sonoma County Airport,1,178143,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742695_b_81551_tn_0,12,Sonoma County Airport,1,178141,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742681_b_81551_tn_0,34,Sonoma County Airport,1,179318,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742680_b_81551_tn_0,32,Sonoma County Airport,1,179316,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742679_b_81551_tn_0,30,Sonoma County Airport,1,179314,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742678_b_81551_tn_0,28,Sonoma County Airport,1,179312,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742677_b_81551_tn_0,18,Sonoma County Airport,1,178147,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742676_b_81551_tn_0,24,Sonoma County Airport,1,179308,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742675_b_81551_tn_0,20,Sonoma County Airport,1,179304,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742687_b_81551_tn_0,38,Sonoma County Airport,1,1296500,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742686_b_81551_tn_0,8,Sonoma County Airport,1,159683,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742685_b_81551_tn_0,2,Sonoma County Airport,1,118245,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742674_b_81551_tn_0,6,Sonoma County Airport,1,118249,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742703_b_81551_tn_0,22,Sonoma County Airport,1,179306,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742702_b_81551_tn_0,36,Sonoma County Airport,1,179320,p_897680,,,,,,,,,,,,
14603,c_69916_b_81551_d_31,t_5742701_b_81551_tn_0,26,Sonoma County Airport,1,179310,p_897680,,,,,,,,,,,,
14603,c_69917_b_81552_d_96,t_5742717_b_81552_tn_0,11,Larkspur,0,178140,p_897679,,,,,,,,,,,,
14603,c_69917_b_81552_d_96,t_5742716_b_81552_tn_0,11,Larkspur,0,178140,p_897679,,,,,,,,,,,,
