service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
144-Blocks-Weekday-51,1,1,1,1,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon,1,1,1,1,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1101100,1,1,0,1,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0010000,0,0,1,0,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0001000,0,0,0,1,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0100000,0,1,0,0,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0010100,0,0,1,0,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1101000,1,1,0,1,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1110100,1,1,1,0,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1100100,1,1,0,0,1,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0011000,0,0,1,1,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-1000000,1,0,0,0,0,0,0,20231204,20240209
144-Blocks-Weekday-51-SDon-0101000,0,1,0,1,0,0,0,20231204,20240209
144-Blocks-Saturday-51,0,0,0,0,0,1,0,20231209,20240210
144-Blocks-Sunday-51,0,0,0,0,0,0,1,20231203,20240204
