route_id,realtime_enabled,realtime_routename,realtime_routecode
10-206,1,,
12-206,1,,
14-206,1,,
15-206,1,,
18-206,1,,
19-206,1,,
24-206,1,,
25-206,1,,
28-206,1,,
29-206,1,,
30-206,1,,
35-206,1,,
37-206,1,,
40-206,1,,
41-206,1,,
42-206,1,,
46-206,1,,
49-206,1,,
50-206,1,,
51-206,1,,
53-206,1,,
53P-206,1,,
54-206,1,,
56-206,1,,
57-206,1,,
58-206,1,,
59-206,1,,
60-206,1,,
61-206,1,,
62-206,1,,
67-206,1,,
68-206,1,,
72-206,1,,
73-206,1,,
78-206,1,,
79-206,1,,
81-206,1,,
82-206,1,,
83-206,1,,
85-206,1,,
86-206,1,,
87-206,1,,
88-206,1,,
110-206,1,,
112-206,1,,
117-206,1,,
120-206,1,,
121-206,1,,
122-206,1,,
130-206,1,,
138-206,1,,
141-206,1,,
142-206,1,,
250-206,1,,
251-206,1,,
260-206,1,,
270-206,1,,
276-206,1,,
278-206,1,,
280-206,1,,
281-206,1,,
292-206,1,,
294-206,1,,
295-206,1,,
296-206,1,,
296O-206,1,,
397-206,1,,
398-206,1,,
713-206,1,,
ECR-206,1,,
ECRO-206,1,,
FCX-206,1,,
