trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t258-b1-sl2,6:00:00,6:00:00,80100,0,,0,0,0,1
t258-b1-sl2,6:01:50,6:01:50,80167,110,,0,0,2148.334915,0
t258-b1-sl2,6:02:32,6:02:32,80168,152,,0,0,2953.127235,0
t258-b1-sl2,6:04:01,6:04:01,80169,241,,0,0,4690.186565,0
t258-b1-sl2,6:05:06,6:05:06,80170,306,,0,0,5951.748524,0
t258-b1-sl2,6:06:06,6:06:06,80517,366,,0,0,7066.17837,0
t258-b1-sl2,6:07:00,6:07:00,80171,420,,0,0,8016.747309,1
t258-b1-sl2,6:10:21,6:10:21,80172,621,,0,0,10606.145562,0
t258-b1-sl2,6:11:27,6:11:27,80173,687,,0,0,11451.079239,0
t258-b1-sl2,6:12:42,6:12:42,80174,762,,0,0,12420.130938,0
t258-b1-sl2,6:14:00,6:14:00,80175,840,,0,0,13440.661561,1
t258-b2-sl2,6:00:00,6:00:00,80100,0,,0,0,0,1
t258-b2-sl2,6:01:45,6:01:45,80101,105,,0,0,1518.596637,0
t258-b2-sl2,6:03:13,6:03:13,80102,193,,0,0,3172.982252,0
t258-b2-sl2,6:03:56,6:03:56,80103,236,,0,0,4008.926696,0
t258-b2-sl2,6:05:02,6:05:02,80104,302,,0,0,5200.408416,0
t258-b2-sl2,6:06:00,6:06:00,80105,360,,0,0,6388.250635,1
t258-b2-sl2,6:06:35,6:06:35,80106,395,,0,0,7036.818568,0
t258-b2-sl2,6:07:14,6:07:14,80107,434,,0,0,7849.287109,0
t258-b2-sl2,6:07:37,6:07:37,80108,457,,0,0,8363.226941,0
t258-b2-sl2,6:08:40,6:08:40,80109,520,,0,0,9680.92098,0
t258-b2-sl2,6:09:46,6:09:46,80110,586,,0,0,11026.924581,0
t258-b2-sl2,6:10:52,6:10:52,80511,652,,0,0,12416.68029,0
t258-b2-sl2,6:12:00,6:12:00,80111,720,,0,0,13828.319039,1
t258-b2-sl2,6:14:00,6:14:00,80112,840,,0,0,16624.091824,0
t258-b2-sl2,6:14:43,6:14:43,80113,883,,0,0,17694.816391,0
t258-b2-sl2,6:15:28,6:15:28,80114,928,,0,0,18754.672765,0
t258-b2-sl2,6:16:01,6:16:01,80115,961,,0,0,19545.842134,0
t258-b2-sl2,6:17:07,6:17:07,80199,1027,,0,0,21070.307436,0
t258-b2-sl2,6:18:00,6:18:00,80200,1080,,0,0,21364.892707,1
t258-b3-sl2,6:00:00,6:00:00,80100,0,,0,0,0,1
t258-b3-sl2,6:01:17,6:01:17,80310,77,,0,0,1612.440606,0
t258-b3-sl2,6:02:13,6:02:13,80525,133,,0,0,2828.454307,0
t258-b3-sl2,6:02:57,6:02:57,80311,177,,0,0,3780.198619,0
t258-b3-sl2,6:04:01,6:04:01,80312,241,,0,0,5174.60096,0
t258-b3-sl2,6:04:56,6:04:56,80526,296,,0,0,6365.573545,0
t258-b3-sl2,6:06:19,6:06:19,80313,379,,0,0,8179.874161,0
t258-b3-sl2,6:07:07,6:07:07,80314,427,,0,0,9254.395627,0
t258-b3-sl2,6:09:00,6:09:00,80407,540,,0,0,11737.093188,1
t258-b3-sl2,6:09:57,6:09:57,80315,597,,0,0,13148.136243,0
t258-b3-sl2,6:10:56,6:10:56,80316,656,,0,0,14612.631765,0
t258-b3-sl2,6:11:52,6:11:52,80317,712,,0,0,15979.477938,0
t258-b3-sl2,6:12:37,6:12:37,80318,757,,0,0,17070.535609,0
t258-b3-sl2,6:13:28,6:13:28,80319,808,,0,0,18300.861782,0
t258-b3-sl2,6:14:20,6:14:20,80320,860,,0,0,19579.017833,0
t258-b3-sl2,6:15:00,6:15:00,80321,900,,0,0,20543.305975,1
t258-b3-sl2,6:15:26,6:15:26,80322,926,,0,0,21133.095336,0
t258-b3-sl2,6:16:23,6:16:23,80323,983,,0,0,22462.134155,0
t258-b3-sl2,6:16:58,6:16:58,80324,1018,,0,0,23261.884226,0
