stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
80100,80100,"Transit Mall",,38.4386901855,-122.713715,,,0,,0
80101,80101,"B Street @ Ross St",,38.4412918091,-122.716721,,,0,,0
80102,80102,"Mendocino Ave @ Cherry St",,38.4445800781,-122.716919,,,0,,0
80103,80103,"Mendocino Ave @ College Ave",,38.4465904236,-122.717567,,,0,,0
80104,80104,"Mendocino Ave @ Nason St",,38.4499816895,-122.717438,,,0,,0
80105,80105,"Mendocino Ave @ Pacific Ave",,38.4529495239,-122.717308,,,0,,0
80106,80106,"Mendocino Ave @ McConnell Ave",,38.4550018311,-122.717239,,,0,,0
80107,80107,"Mendocino Ave @ Dexter St",,38.4572181702,-122.717163,,,0,,0
80108,80108,"Mendocino Ave @ Silva Ave",,38.4585418701,-122.71711,,,0,,0
80109,80109,"Mendocino Ave @ Lewis Rd",,38.4621391296,-122.717537,,,0,,0
80110,80110,"Mendocino Ave @ Administration Dr",,38.4655799866,-122.719559,,,0,,0
80111,80111,"Bicentennial Ave @ Ventura Ave-Kaiser Ho",,38.4702987671,-122.7257,,,0,,0
80112,80112,"Range Ave @ Russell Ave",,38.4683303833,-122.73278,,,0,,0
80113,80113,"Range Ave @ State Farm Dr",,38.4656143188,-122.732742,,,0,,0
80114,80114,"Range Ave @ Katy Ct",,38.4626960754,-122.732712,,,0,,0
80115,80115,"Range Ave @ West Steele Ln",,38.4605331421,-122.732582,,,0,,0
80116,80116,"Range Ave @ West Steele Ln",,38.4606590271,-122.732422,,,0,,0
80117,80117,"Range Ave @ Katy Ct",,38.4635734558,-122.732605,,,0,,0
80118,80118,"Range Ave @ State Farm Dr",,38.4666442871,-122.73259,,,0,,0
80119,80119,"Range Ave @ Russell Ave",,38.4696578979,-122.732521,,,0,,0
80120,80120,"Bicentennial Ave @ Ventura Ave",,38.4701118469,-122.725098,,,0,,0
80121,80121,"Mendocino Ave @ Administration Dr",,38.4645385742,-122.719231,,,0,,0
80122,80122,"Mendocino Ave @ Schurman Dr",,38.4628486633,-122.718323,,,0,,0
80123,80123,"Mendocino Ave @ Clement St",,38.4592590332,-122.717331,,,0,,0
80124,80124,"Mendocino Ave @ Bear Cub Way",,38.4538383484,-122.717628,,,0,,0
80125,80125,"Mendocino Ave @ Ridgway",,38.450969696,-122.717682,,,0,,0
80126,80126,"Mendocino Ave @ Benton St",,38.448059082,-122.717758,,,0,,0
80127,80127,"Healdsburg Ave @ Tenth St",,38.4437103271,-122.717949,,,0,,0
80128,80128,"B Street @ Ross St",,38.4408874512,-122.716713,,,0,,0
80129,80129,"Mission Blvd @ Hwy 12",,38.4592285156,-122.675179,,,0,,0
80130,80130,"Railroad Ave @ West Third St",,38.4359016418,-122.720161,,,0,,0
80131,80131,"Olive St @ Laurel St",,38.4331283569,-122.719032,,,0,,0
80132,80132,"Sebastopol Rd @ Chestnut St",,38.4317331285,-122.720849,,,0,,0
80133,80133,"Sebastopol Rd @ Dutton Ave",,38.4307098389,-122.725029,,,0,,0
80134,80134,"Sebastopol Rd @ West Ave",,38.429725647,-122.729294,,,0,,0
80135,80135,"Sebastopol Rd @ Romani Ct",,38.4285240173,-122.734291,,,0,,0
80136,80136,"Sebastopol Rd @ Hampton Wy",,38.4276008606,-122.738129,,,0,,0
80137,80137,"Stony Point Rd @ Sebastopol Rd",,38.4262886047,-122.741409,,,0,,0
80138,80138,"Stony Point Rd @ Marble St",,38.420955658,-122.740601,,,0,,0
80139,80139,"Stony Point Rd @ Giffen Ave",,38.4184684753,-122.74041,,,0,,0
80140,80140,"Northpoint Pkwy @ Stony Point Rd",,38.4160308838,-122.740883,,,0,,0
80141,80141,"Northpoint Pkwy @ Lombardi Ln",,38.4162521362,-122.747002,,,0,,0
80142,80142,"Northpoint Pkwy @ Mariner Ln",,38.4160652161,-122.749641,,,0,,0
80143,80143,"Corporate Center Pkwy @ Northpoint Pkwy",,38.4160346985,-122.753906,,,0,,0
80144,80144,"Corporate Center Pkwy @ Mercury Wy",,38.4211997986,-122.752762,,,0,,0
80145,80145,"Sebastopol Rd @ Corporate Center Pkwy",,38.4259262085,-122.75399,,,0,,0
80146,80146,"Fresno Ave @ Sebastopol Rd",,38.4249839783,-122.759666,,,0,,0
80147,80147,"Finley Ave @ Wright Rd",,38.4198265076,-122.768524,,,0,,0
80148,80148,"950 Wright Rd",,38.4232826233,-122.76889,,,0,,0
