route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,2,t258-b2-sl2,"1 Mendocino Ave",0,2,2464_shp,0,0
1,2,t26C-b9-sl2,"1 Mendocino Ave",0,9,2464_shp,0,0
1,2,t273-b2-sl2,"1 Mendocino Ave",1,2,2463_shp,0,0
1,2,t280-b5-sl2,"1 Mendocino Ave",0,5,2464_shp,0,0
1,2,t287-b9-sl2,"1 Mendocino Ave",1,9,2463_shp,0,0
1,2,t2BC-b4-sl2,"1 Mendocino Ave",0,4,2464_shp,0,0
1,2,t2C3-b5-sl2,"1 Mendocino Ave",1,5,2463_shp,0,0
1,2,t2D0-b6-sl2,"1 Mendocino Ave",0,6,2464_shp,0,0
1,2,t2D7-b4-sl2,"1 Mendocino Ave",1,4,2463_shp,0,0
1,2,t2E4-b13-sl2,"1 Mendocino Ave",0,19,2464_shp,0,0
1,2,t2EB-b6-sl2,"1 Mendocino Ave",1,6,2463_shp,0,0
1,2,t320-b2-sl2,"1 Mendocino Ave",0,2,2464_shp,0,0
1,2,t327-b13-sl2,"1 Mendocino Ave",1,19,2463_shp,0,0
1,2,t334-bF-sl2,"1 Mendocino Ave",0,15,2464_shp,0,0
1,2,t33B-b2-sl2,"1 Mendocino Ave",1,2,2463_shp,0,0
1,2,t34F-bF-sl2,"1 Mendocino Ave",1,15,2463_shp,0,0
1,2,t384-b3-sl2,"1 Mendocino Ave",0,3,2464_shp,0,0
1,2,t38B-bD-sl2,"1 Mendocino Ave",1,13,2463_shp,0,0
1,2,t398-bE-sl2,"1 Mendocino Ave",0,14,2464_shp,0,0
1,2,t39F-b3-sl2,"1 Mendocino Ave",1,3,2463_shp,0,0
1,2,t3AC-bB-sl2,"1 Mendocino Ave",0,11,2464_shp,0,0
1,2,t3B3-bE-sl2,"1 Mendocino Ave",1,14,2463_shp,0,0
1,2,t3E8-b2-sl2,"1 Mendocino Ave",0,2,2464_shp,0,0
1,2,t3EF-bB-sl2,"1 Mendocino Ave",1,11,2463_shp,0,0
1,2,t3FC-b1-sl2,"1 Mendocino Ave",0,1,2464_shp,0,0
1,2,t403-b2-sl2,"1 Mendocino Ave",1,2,2463_shp,0,0
1,2,t410-b5-sl2,"1 Mendocino Ave",0,5,2464_shp,0,0
1,2,t417-b1-sl2,"1 Mendocino Ave",1,1,2463_shp,0,0
