service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20240117,20240219
2,1,1,1,1,0,0,0,20240226,20240310
3,1,1,1,1,0,0,0,20240312,20240331
4,0,0,0,0,1,0,0,20240117,20240219
5,0,0,0,0,1,0,0,20240226,20240310
6,0,0,0,0,1,0,0,20240312,20240331
7,1,1,1,1,1,0,0,20240117,20251231
8,1,1,1,1,1,0,0,20240117,20240219
9,1,1,1,1,1,0,0,20240221,20240324
10,1,1,1,1,1,0,0,20240226,20240310
11,1,1,1,1,1,0,0,20240312,20240331
12,0,0,0,0,0,1,0,20240117,20251231
13,0,0,0,0,0,0,1,20240117,20251231
