stop_id,stop_city
757164,Cloverdale
757649,Petaluma
757657,Petaluma
757541,Santa Rosa
757254,Santa Rosa
757213,Windsor
757570,Santa Rosa
757175,Cloverdale
758031,Windsor
757434,Sonoma
757559,Santa Rosa
757705,Santa Rosa
757260,Santa Rosa
848666,Cloverdale
757865,Guerneville
757142,Healdsburg
757813,Sebastopol
757664,Petaluma
757455,Sonoma
757965,Sonoma
757076,Santa Rosa
757993,Petaluma
758052,Windsor
757699,Rohnert Park
810952,Cloverdale
757427,Sonoma
757806,Cotati
757842,Santa Rosa
936,Healdsburg
757509,Kenwood
757307,Monte Rio
757258,Santa Rosa
757242,Santa Rosa
2555755,Duncan Mills
757280,Santa Rosa
757923,Rohnert Park
758069,Jenner
757634,Penngrove
757131,Windsor
757742,Penngrove
757189,Geyserville
2429355,Rohnert Park
757466,Sonoma
757419,Glen Ellen
757136,Healdsburg
757759,Rohnert Park
757738,Petaluma
757888,Rohnert Park
757721,Petaluma
810173,Cloverdale
757739,Petaluma
757805,Rohnert Park
757348,Sebastopol
757948,Santa Rosa
758933,Rohnert Park
757935,Rohnert Park
757632,Penngrove
757352,Sebastopol
757198,Healdsburg
757480,Sonoma
757135,Healdsburg
757797,Rohnert Park
757487,Sonoma
757615,Penngrove
757074,Santa Rosa
848665,Cloverdale
757237,Santa Rosa
758017,Windsor
757893,Rohnert Park
757656,Petaluma
757799,Rohnert Park
757086,Santa Rosa
757756,Rohnert Park
809086,Rohnert Park
757562,Santa Rosa
757723,Petaluma
757354,Sebastopol
757886,Rohnert Park
757375,Santa Rosa
758001,Sonoma
757959,Sonoma
757123,Windsor
927,Healdsburg
757241,Santa Rosa
757734,Petaluma
757104,Santa Rosa
757788,Rohnert Park
757139,Healdsburg
757777,Sebastopol
928,Healdsburg
757378,Santa Rosa
757857,Forestville
757279,Santa Rosa
757118,Windsor
757687,Rohnert Park
757969,Sonoma
757313,Guerneville
757339,Forestville
757317,Guerneville
758046,Windsor
757309,Monte Rio
757740,Petaluma
757229,Santa Rosa
757411,Santa Rosa
757975,Sonoma
757847,Santa Rosa
757867,Guerneville
757150,Geyserville
757869,Guerneville
757973,Sonoma
810174,Cloverdale
757701,Santa Rosa
2517387,Guerneville
757646,Petaluma
757534,Santa Rosa
759361,Windsor
757492,Sonoma
757717,Petaluma
757990,Petaluma
757442,Sonoma
757589,Rohnert Park
758068,Duncans Mills
757523,Santa Rosa
757755,Rohnert Park
757584,Rohnert Park
757140,Healdsburg
757386,Santa Rosa
757087,Santa Rosa
945,Healdsburg
757628,Rohnert Park
757358,Sebastopol
757934,Rohnert Park
757919,Rohnert Park
757876,Cotati
757616,Penngrove
757115,Windsor
757431,Sonoma
757514,Santa Rosa
757672,Penngrove
802600,Rohnert Park
757094,Santa Rosa
757138,Healdsburg
757895,Rohnert Park
2335914,Geyserville
757767,Cotati
757096,Fulton
757156,Geyserville
757643,Petaluma
757376,Santa Rosa
757513,Santa Rosa
757704,Santa Rosa
757845,Santa Rosa
757798,Rohnert Park
757905,Rohnert Park
757823,Sebastopol
757974,Sonoma
757633,Penngrove
758076,Bodega Bay
2371015,Cotati
757727,Petaluma
757290,Santa Rosa
757417,Glen Ellen
2769433,Santa Rosa
757713,Santa Rosa
757172,Cloverdale
757793,Cotati
757891,Rohnert Park
757295,Santa Rosa
757496,Sonoma
757116,Windsor
757125,Windsor
757557,Forestville
757987,Petaluma
757502,Glen Ellen
757355,Sebastopol
757399,Santa Rosa
771475,Sebastopol
757835,Santa Rosa
757909,Rohnert Park
757154,Geyserville
757108,Santa Rosa
757779,Sebastopol
757536,Santa Rosa
757114,Windsor
757996,Petaluma
758083,Bodega Bay
757318,Guerneville
757758,Rohnert Park
757546,Sebastopol
757674,Cotati
757515,Santa Rosa
757220,Windsor
757155,Geyserville
757555,Graton
758086,Monte Rio
757547,Sebastopol
757187,Geyserville
757205,Windsor
757811,Sebastopol
757877,Cotati
757157,Cloverdale
757853,Forestville
758036,Windsor
757538,Santa Rosa
757833,Santa Rosa
757802,Rohnert Park
757107,Santa Rosa
757947,Santa Rosa
757364,Sebastopol
757949,Santa Rosa
3451458,Rohnert Park
757412,Kenwood
757872,Monte Rio
757315,Guerneville
757474,Sonoma
757356,Sebastopol
757396,Santa Rosa
757498,Glen Ellen
757180,Cloverdale
757881,Rohnert Park
757365,Santa Rosa
810176,Cloverdale
757745,Penngrove
757324,Guerneville
757735,Petaluma
757146,Healdsburg
757178,Cloverdale
757507,Kenwood
757662,Petaluma
757238,Santa Rosa
