service_id,date,exception_type
1,20200217,2
1,20200525,2
1,20200703,2
1,20200907,2
1,20201111,2
1,20201126,2
1,20201127,2
1,20201224,2
1,20201225,2
1,20210101,2
1,20210118,2
1,20210215,2
1,20210531,2
1,20210705,2
1,20210906,2
1,20211111,2
1,20211125,2
1,20211126,2
1,20211224,2
2,20200704,2
2,20211225,2
3,20200217,1
3,20200525,1
3,20200703,1
3,20200704,1
3,20200907,1
3,20201111,1
3,20201126,1
3,20201127,1
3,20201224,1
3,20201225,1
3,20210101,1
3,20210118,1
3,20210215,1
3,20210531,1
3,20210705,1
3,20210906,1
3,20211111,1
3,20211125,1
3,20211126,1
3,20211224,1
3,20211225,1
