stop_id,stop_city
2618313,Union City
3885390,Union City
3537285,Union City
3521407,Union City
3817717,Union City
3819174,Union City
2618308,Union City
3538243,Union City
3817732,Union City
3521395,Union City
3536643,Union City
2618306,Union City
3817727,Union City
2618413,Union City
3819178,Union City
3537281,Union City
3538242,Union City
3817721,Union City
3521405,Union City
3536645,Union City
3521413,Union City
3817731,Union City
3537272,Hayward
3521403,Union City
3521372,Union City
3521408,Union City
3521404,Union City
2618284,Union City
3817728,Union City
3538241,Union City
3521406,Union City
3819164,Union City
2618391,Union City
3537271,Hayward
3819163,Union City
3521392,Union City
3521391,Union City
3819177,Union City
2618392,Union City
3819176,Union City
3539534,Union City
3819239,Union City
2618409,Union City
3537273,Hayward
3523461,Union City
3521388,Union City
3521367,Union City
3521419,Union City
3537284,Union City
3523450,Union City
3817729,Union City
2618274,Union City
3521368,Union City
3537291,Union City
3521400,Union City
4270078,Union City
3819237,Union City
3819236,Union City
3521402,Union City
3539535,Union City
2618317,Union City
3521411,Union City
3819172,Union City
3817733,Union City
2618311,Union City
3537270,Union City
3521374,Union City
2618272,Union City
3538248,Union City
3536276,Union City
3539530,Union City
3537293,Union City
3521373,Union City
3537279,Union City
4511331,Union City
3537278,Union City
3521417,Union City
3521385,Union City
3816617,Hayward
3817736,Union City
3817724,Union City
2618412,Union City
3523460,Union City
3523457,Union City
3817718,Union City
3521389,Union City
3817730,Union City
3521387,Union City
4511363,Union City
5895853,Union City
3521394,Union City
3523452,Union City
3819180,Union City
3523464,Union City
3537276,Union City
2618298,Union City
3521375,Union City
3521414,Union City
3817725,Union City
2618299,Union City
3536646,Union City
3817735,Union City
2618283,Union City
3521399,Union City
2618408,Union City
3521420,Union City
3521390,Union City
3537294,Union City
3536282,Union City
3536644,Union City
3537280,Union City
4270077,Union City
3521376,Union City
3521369,Union City
3816618,Hayward
3523462,Union City
3539532,Union City
3539536,Union City
3521398,Union City
2618410,Union City
3536277,Union City
3819171,Union City
3523465,Union City
3538240,Union City
2618316,Union City
2618407,Union City
3521397,Union City
3521378,Union City
2618393,Union City
2618411,Union City
3819173,Union City
3695760,Union City
3521393,Union City
3819168,Union City
3536281,Union City
2618310,Union City
3538244,Union City
3536283,Union City
2618318,Union City
3817719,Union City
3817722,Union City
3817726,Union City
2618307,Union City
3523456,Union City
2618305,Union City
3819238,Union City
3819169,Union City
3539350,Union City
3523459,Union City
3517880,Union City
3537289,Union City
3521415,Union City
3816619,Hayward
2618273,Union City
3817720,Union City
3819166,Union City
3819165,Union City
3537650,Union City
3536278,Hayward
3521371,Union City
3538252,Union City
3521412,Union City
3819192,Union City
3537274,Hayward
3537290,Union City
2618406,Union City
3521381,Union City
3521416,Union City
3537292,Union City
3537275,Union City
4269817,Union City
3523458,Union City
2618460,Union City
3538239,Union City
3536279,Hayward
3523468,Union City
3816616,Union City
3521401,Union City
3523454,Union City
3817734,Union City
3521396,Union City
3521410,Union City
3819167,Union City
3539533,Union City
2618301,Union City
2618312,Union City
3817723,Union City
3819170,Union City
2618302,Union City
2618314,Union City
3521409,Union City
3819175,Union City
3537277,Union City
3521380,Union City
3537282,Union City
3536280,Hayward
3816615,Union City
3521418,Union City
3539531,Union City
3523453,Union City
3521386,Union City
3521379,Union City
3521370,Union City
3519600,Union City
3523455,Union City
2618300,Union City
3819179,Union City
3523463,Union City
4270457,Union City
2618315,Union City
