service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
262.0.1,1,1,1,1,1,0,0,20240115,20240426
262.0.2,0,0,0,0,0,1,0,20240120,20240427
262.0.3,0,0,0,0,0,0,1,20240121,20240428
262.100.1,1,1,0,1,0,0,0,20240116,20240425
262.101.1,0,0,1,0,1,0,0,20240115,20240426
262.102.1,1,0,1,0,1,0,0,20240117,20240426
262.103.1,0,1,0,1,0,0,0,20240115,20240425
262.108.1,0,1,0,1,0,0,0,20240116,20240425
262.109.1,1,0,1,0,1,0,0,20240115,20240426
262.1175.1,1,0,0,0,1,0,0,20240115,20240422
262.120.1,0,0,1,0,0,0,0,20240115,20240424
262.121.1,0,0,1,0,1,0,0,20240117,20240426
262.131.1,1,1,1,1,1,0,0,20240116,20240426
262.150.1,1,1,1,1,1,0,0,20240116,20240426
262.152.1,0,0,1,0,1,0,0,20240117,20240426
262.1545.1,1,1,0,1,0,0,0,20240116,20240425
262.155.1,0,0,1,0,1,0,0,20240117,20240426
262.1566.1,1,1,1,1,1,0,0,20240116,20240426
262.1567.1,1,1,1,1,0,0,0,20240129,20240425
262.157.1,0,0,1,0,1,0,0,20240117,20240426
262.159.1,1,1,1,1,1,0,0,20240116,20240426
262.160.1,1,1,1,1,1,0,0,20240115,20240419
262.161.1,0,0,1,0,1,0,0,20240117,20240426
262.1660.2,0,0,0,0,0,1,0,20240120,20240120
262.171.1,1,1,1,1,1,0,0,20240116,20240426
262.173.1,1,1,0,1,0,0,0,20240116,20240425
262.176.1,1,0,0,0,0,0,0,20240122,20240422
262.177.1,0,1,1,1,1,0,0,20240115,20240426
262.178.1,1,1,1,1,1,0,0,20240116,20240426
262.179.1,1,1,1,1,1,0,0,20240115,20240419
262.180.1,0,0,1,0,1,0,0,20240117,20240426
262.181.1,1,1,0,1,0,0,0,20240115,20240425
262.182.1,1,1,0,1,0,0,0,20240116,20240425
262.1826.1,1,1,1,0,1,0,0,20240116,20240426
262.1827.1,1,1,0,0,1,0,0,20240116,20240426
262.1828.1,0,0,0,1,0,0,0,20240118,20240425
262.1833.1,1,1,1,1,1,0,0,20240115,20240426
262.1833.2,0,0,0,0,0,1,0,20240120,20240427
262.1843.1,1,1,1,0,1,0,0,20240115,20240426
262.191.1,1,1,0,1,0,0,0,20240116,20240425
262.1919.1,1,1,1,1,1,0,0,20240116,20240426
262.1921.1,0,0,1,0,1,0,0,20240115,20240426
262.1923.1,1,0,0,0,1,0,0,20240115,20240422
262.1924.1,1,1,1,1,1,0,0,20240115,20240419
262.1926.1,1,1,1,1,1,0,0,20240116,20240426
262.1927.1,1,0,0,1,1,0,0,20240115,20240405
262.193.1,0,0,1,0,1,0,0,20240117,20240426
262.2050.1,0,0,0,0,1,0,0,20240115,20240426
262.2068.1,1,1,1,1,1,0,0,20240116,20240426
262.2069.1,1,1,1,1,1,0,0,20240116,20240426
262.2070.1,1,1,0,1,0,0,0,20240116,20240425
262.2071.1,1,0,0,0,0,0,0,20240122,20240422
262.2075.1,1,1,1,1,1,0,0,20240116,20240426
262.2082.1,1,1,1,1,1,0,0,20240116,20240426
262.2093.1,0,1,1,1,1,0,0,20240115,20240426
262.2152.1,0,0,1,0,1,0,0,20240117,20240426
262.2153.1,1,1,0,1,0,0,0,20240116,20240425
262.2179.1,1,1,1,1,1,0,0,20240115,20240412
262.2321.1,1,1,1,1,1,0,0,20240115,20240412
262.2348.1,1,1,1,1,1,0,0,20240116,20240426
262.2349.1,1,1,1,1,1,0,0,20240116,20240426
262.2491.1,0,0,0,1,0,0,0,20240118,20240425
262.2561.1,0,0,1,0,0,0,0,20240117,20240424
262.2562.1,1,1,0,1,1,0,0,20240115,20240426
262.262.1,1,1,0,1,0,0,0,20240115,20240425
262.2734.1,1,1,1,1,1,0,0,20240115,20240405
262.2735.1,0,0,1,1,0,0,0,20240115,20240425
262.327.1,1,1,1,1,1,0,0,20240116,20240426
262.57.1,0,1,0,1,0,0,0,20240116,20240425
262.58.1,1,0,1,0,1,0,0,20240115,20240426
262.59.1,0,0,1,0,1,0,0,20240117,20240426
262.62.1,0,0,1,0,1,0,0,20240117,20240426
262.634.3,0,0,0,0,0,0,1,20240128,20240128
262.64.1,1,1,1,1,1,0,0,20240116,20240426
262.66.1,0,0,1,0,0,0,0,20240117,20240424
262.67.1,1,1,0,1,1,0,0,20240115,20240426
262.745.1,1,0,0,0,0,0,0,20240122,20240422
262.746.1,1,0,0,0,0,0,0,20240122,20240422
262.76.1,1,1,0,1,1,0,0,20240116,20240426
262.79.1,0,1,0,1,0,0,0,20240116,20240425
262.80.1,1,1,0,1,0,0,0,20240116,20240425
262.87.1,0,0,1,0,1,0,0,20240117,20240426
262.89.1,1,1,0,1,0,0,0,20240116,20240425
262.897.1,0,0,1,0,1,0,0,20240117,20240426
262.901.1,1,0,1,0,1,0,0,20240115,20240426
262.905.1,1,1,0,1,0,0,0,20240115,20240425
262.96.1,0,1,0,1,0,0,0,20240116,20240425
262.98.1,0,0,1,0,1,0,0,20240117,20240426
