service_id,date,exception_type
262.100.1,20240219,2
262.100.1,20240220,2
262.100.1,20240222,2
262.100.1,20240318,2
262.100.1,20240415,2
262.100.1,20240416,2
262.100.1,20240418,2
262.101.1,20240115,1
262.101.1,20240219,1
262.101.1,20240220,1
262.101.1,20240222,1
262.101.1,20240318,1
262.101.1,20240415,1
262.101.1,20240416,1
262.101.1,20240418,1
262.102.1,20240312,1
262.102.1,20240219,2
262.102.1,20240221,2
262.102.1,20240223,2
262.102.1,20240318,2
262.102.1,20240415,2
262.102.1,20240417,2
262.102.1,20240419,2
262.103.1,20240115,1
262.103.1,20240219,1
262.103.1,20240221,1
262.103.1,20240223,1
262.103.1,20240318,1
262.103.1,20240415,1
262.103.1,20240417,1
262.103.1,20240419,1
262.103.1,20240312,2
262.108.1,20240220,2
262.108.1,20240222,2
262.108.1,20240312,2
262.108.1,20240314,2
262.108.1,20240416,2
262.108.1,20240418,2
262.109.1,20240220,1
262.109.1,20240222,1
262.109.1,20240312,1
262.109.1,20240314,1
262.109.1,20240416,1
262.109.1,20240418,1
262.1175.1,20240402,1
262.1175.1,20240403,1
262.1175.1,20240404,1
262.1175.1,20240119,2
262.1175.1,20240126,2
262.1175.1,20240129,2
262.1175.1,20240202,2
262.1175.1,20240205,2
262.1175.1,20240209,2
262.1175.1,20240212,2
262.1175.1,20240223,2
262.1175.1,20240301,2
262.1175.1,20240304,2
262.1175.1,20240315,2
262.1175.1,20240318,2
262.1175.1,20240322,2
262.1175.1,20240325,2
262.1175.1,20240329,2
262.1175.1,20240408,2
262.1175.1,20240412,2
262.1175.1,20240415,2
262.1175.1,20240419,2
262.120.1,20240115,1
262.120.1,20240209,1
262.120.1,20240219,1
262.120.1,20240220,1
262.120.1,20240222,1
262.120.1,20240223,1
262.120.1,20240401,1
262.120.1,20240412,1
262.120.1,20240415,1
262.120.1,20240416,1
262.120.1,20240418,1
262.120.1,20240419,1
262.121.1,20240318,1
262.121.1,20240214,2
262.121.1,20240221,2
262.121.1,20240223,2
262.121.1,20240320,2
262.121.1,20240322,2
262.121.1,20240410,2
262.121.1,20240412,2
262.131.1,20240219,2
262.131.1,20240220,2
262.131.1,20240221,2
262.131.1,20240222,2
262.131.1,20240223,2
262.131.1,20240408,2
262.131.1,20240409,2
262.131.1,20240410,2
