timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2933,7275722,1,Soscol Gateway Transit Ctr,"10/Up Valley Connector, 10X/Up Valley Express, 11/Napa-Vallejo Connector, 11X/Napa-Vallejo Express, 21/Napa-Solano Express, 29/Napa-BART Express, B/Westwood | South Napa, C/Jefferson | Central Napa, D/Shelter | Shurtleff, E/East, E/Vintage, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, S/Imola | South Napa, W/West"
2933,7276876,2,3rd St at Brown St (WB),"B/Westwood | South Napa, C/Jefferson | Central Napa, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, W/West"
2933,7276878,3,Premium Outlets,"B/Westwood | South Napa, W/West"
2933,7276077,4,Old Sonoma Rd at Underhill Dr (SE),"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa, W/West"
2933,7276262,5,Imola Ave at Jefferson St,"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa"
2933,7276071,6,Soscol Ave at Kansas Ave South,"10/Up Valley Connector, 11/Napa-Vallejo Connector, B/Westwood | South Napa, F/Southwest Napa, G/Coombs | South Napa"
2933,7276073,7,Imola and Coombs,"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa"
2933,2528845,8,Old Sonoma Rd at Underhill Dr NE,"B/Westwood | South Napa, F/Southwest Napa, W/West"
2933,2528986,9,1st St at Chelsea Avenue,"A/On-Demand Service , B/Westwood | South Napa, W/West"
2933,7275722,10,Soscol Gateway Transit Ctr,"10/Up Valley Connector, 10X/Up Valley Express, 11/Napa-Vallejo Connector, 11X/Napa-Vallejo Express, 21/Napa-Solano Express, 29/Napa-BART Express, B/Westwood | South Napa, C/Jefferson | Central Napa, D/Shelter | Shurtleff, E/East, E/Vintage, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, S/Imola | South Napa, W/West"
2934,7275722,1,Soscol Gateway Transit Ctr,"10/Up Valley Connector, 10X/Up Valley Express, 11/Napa-Vallejo Connector, 11X/Napa-Vallejo Express, 21/Napa-Solano Express, 29/Napa-BART Express, B/Westwood | South Napa, C/Jefferson | Central Napa, D/Shelter | Shurtleff, E/East, E/Vintage, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, S/Imola | South Napa, W/West"
2934,7276876,2,3rd St at Brown St (WB),"B/Westwood | South Napa, C/Jefferson | Central Napa, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, W/West"
2934,7276878,3,Premium Outlets,"B/Westwood | South Napa, W/West"
2934,7276077,4,Old Sonoma Rd at Underhill Dr (SE),"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa, W/West"
2934,7276262,5,Imola Ave at Jefferson St,"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa"
2934,7276071,6,Soscol Ave at Kansas Ave South,"10/Up Valley Connector, 11/Napa-Vallejo Connector, B/Westwood | South Napa, F/Southwest Napa, G/Coombs | South Napa"
2934,7276073,7,Imola and Coombs,"B/Westwood | South Napa, F/Southwest Napa, S/Imola | South Napa"
2934,2528845,8,Old Sonoma Rd at Underhill Dr NE,"B/Westwood | South Napa, F/Southwest Napa, W/West"
2934,2528986,9,1st St at Chelsea Avenue,"A/On-Demand Service , B/Westwood | South Napa, W/West"
2934,7275722,10,Soscol Gateway Transit Ctr,"10/Up Valley Connector, 10X/Up Valley Express, 11/Napa-Vallejo Connector, 11X/Napa-Vallejo Express, 21/Napa-Solano Express, 29/Napa-BART Express, B/Westwood | South Napa, C/Jefferson | Central Napa, D/Shelter | Shurtleff, E/East, E/Vintage, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, S/Imola | South Napa, W/West"
2935,7275722,1,Soscol Gateway Transit Ctr,"10/Up Valley Connector, 10X/Up Valley Express, 11/Napa-Vallejo Connector, 11X/Napa-Vallejo Express, 21/Napa-Solano Express, 29/Napa-BART Express, B/Westwood | South Napa, C/Jefferson | Central Napa, D/Shelter | Shurtleff, E/East, E/Vintage, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, S/Imola | South Napa, W/West"
2935,7276876,2,3rd St at Brown St (WB),"B/Westwood | South Napa, C/Jefferson | Central Napa, F/Southwest Napa, G/Coombs | South Napa, H/North Napa, N/Trancas | North Napa, W/West"
