route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
10,c_69720_b_81173_d_31,5669027,,Calistoga,0,1004,p_898089,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669026,,Calistoga,0,1002,p_898089,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668922,,Calistoga,0,1002,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668885,,Calistoga,0,1004,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668884,,Calistoga,0,1001,p_898089,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668837,,Calistoga,0,1002,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669321,,Calistoga,0,1007,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669320,,Calistoga,0,1005,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669319,,Calistoga,0,1003,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669168,,Calistoga,0,1006,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669169,,Calistoga,0,1001,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669184,,Calistoga,0,1006,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669124,,Calistoga,0,1002,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669118,,Calistoga,0,1004,p_898087,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669075,,Calistoga,0,1006,p_898089,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669030,,Calistoga,0,1001,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669029,,Calistoga,0,1004,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669693,,Calistoga,0,1003,p_898089,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669028,,Calistoga,0,1001,p_1434392,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669404,,Napa Valley College,1,1003,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669204,,Napa Valley College,1,1002,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669125,,Napa Valley College,1,1006,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668921,,Napa Valley College,1,1003,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669408,,Napa Valley College,1,1005,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669123,,Napa Valley College,1,1004,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668863,,Napa Valley College,1,1001,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5668862,,Napa Valley College,1,1002,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669405,,Napa Valley College,1,1003,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669104,,Napa Valley College,1,1001,p_898090,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669205,,Napa Valley College,1,1002,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669076,,Napa Valley College,1,1002,p_898090,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669127,,Napa Valley College,1,1004,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669126,,Napa Valley College,1,1001,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669409,,Napa Valley College,1,1007,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669057,,Napa Valley College,1,1006,p_898084,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669170,,Napa Valley College,1,1004,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669171,,Napa Valley College,1,1006,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_31,5669172,,Napa Valley College,1,1001,p_1434393,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668850,,Calistoga,0,1004Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668848,,Calistoga,0,1002Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668847,,Calistoga,0,1001Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668846,,Calistoga,0,1001Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669120,,Calistoga,0,1003Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669107,,Calistoga,0,1001Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669063,,Calistoga,0,1001Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669036,,Calistoga,0,1002Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669035,,Calistoga,0,1002Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668853,,Calistoga,0,1004Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668852,,Calistoga,0,1003Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668851,,Calistoga,0,1003Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668849,,Calistoga,0,1004Sat,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668917,,Napa Valley College,1,1004Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668918,,Napa Valley College,1,1003Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669015,,Napa Valley College,1,1001Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669065,,Napa Valley College,1,1001Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669121,,Napa Valley College,1,1004Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669122,,Napa Valley College,1,1003Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669206,,Napa Valley College,1,1002Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668857,,Napa Valley College,1,1004Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668858,,Napa Valley College,1,1002Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668859,,Napa Valley College,1,1002Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668860,,Napa Valley College,1,1003Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5669403,,Napa Valley College,1,1001Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668861,,Napa Valley College,1,1001Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_32,5668916,,Napa Valley College,1,1003Sat,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669102,,Calistoga,0,1004Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669053,,Calistoga,0,1003Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669054,,Calistoga,0,1001Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669055,,Calistoga,0,1001Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669052,,Calistoga,0,1004Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669056,,Calistoga,0,1002Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669106,,Calistoga,0,1002Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669051,,Calistoga,0,1004Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669050,,Calistoga,0,1003Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669105,,Calistoga,0,1001Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669191,,Calistoga,0,1003Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669194,,Calistoga,0,1002Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669064,,Calistoga,0,1001Sun,p_1434395,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669176,,Napa Valley College,1,1001Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669174,,Napa Valley College,1,1004Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669180,,Napa Valley College,1,1004Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669181,,Napa Valley College,1,1001Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5668854,,Napa Valley College,1,1004Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5668855,,Napa Valley College,1,1004Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5668856,,Napa Valley College,1,1002Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5668938,,Napa Valley College,1,1002Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669046,,Napa Valley College,1,1003Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669179,,Napa Valley College,1,1003Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669178,,Napa Valley College,1,1003Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669177,,Napa Valley College,1,1001Sun,p_1434394,,,,,,,,,,,,
10,c_69720_b_81173_d_64,5669175,,Napa Valley College,1,1002Sun,p_1434394,,,,,,,,,,,,
11,c_69720_b_81173_d_31,5669040,,Redwood Park & Ride,0,1110,p_751382,,,,,,,,,,,,
11,c_69720_b_81173_d_31,5668926,,Redwood Park & Ride,0,1108,p_751382,,,,,,,,,,,,
11,c_69720_b_81173_d_31,5668893,,Redwood Park & Ride,0,1109,p_751382,,,,,,,,,,,,
