route_id,direction_id,direction
2655,0,Loop
2659,0,East
2659,0,Loop
2659,1,West
2661,0,East
2661,0,Loop
2661,1,West
2664,0,East
2664,0,Loop
2664,1,West
2666,0,East
2666,0,Loop
2666,1,West
2668,0,Loop
2668,0,North
2668,1,South
2670,0,Loop
2670,0,North
2670,1,South
2672,0,Loop
2672,0,North
2674,0,East
2674,0,Loop
2674,1,West
2676,0,Loop
2676,0,North
2676,1,South
2689,0,Loop
2689,0,North
2689,1,South
2696,0,Loop
2696,0,North
2696,1,South
2700,0,Loop
2700,0,North
2700,1,South
2702,0,Loop
2702,0,North
2702,1,South
2706,0,East
2706,0,Loop
2706,1,West
12463,0,Loop
12463,1,South
12464,1,South
12464,1,West
