runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_19336_b_25534_d_31,5001,1,1,1013571255340,2554968,1013604255340,2554968
1000000,c_19357_b_25566_d_31,1604,10,1,1018281255660,2554968,1018137255660,791648
1100000,c_19357_b_25566_d_31,1605,11,1,1017903255660,791648,1018282255660,2554968
1200000,c_19357_b_25566_d_31,1606,12,1,1017911255660,791648,1017820255660,2554968
1300000,c_19357_b_25566_d_31,1901,13,1,1017954255660,791638,1018025255660,791638
1400000,c_19357_b_25566_d_31,1902,14,1,1017975255660,791638,1017972255660,791638
1500000,c_19357_b_25566_d_31,1903,15,1,1018002255660,791638,1018191255660,791638
1600000,c_19357_b_25566_d_31,1904,16,1,1018232255660,791638,1017970255660,791638
1700000,c_19357_b_25566_d_31,1905,17,1,1017993255660,791638,1017959255660,791469
1800000,c_19357_b_25566_d_31,1906,18,1,1018027255660,791638,1018051255660,791638
1900000,c_19357_b_25566_d_31,1907,19,1,1017955255660,791638,1018059255660,791638
200000,c_19336_b_25534_d_31,5002,2,1,1013598255340,791465,1013605255340,2554968
2000000,c_19357_b_25566_d_31,1951,20,1,1018112255660,791638,1018265255660,791638
2100000,c_19357_b_25566_d_31,1952,21,1,1018149255660,791638,1017877255660,791638
2200000,c_19357_b_25566_d_31,1953,22,1,1018033255660,791638,1296356255660,2554968
2300000,c_19357_b_25566_d_31,1954,23,1,1018135255660,791638,1018031255660,791638
2400000,c_19357_b_25566_d_31,1957,24,1,1018116255660,791638,1018205255660,791638
2500000,c_19357_b_25566_d_31,1958,25,1,1018196255660,791638,1017882255660,791638
2600000,c_19357_b_25566_d_31,1959,26,1,1018063255660,791638,1017861255660,791638
2700000,c_19357_b_25566_d_31,1960,27,1,1018105255660,791638,1320198255660,791638
2800000,c_19357_b_25566_d_31,3331,28,1,1017843255660,2554968,1017844255660,2554968
2900000,c_19357_b_25566_d_31,3332,29,1,1017928255660,791638,1017845255660,2554968
300000,c_19336_b_25534_d_31,5003,3,1,1013554255340,791465,1013603255340,2554968
3000000,c_19357_b_25566_d_31,3341,30,1,1017847255660,2554968,1017848255660,2554968
3100000,c_19357_b_25566_d_31,3342,31,1,1017944255660,791638,1017849255660,2554968
3200000,c_19731_b_26130_d_31,8004,32,1,1063854261300,791638,1063765261300,791638
3300000,c_19731_b_26130_d_31,8005,33,1,1063839261300,791638,1063864261300,791638
3400000,c_19731_b_26130_d_31,8006,34,1,1063811261300,791638,1063767261300,791638
3500000,c_19731_b_26130_d_31,8007,35,1,1063757261300,791638,1063903261300,791638
3600000,c_19731_b_26130_d_31,8008,36,1,1063772261300,791638,1063747261300,791638
3700000,c_19731_b_26130_d_31,8009,37,1,1063856261300,791638,1063733261300,791638
3800000,c_19731_b_26130_d_31,8010,38,1,1063820261300,791638,1063797261300,791638
3900000,c_19731_b_26130_d_96,9001,39,1,1063849261300,791638,1063792261300,791638
400000,c_19336_b_25534_d_31,5004,4,1,1013600255340,2554968,1013606255340,2554968
4000000,c_19731_b_26130_d_96,9002,40,1,1063722261300,2554968,1063723261300,2554968
4100000,c_19731_b_26130_d_96,9003,41,1,1063724261300,2554968,1063725261300,2554968
4200000,c_19731_b_26130_d_96,9004,42,1,1063726261300,2554968,1063746261300,791638
4300000,c_19731_b_26130_d_96,9005,43,1,1063753261300,791638,1063729261300,2554968
4400000,c_19731_b_26130_d_96,9006,44,1,1063830261300,791638,1063731261300,2554968
4500000,c_19732_b_26131_d_32,8001,45,1,1063964261310,791638,1063961261310,791638
4600000,c_19732_b_26131_d_32,8002,46,1,1063951261310,791638,1063913261310,791638
4700000,c_19732_b_26131_d_32,8011,47,1,1063917261310,791638,1063971261310,791638
4800000,c_19732_b_26131_d_32,8012,48,1,1063930261310,791638,1063911261310,791638
500000,c_19336_b_25534_d_31,5005,5,1,1013602255340,2554968,1013607255340,2554968
600000,c_19336_b_25534_d_31,5006,6,1,1013556255340,2554968,1013608255340,2554968
700000,c_19336_b_25534_d_31,5007,7,1,1013560255340,2554968,1013610255340,2554968
800000,c_19336_b_25534_d_31,5008,8,1,1013557255340,2554968,1013609255340,2554968
900000,c_19357_b_25566_d_31,1603,9,1,1018280255660,2554968,1017901255660,791648
