fare_id,price,currency_type,payment_method,transfers,transfer_duration
282773,5.25,USD,1,,
282774,6.50,USD,1,,
282775,10.75,USD,1,,
282776,10.75,USD,1,,
282777,10.75,USD,1,,
282778,12.25,USD,1,,
282779,15.50,USD,1,,
282780,15.50,USD,1,,
282781,15.50,USD,1,,
282782,5.25,USD,1,,
282783,6.25,USD,1,,
282784,10.25,USD,1,,
282785,10.25,USD,1,,
282786,10.25,USD,1,,
282787,11.75,USD,1,,
282788,14.50,USD,1,,
282789,14.50,USD,1,,
282790,14.50,USD,1,,
282791,6.50,USD,1,,
282792,6.25,USD,1,,
282793,6.25,USD,1,,
282794,6.25,USD,1,,
282795,6.25,USD,1,,
282796,10.25,USD,1,,
282797,11.75,USD,1,,
282798,11.75,USD,1,,
282799,11.75,USD,1,,
282800,10.75,USD,1,,
282801,10.25,USD,1,,
282802,6.25,USD,1,,
282803,4.75,USD,1,,
282804,4.75,USD,1,,
282805,6.25,USD,1,,
282806,10.25,USD,1,,
282807,10.25,USD,1,,
282808,10.25,USD,1,,
282809,10.75,USD,1,,
282810,10.25,USD,1,,
282811,6.25,USD,1,,
282812,4.75,USD,1,,
282813,4.75,USD,1,,
282814,6.25,USD,1,,
282815,10.25,USD,1,,
282816,10.25,USD,1,,
282817,10.25,USD,1,,
282818,10.75,USD,1,,
282819,10.25,USD,1,,
282820,6.25,USD,1,,
282821,4.75,USD,1,,
282822,4.75,USD,1,,
282823,6.25,USD,1,,
282824,10.25,USD,1,,
282825,10.25,USD,1,,
282826,10.25,USD,1,,
282827,15.50,USD,1,,
282828,14.50,USD,1,,
282829,11.75,USD,1,,
282830,10.25,USD,1,,
282831,10.25,USD,1,,
282832,10.25,USD,1,,
282833,6.25,USD,1,,
282834,6.25,USD,1,,
282835,6.25,USD,1,,
282836,15.50,USD,1,,
282837,14.50,USD,1,,
282838,11.75,USD,1,,
282839,10.25,USD,1,,
282840,10.25,USD,1,,
282841,10.25,USD,1,,
282842,6.25,USD,1,,
282843,4.75,USD,1,,
282844,4.75,USD,1,,
282845,15.50,USD,1,,
282846,14.50,USD,1,,
282847,11.75,USD,1,,
282848,10.25,USD,1,,
282849,10.25,USD,1,,
282850,10.25,USD,1,,
282851,6.25,USD,1,,
282852,4.75,USD,1,,
282853,4.75,USD,1,,
282854,15.50,USD,1,,
282855,14.50,USD,1,,
282856,11.75,USD,1,,
282857,10.25,USD,1,,
282858,10.25,USD,1,,
282859,10.25,USD,1,,
282860,6.25,USD,1,,
282861,4.75,USD,1,,
282862,4.75,USD,1,,
282863,5.25,USD,1,,
282864,6.50,USD,1,,
282865,10.75,USD,1,,
282866,10.75,USD,1,,
282867,10.75,USD,1,,
282868,12.25,USD,1,,
282869,15.50,USD,1,,
282870,15.50,USD,1,,
282871,15.50,USD,1,,
282872,5.25,USD,1,,
282873,6.25,USD,1,,
282874,10.25,USD,1,,
282875,10.25,USD,1,,
282876,10.25,USD,1,,
282877,11.75,USD,1,,
282878,14.50,USD,1,,
282879,14.50,USD,1,,
282880,14.50,USD,1,,
282881,6.50,USD,1,,
282882,6.25,USD,1,,
282883,6.25,USD,1,,
282884,6.25,USD,1,,
282885,6.25,USD,1,,
282886,10.25,USD,1,,
282887,11.75,USD,1,,
282888,11.75,USD,1,,
282889,11.75,USD,1,,
282890,10.75,USD,1,,
282891,10.25,USD,1,,
282892,6.25,USD,1,,
282893,4.75,USD,1,,
282894,4.75,USD,1,,
282895,6.25,USD,1,,
282896,10.25,USD,1,,
282897,10.25,USD,1,,
282898,10.25,USD,1,,
282899,10.75,USD,1,,
282900,10.25,USD,1,,
282901,6.25,USD,1,,
282902,4.75,USD,1,,
282903,4.75,USD,1,,
282904,6.25,USD,1,,
282905,10.25,USD,1,,
282906,10.25,USD,1,,
282907,10.25,USD,1,,
282908,10.75,USD,1,,
282909,10.25,USD,1,,
282910,6.25,USD,1,,
282911,4.75,USD,1,,
282912,4.75,USD,1,,
282913,6.25,USD,1,,
282914,10.25,USD,1,,
282915,10.25,USD,1,,
282916,10.25,USD,1,,
282917,15.50,USD,1,,
282918,14.50,USD,1,,
282919,11.75,USD,1,,
282920,10.25,USD,1,,
282921,10.25,USD,1,,
282922,10.25,USD,1,,
282923,6.25,USD,1,,
282924,6.25,USD,1,,
282925,6.25,USD,1,,
282926,15.50,USD,1,,
282927,14.50,USD,1,,
282928,11.75,USD,1,,
282929,10.25,USD,1,,
282930,10.25,USD,1,,
282931,10.25,USD,1,,
282932,6.25,USD,1,,
282933,4.75,USD,1,,
282934,4.75,USD,1,,
282935,15.50,USD,1,,
282936,14.50,USD,1,,
282937,11.75,USD,1,,
282938,10.25,USD,1,,
282939,10.25,USD,1,,
282940,10.25,USD,1,,
282941,6.25,USD,1,,
282942,4.75,USD,1,,
282943,4.75,USD,1,,
282944,15.50,USD,1,,
282945,14.50,USD,1,,
282946,11.75,USD,1,,
282947,10.25,USD,1,,
282948,10.25,USD,1,,
282949,10.25,USD,1,,
282950,6.25,USD,1,,
282951,4.75,USD,1,,
282952,4.75,USD,1,,
