shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_179510,37.8687964896161,-122.435215608532,1,0
p_179510,37.8697341024847,-122.435685860098,2,111.9931331
p_179510,37.8702380815878,-122.43622272039,3,185.20828099
p_179510,37.8705587937673,-122.437252911761,4,282.59080169
p_179510,37.8707535111952,-122.438442710246,5,389.4846803
p_179510,37.8707535111952,-122.441010933804,6,615.45339479
p_179510,37.8707270359984,-122.44336458841,7,822.5638474
p_179510,37.870360508516,-122.447528883107,8,1191.21773783
p_179510,37.8708251415327,-122.451365131365,9,1532.67309898
p_179510,37.8720367523889,-122.454483727822,10,1838.24797901
p_179510,37.872939,-122.455446,11,1969.38526102
p_179511,37.872939,-122.455446,1,0
p_179511,37.872042332637,-122.454738906588,2,117.36971972
p_179511,37.8707905526805,-122.451423236729,3,440.49732692
p_179511,37.8702784547502,-122.447627035003,4,779.3141344
p_179511,37.8707321899673,-122.442950071392,5,1193.89491678
p_179511,37.8706942568764,-122.438505151649,6,1585.01022567
p_179511,37.8704856245403,-122.437183689026,7,1703.56479058
p_179511,37.8702390582969,-122.436294705075,8,1786.4331793
p_179511,37.869802823683,-122.435814173213,9,1850.71457243
p_179511,37.8687964896161,-122.435215608532,10,1974.20545935
p_179531,37.8069552610009,-122.404199673672,1,0
p_179531,37.8085546545603,-122.403525718775,2,187.17940695
p_179531,37.8099921875056,-122.403753160454,3,347.98744222
p_179531,37.8187024490848,-122.412571323263,4,1587.97294085
p_179531,37.8256642817132,-122.418769109016,5,2533.94034314
p_179531,37.8264727100408,-122.419735736152,6,2657.60813587
p_179531,37.826723,-122.421047,7,2776.34589165
p_179532,37.826723,-122.421047,1,0
p_179532,37.8263191896721,-122.41979022622,2,119.3783055
p_179532,37.8256375468366,-122.418779206291,3,236.19796727
p_179532,37.8244016407493,-122.417668801495,4,404.64603922
p_179532,37.8181659477249,-122.412044217859,5,1255.68595019
p_179532,37.8103775954185,-122.403962882205,6,2375.34578118
p_179532,37.8086642888432,-122.40334328318,7,2573.18309501
p_179532,37.8069552610009,-122.404199673672,8,2777.31449705
p_179553,37.809579,-122.412277,1,0
p_179553,37.8268580798635,-122.432842188155,2,2637.60487891
p_179553,37.8324453582022,-122.436096208555,3,3320.72308002
p_179553,37.8416075787504,-122.440482062136,4,4408.48689148
p_179553,37.8457413788374,-122.443594603389,5,4942.87933853
p_179553,37.8578198872145,-122.450049276951,6,6398.90567767
p_179553,37.8629580412485,-122.451039630986,7,6975.8295044
p_179553,37.8687659579537,-122.444956027629,8,7813.75656601
p_179553,37.8696594429698,-122.440994611492,9,8176.14810952
p_179553,37.8687964896161,-122.435215608532,10,8693.57479608
p_179553,37.8697341024847,-122.435685860098,11,8805.56792918
p_179553,37.8702380815878,-122.43622272039,12,8878.78307707
p_179553,37.8705587937673,-122.437252911761,13,8976.16559777
p_179553,37.8707535111952,-122.438442710246,14,9083.05947638
p_179553,37.8707535111952,-122.441010933804,15,9309.02819087
p_179553,37.8707270359984,-122.44336458841,16,9516.13864348
p_179553,37.870360508516,-122.447528883107,17,9884.79253391
p_179553,37.8708251415327,-122.451365131365,18,10226.24789506
p_179553,37.8720367523889,-122.454483727822,19,10531.82277509
p_179553,37.872939,-122.455446,20,10662.9600571
p_179554,37.809579,-122.412277,1,0
p_179554,37.8131938364347,-122.415849870762,2,509.86442953
p_179554,37.856071418995,-122.476513340937,3,7662.95021597
p_179554,37.856636,-122.478275,4,7830.16826311
p_179559,37.809579,-122.412277,1,0
p_179559,37.8129062346176,-122.415897440175,2,487.87194064
p_179559,37.8208949484189,-122.425995941735,3,1743.60179158
p_179559,37.8251099647169,-122.431408581561,4,2411.41028216
p_179559,37.8282595540095,-122.433751226482,5,2817.29780522
p_179559,37.8345105489169,-122.437239782306,6,3576.04665981
p_179559,37.841556671026,-122.440928201969,7,4422.8357356
p_179559,37.8469106808107,-122.444617864584,8,5100.04487151
p_179559,37.8501593462213,-122.44634817686,9,5491.46647214
p_179559,37.8533969790454,-122.448108229038,10,5882.786543
p_179559,37.8574544043641,-122.450152891598,11,6367.75290268
p_179559,37.860502195436,-122.451096917016,12,6716.09005074
p_179559,37.8638309902203,-122.451290329343,13,7085.95765677
p_179559,37.8668398909131,-122.45181766261,14,7423.13546221
p_179559,37.8682914991525,-122.452341260339,15,7590.71278074
p_179559,37.872939,-122.455446,16,8174.4256142
p_179560,37.809579,-122.412277,1,0
p_179560,37.8131938364347,-122.415849870762,2,509.86442953
p_179560,37.856071418995,-122.476513340937,3,7662.95021597
p_179560,37.856636,-122.478275,4,7830.16826311
p_179560,37.8565579130369,-122.476374726101,5,7997.62293539
p_179560,37.859503220974,-122.457824099307,6,9662.51704546
p_179560,37.8619658995431,-122.453906877002,7,10102.44904858
p_179560,37.8694107063945,-122.452818759695,8,10934.30598688
p_179560,37.872939,-122.455446,9,11389.05961134
p_179561,37.795497,-122.393365,1,0
p_179561,37.8016528986563,-122.389219409004,2,774.69338643
p_179561,37.8037990770135,-122.390335011174,3,1032.36911552
p_179561,37.8125476078278,-122.402682477603,4,2490.16499926
p_179561,37.8137355032808,-122.405786761889,5,2793.6491821
p_179561,37.8140420538508,-122.409521603927,6,3124.27228931
p_179561,37.8129691213044,-122.412480374892,7,3410.73226562
p_179561,37.8115896136944,-122.41335345485,8,3582.06495573
p_179561,37.809579,-122.412277,9,3824.52589538
p_179561,37.8268580798635,-122.432842188155,10,6462.13077429
p_179561,37.8324453582022,-122.436096208555,11,7145.2489754
p_179561,37.8416075787504,-122.440482062136,12,8233.01278686
p_179561,37.8457413788374,-122.443594603389,13,8767.40523391
p_179561,37.8578198872145,-122.450049276951,14,10223.43157305
p_179561,37.8629580412485,-122.451039630986,15,10800.35539978
p_179561,37.8687659579537,-122.444956027629,16,11638.28246139
p_179561,37.8696594429698,-122.440994611492,17,12000.6740049
p_179561,37.8687964896161,-122.435215608532,18,12518.10069146
p_179561,37.8697341024847,-122.435685860098,19,12630.09382456
p_179561,37.8702380815878,-122.43622272039,20,12703.30897245
p_179561,37.8705587937673,-122.437252911761,21,12800.69149315
p_179561,37.8707535111952,-122.438442710246,22,12907.58537176
p_179561,37.8707535111952,-122.441010933804,23,13133.55408625
p_179561,37.8707270359984,-122.44336458841,24,13340.66453886
p_179561,37.870360508516,-122.447528883107,25,13709.31842929
p_179561,37.8708251415327,-122.451365131365,26,14050.77379044
p_179561,37.8720367523889,-122.454483727822,27,14356.34867047
p_179561,37.872939,-122.455446,28,14487.48595248
p_179562,37.8727005630294,-122.455453977925,1,0
p_179562,37.8664755978994,-122.451332158823,2,780.3325432
p_179562,37.860936164204,-122.45040891913,3,1400.51986876
p_179562,37.8456276695931,-122.443761593323,4,3197.55580403
p_179562,37.8415448675253,-122.44025328248,5,3745.92945188
p_179562,37.8294723418877,-122.434125806275,6,5190.38893041
p_179562,37.8251118355651,-122.430899946011,7,5751.54678805
p_179562,37.809579,-122.412277,8,8130.84803086
p_179563,37.856636,-122.478275,1,0
p_179563,37.8555399700604,-122.476145643969,2,223.41640758
p_179563,37.8424707805075,-122.45608630164,3,2508.39059668
p_179563,37.809579,-122.412277,4,7819.14823865
p_179564,37.872939,-122.455446,1,0
p_179564,37.8694787256854,-122.45347302113,2,421.47904483
p_179564,37.8622361884325,-122.454023470477,3,1226.81462737
p_179564,37.8571329670924,-122.458637427111,4,1923.73332063
p_179564,37.8563361893713,-122.467536358223,5,2711.84415279
p_179564,37.856263754609,-122.475242649081,6,3390.07294162
p_179564,37.856636,-122.478275,7,3660.10968074
p_179564,37.8555399700604,-122.476145643969,8,3883.52608832
p_179564,37.8424707805075,-122.45608630164,9,6168.50027742
p_179564,37.809579,-122.412277,10,11479.25791939
p_179565,37.8687964896161,-122.435215608532,1,0
p_179565,37.8697470339333,-122.441928516041,2,600.00510537
p_179565,37.8682897943026,-122.445762456721,3,974.11920891
