route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
11636,c_15536_b_28420_d_127,t_371718_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371716_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371715_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371717_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371747_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371745_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371746_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_127,t_371748_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371719_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371720_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371721_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371779_b_28420_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371750_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371782_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371751_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_15536_b_28420_d_96,t_371749_b_28420_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378217_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378216_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378215_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378219_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378218_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378220_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_24,t_1378221_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378222_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378223_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378224_b_29840_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378228_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378230_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378229_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378227_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378226_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29840_d_96,t_1378225_b_29840_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378216_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378215_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378217_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378219_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378218_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378221_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_24,t_1378220_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378222_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378224_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378223_b_29841_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378225_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378230_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378228_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378229_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378227_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29841_d_96,t_1378226_b_29841_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29842_d_24,t_1378217_b_29842_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29842_d_24,t_1378215_b_29842_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29842_d_24,t_1378216_b_29842_tn_0,,Angel Island,0,,p_179511,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
11636,c_21401_b_29842_d_24,t_1378220_b_29842_tn_0,,Tiburon,1,,p_179510,,,,1.0t+0.00,1.0t+0.00,0.00,,,,
