fare_id,route_id,origin_id,destination_id,contains_id
1,CC,SJC,SCC,
1,CC,SCC,SJC,
1,CC,SCC,GAC,
1,CC,GAC,SCC,
2,CC,OKJ,EMY,
2,CC,EMY,OKJ,
3,CC,EMY,BKY,
3,CC,BKY,EMY,
3,CC,OAC,OKJ,
3,CC,OKJ,OAC,
4,CC,SJC,GAC,
4,CC,GAC,SJC,
4,CC,RSV,RLN,
4,CC,RLN,RSV,
5,CC,BKY,RIC,
5,CC,RIC,BKY,
5,CC,EMY,RIC,
5,CC,RIC,EMY,
5,CC,OKJ,BKY,
5,CC,BKY,OKJ,
5,CC,HAY,OAC,
5,CC,OAC,HAY,
5,CC,DAV,SAC,
5,CC,SAC,DAV,
5,CC,OAC,EMY,
5,CC,EMY,OAC,
6,CC,ARN,RLN,
6,CC,RLN,ARN,
7,CC,OKJ,RIC,
7,CC,RIC,OKJ,
7,CC,OAC,BKY,
7,CC,BKY,OAC,
7,CC,HAY,OKJ,
7,CC,OKJ,HAY,
7,CC,FMT,HAY,
7,CC,HAY,FMT,
7,CC,GAC,FMT,
7,CC,FMT,GAC,
8,CC,SUI,FFV,
8,CC,FFV,SUI,
8,CC,SCC,FMT,
8,CC,FMT,SCC,
8,CC,ARN,RSV,
8,CC,RSV,ARN,
8,CC,RSV,SAC,
8,CC,SAC,RSV,
9,CC,SFC,BKY,
9,CC,BKY,SFC,
10,CC,MTZ,SUI,
10,CC,SUI,MTZ,
10,CC,RIC,MTZ,
10,CC,MTZ,RIC,
10,CC,OAC,RIC,
10,CC,RIC,OAC,
10,CC,HAY,BKY,
10,CC,BKY,HAY,
10,CC,HAY,EMY,
10,CC,EMY,HAY,
10,CC,FMT,OAC,
10,CC,OAC,FMT,
10,CC,SJC,FMT,
10,CC,FMT,SJC,
11,CC,FFV,DAV,
11,CC,DAV,FFV,
11,CC,MTZ,FFV,
11,CC,FFV,MTZ,
11,CC,BKY,MTZ,
11,CC,MTZ,BKY,
11,CC,EMY,MTZ,
11,CC,MTZ,EMY,
11,CC,SFC,RIC,
11,CC,RIC,SFC,
11,CC,HAY,RIC,
11,CC,RIC,HAY,
11,CC,FMT,OKJ,
11,CC,OKJ,FMT,
11,CC,GAC,HAY,
11,CC,HAY,GAC,
12,CC,RSV,DAV,
12,CC,DAV,RSV,
12,CC,SUI,DAV,
12,CC,DAV,SUI,
12,CC,OKJ,MTZ,
12,CC,MTZ,OKJ,
12,CC,FMT,EMY,
12,CC,EMY,FMT,
12,CC,SCC,HAY,
12,CC,HAY,SCC,
13,CC,FFV,SAC,
13,CC,SAC,FFV,
13,CC,FMT,BKY,
13,CC,BKY,FMT,
13,CC,GAC,OAC,
13,CC,OAC,GAC,
13,CC,SJC,HAY,
13,CC,HAY,SJC,
14,CC,ARN,SAC,
14,CC,SAC,ARN,
14,CC,RLN,DAV,
14,CC,DAV,RLN,
14,CC,SUI,SAC,
14,CC,SAC,SUI,
14,CC,MTZ,DAV,
14,CC,DAV,MTZ,
14,CC,RIC,SUI,
