trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5806133_b_82012_tn_0,09:28:00,09:28:00,4208869,1,Adeline Dr./Sisters of Mercy,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:33:00,09:33:00,4208870,2,Adeline Dr./Sisters of Mercy,0,0,1200.5417681520657,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:37:00,09:37:00,4208871,3,Adeline Dr./Sisters of Mercy,0,0,2599.4559483918238,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:38:00,09:38:00,4208872,4,Adeline Dr./Sisters of Mercy,0,0,2964.7057815815792,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:42:00,09:42:00,4208873,5,Adeline Dr./Sisters of Mercy,0,0,3473.4135019895016,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:44:00,09:44:00,4208874,6,Adeline Dr./Sisters of Mercy,0,0,4025.6598706929767,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:45:00,09:45:00,4208875,7,Adeline Dr./Sisters of Mercy,0,0,4374.013279764838,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:52:00,09:52:00,4208848,8,Adeline Dr./Sisters of Mercy,0,0,6129.53874907064,1,,,,,1,1,,,,,,,,,,,
t_5806133_b_82012_tn_0,09:58:00,09:58:00,4208869,9,Adeline Dr./Sisters of Mercy,0,0,8791.530638999997,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:26:00,09:26:00,4208876,1,Chess Dr / Lakeside Dr,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:36:00,09:36:00,4208879,2,Chess Dr / Lakeside Dr,0,0,4440.92068153709,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:39:00,09:39:00,4208881,3,Chess Dr / Lakeside Dr,0,0,5786.17198220342,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:41:00,09:41:00,4208969,4,Chess Dr / Lakeside Dr,0,0,6629.801914133454,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:43:00,09:43:00,4208970,5,Chess Dr / Lakeside Dr,0,0,7160.501278543696,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:45:00,09:45:00,4208971,6,Chess Dr / Lakeside Dr,0,0,7583.246576952731,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:48:00,09:48:00,4242117,7,Chess Dr / Lakeside Dr,0,0,8840.37286274808,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:50:00,09:50:00,4208972,8,Chess Dr / Lakeside Dr,0,0,10066.052525906913,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:50:30,09:50:30,4208973,9,Chess Dr / Lakeside Dr,0,0,10309.08337906888,1,,,,,1,1,,,,,,,,,,,
t_5806134_b_82012_tn_0,09:51:00,09:51:00,4242118,10,Chess Dr / Lakeside Dr,0,0,10474.233480960007,1,,,,,1,1,,,,,,,,,,,
t_5806135_b_82012_tn_0,15:32:00,15:32:00,4208876,1,SMMC / Alameda de las Pulgas,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5806135_b_82012_tn_0,15:38:00,15:38:00,4209074,2,SMMC / Alameda de las Pulgas,0,0,1965.4129243585521,1,,,,,1,1,,,,,,,,,,,
t_5806135_b_82012_tn_0,15:42:00,15:42:00,4209723,3,SMMC / Alameda de las Pulgas,0,0,3783.695790421895,1,,,,,1,1,,,,,,,,,,,
