timetable_id,stop_id,stop_sequence,stop_name,connected_routes
6132,4208933,1,Millbrae Intermodal Station (East),"BAY Shuttle/Burlingame Bayside , BPT Shuttle/Burlingame Point, NFC Shuttle/North Foster City "
6132,4209064,2,E. 3rd Ave & S. Norfolk (SE Corner) ,NFC Shuttle/North Foster City 
6132,4208970,3,300-310 Lakeside,"FCC Shuttle/Foster City Commuter, LC Shuttle/Lincoln Centre, NFC Shuttle/North Foster City "
6132,4208969,4,353 Lakeside,"FCC Shuttle/Foster City Commuter, LC Shuttle/Lincoln Centre, NFC Shuttle/North Foster City "
6132,4242117,5,1149 Chess Drive,"FCC Shuttle/Foster City Commuter, NFC Shuttle/North Foster City "
6132,4208972,6,200 Lincoln Centre,"FCC Shuttle/Foster City Commuter, LC Shuttle/Lincoln Centre, NFC Shuttle/North Foster City "
6132,4208973,7,E. 3rd Ave. & Lincoln Centre,"FCC Shuttle/Foster City Commuter, LC Shuttle/Lincoln Centre, NFC Shuttle/North Foster City "
6132,4242118,8,Cul-de-Sac (4000/4001 E. 3rd Ave.),"FCC Shuttle/Foster City Commuter, NFC Shuttle/North Foster City "
6132,4208977,9,Bridgepointe Circle & Bridgepointe Pkwy (AM Only),NFC Shuttle/North Foster City 
6132,4208933,10,Millbrae Intermodal Station (East),"BAY Shuttle/Burlingame Bayside , BPT Shuttle/Burlingame Point, NFC Shuttle/North Foster City "
6133,4208933,1,Millbrae Intermodal Station (East),"BAY Shuttle/Burlingame Bayside , BPT Shuttle/Burlingame Point, NFC Shuttle/North Foster City "
6133,4243136,2,Bridgepointe Pkwy & Chess Dr (PM Only) ,NFC Shuttle/North Foster City 
6133,4242117,3,1149 Chess Drive,"FCC Shuttle/Foster City Commuter, NFC Shuttle/North Foster City "
6133,4208972,4,200 Lincoln Centre,"FCC Shuttle/Foster City Commuter, LC Shuttle/Lincoln Centre, NFC Shuttle/North Foster City "
