route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_short_name
Creekside/WCI,3,ffffff,7A99AC,2,605,https://countyconnection.com/routes/605/,605
Cal High/Pine Valley Middle,3,ffffff,7A99AC,2,622,https://countyconnection.com/routes/622/,622
Miramonte High/OIS/Orinda BART,3,ffffff,7A99AC,2,606,https://countyconnection.com/routes/606/,606
Rossmoor/WCI,3,ffffff,7A99AC,2,601,https://countyconnection.com/routes/601/,601
Saint Mary's College/Lafayette BART,3,ffffff,7A99AC,2,626,https://countyconnection.com/routes/626/,626
Acalanes High/Lafayette BART,3,ffffff,7A99AC,2,625,https://countyconnection.com/routes/625/,625
Walnut Blvd/WCI,3,ffffff,7A99AC,2,602,https://countyconnection.com/routes/602/,602
Dublin BART/San Ramon,3,ffffff,9C629D,2,335,https://countyconnection.com/routes/335/,335
Concord BART/Walnut Creek BART,3,ffffff,46A076,2,311,https://countyconnection.com/routes/311/,311
Concord BART/Clayton Rd,3,ffffff,9C629D,2,310,https://countyconnection.com/routes/310/,310
BART Walnut Creek/Bishop Ranch,3,ffffff,DE9634,2,96X,https://countyconnection.com/routes/96x/,96X
Martinez Amtrak/Pleasant Hill BART,3,ffffff,46A076,2,316,https://countyconnection.com/routes/316/,316
Concord BART/Bel Air Dr,3,ffffff,9C629D,2,315,https://countyconnection.com/routes/315/,315
Concord BART/DVC,3,ffffff,46A076,2,314,https://countyconnection.com/routes/314/,314
Pleasanton ACE/Mitchell Dr,3,ffffff,DE9634,2,92X,https://countyconnection.com/routes/92x/,92X
Alamo Creek Shuttle,3,ffffff,46A076,2,ALCR,https://countyconnection.com/routes/alamo-creek-shuttle/,ALCR
DVC/Concord BART,3,ffffff,006493,2,20,https://countyconnection.com/routes/20/,20
Walnut Creek BART/San Ramon,3,ffffff,006493,2,21,https://countyconnection.com/routes/21/,21
Concord BART/Amtrak,3,ffffff,006493,2,28,https://countyconnection.com/routes/28/,28
Martinez Amtrak/North Concord BART,3,ffffff,46A076,2,99X,https://countyconnection.com/routes/99x/,99X
Rossmoor/Shadelands,3,ffffff,006493,2,1,https://countyconnection.com/routes/1/,1
DVC/Concord BART,3,ffffff,9C629D,2,320,https://countyconnection.com/routes/320/,320
Walnut Creek BART/San Ramon,3,ffffff,9C629D,2,321,https://countyconnection.com/routes/321/,321
Walnut Creek BART/Creekside Dr,3,ffffff,46A076,2,5,https://countyconnection.com/routes/5/,5
Walnut Creek BART/Broadway Plaza,3,ffffff,46A076,2,4,https://countyconnection.com/routes/4/,4
Pleasant Hill BART/Shadelands,3,ffffff,46A076,2,7,https://countyconnection.com/routes/7/,7
Lafayette BART/Orinda BART,3,ffffff,006493,2,6,https://countyconnection.com/routes/6/,6
DVC/Walnut Creek BART,3,ffffff,006493,2,9,https://countyconnection.com/routes/9/,9
San Ramon/BART Walnut Creek,3,ffffff,DE9634,2,95X,https://countyconnection.com/routes/95x/,95X
Oak Grove Middle/Pleasant Hill BART,3,ffffff,7A99AC,2,619,https://countyconnection.com/routes/619/,619
Bollinger Canyon/Camino Tassajara,3,ffffff,7A99AC,2,635,https://countyconnection.com/routes/635/,635
Broadmoor/Dublin/Pleasanton BART,3,ffffff,7A99AC,2,636,https://countyconnection.com/routes/636/,636
Pine Hollow Middle/Concord BART,3,ffffff,7A99AC,2,612,https://countyconnection.com/routes/612/,612
Oak Grove Middle/Concord BART,3,ffffff,7A99AC,2,613,https://countyconnection.com/routes/613/,613
Walnut Creek BART/John Muir Med Ctr,3,ffffff,9C629D,2,301,https://countyconnection.com/routes/301/,301
Oak Grove Middle/Concord BART,3,ffffff,7A99AC,2,611,https://countyconnection.com/routes/611/,611
Oak Grove Middle/Concord BART,3,ffffff,7A99AC,2,616,https://countyconnection.com/routes/616/,616
Concord High/El Dorado/Concord BART,3,ffffff,7A99AC,2,615,https://countyconnection.com/routes/615/,615
Walnut Creek BART/Antioch BART,3,ffffff,DE9634,2,93X,https://countyconnection.com/routes/93x/,93X
Concord Commuter Express,3,ffffff,DE9634,2,91X,https://countyconnection.com/routes/91x/,91X
Dublin BART/Bishop Ranch,3,ffffff,DE9634,2,97X,https://countyconnection.com/routes/97x/,97X
Monte Vista High/Annabel,3,ffffff,7A99AC,2,623,https://countyconnection.com/routes/623/,623
Concord BART/Pleasant Hill BART,3,ffffff,46A076,2,11,https://countyconnection.com/routes/11/,11
Concord BART/Clayton Rd,3,ffffff,006493,2,10,https://countyconnection.com/routes/10/,10
Martinez Amtrak/Walnut Creek BART,3,ffffff,DE9634,2,98X,https://countyconnection.com/routes/98x/,98X
Concord BART/Pleasant Hill BART,3,ffffff,006493,2,15,https://countyconnection.com/routes/15/,15
Concord BART/Walnut Creek BART,3,ffffff,46A076,2,14,https://countyconnection.com/routes/14/,14
Concord BART/North Concord BART,3,ffffff,006493,2,17,https://countyconnection.com/routes/17/,17
Martinez Amtrak/Concord BART,3,ffffff,46A076,2,16,https://countyconnection.com/routes/16/,16
Martinez Amtrak/Concord BART,3,ffffff,006493,2,19,https://countyconnection.com/routes/19/,19
Martinez Amtrak/Pleasant Hill BART,3,ffffff,006493,2,18,https://countyconnection.com/routes/18/,18
Dublin/Pleasanton BART/San Ramon,3,ffffff,006493,2,35,https://countyconnection.com/routes/35/,35
