block_id,bikes_allowed,route_id,wheelchair_accessible,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_1096,1,93X,1,,1,Antioch BART,shp-93X-01,3_merged_1478086,953020,
a_5207,1,310,1,,1,CLAYTON,shp-310-01,3_merged_1478082,665070,
b_10001314,1,314,1,,0,DVC Via Monument,shp-314-52,5,1266070,
b_24,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478088,1238080,
a_502,1,15,1,681020,0,PH  BART,shp-15-51,4_merged_1478084,681020_merged_1478975,
a_10307,1,314,1,,0,DVC Via Monument,shp-314-52,3_merged_1478082,492070,
b_210,1,10,1,1125040,1,Washington Blvd /Clayton rd,shp-10-03,2_merged_1478087,1125040_merged_1479629,
a_16904,1,99X,1,,0,Martinez Amtrak,shp-99X-55,1_merged_1478081,137040,
a_8904,1,10,1,,0,Concord BART,shp-10-53,1_merged_1478081,900040,
b_10003311,1,311,1,,1,Concord BART Via PH  BART,shp-311-01,1_merged_1478085,74010,
a_7107,1,314,1,,1,Concord BART,shp-314-01,3_merged_1478082,783070,
b_316,1,16,1,189020,1,AMTRAK Via Downtown PH,shp-16-01,3_merged_1478086,189020_merged_1479706,
a_4402,1,14,1,457020,0,Walnut Creek BART Via PH  BART,shp-14-51,4_merged_1478084,457020_merged_1478818,
a_11502,1,9,1,1340020,1,DVC/PH  BART,shp-9-01,4_merged_1478084,1340020_merged_1478819,
a_11402,1,7,1,36020,0,PH BART  Via Shadelands,shp-7-04,4_merged_1478084,36020_merged_1478148,
a_12904,1,10,1,1423040,1,Washington Blvd /Clayton rd,shp-10-03,1_merged_1478081,1423040_merged_1478779,
a_1807,1,4,1,64070,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,3_merged_1478082,64070_merged_1479205,
a_4904,1,19,1,,0,Concord BART,shp-19-51,1_merged_1478081,763040,
a_14204,1,7,1,868040,0,PH BART  Via Shadelands,shp-7-04,1_merged_1478081,868040_merged_1478488,
a_3302,1,91X,1,1378020,1,Airport Plaza,shp-91X-01,4_merged_1478084,1378020_merged_1478292,
b_16,1,6,1,443010,1,Lafayette BART Via St Marys College,shp-6-01,1_merged_1478085,443010_merged_1480050,
a_10804,1,6,1,704040,0,Orinda BART  Via St Marys College,shp-6-51,1_merged_1478081,704040_merged_1479228,
b_100024,1,4,1,1323020,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,3_merged_1478086,1323020_merged_1479391,
a_5207,1,320,1,,1,Concord BART Via Diamond Blvd,shp-320-01,3_merged_1478082,990070,
b_1000111,1,11,1,,0,PH  BART,shp-11-51,2_merged_1478087,1135040,
b_1210,1,20,1,,0,DVC,shp-20-51,2_merged_1478087,937040,
a_13204,1,16,1,764040,1,AMTRAK Via Downtown PH,shp-16-01,1_merged_1478081,764040_merged_1479072,
b_2000119,1,19,1,,1,Martinez AMTRAK,shp-19-01,3_merged_1478086,803020,
b_135,1,35,1,,0,Dublin BART Via Bollinger Canyon,shp-35-52,3_merged_1478086,754020,
b_7606,1,606,1,916040,0,Orinda/Miner Rd,shp-606-03,2_merged_1478087,916040_merged_1480127,
a_5002,1,21,1,657020,1,Walnut Creek BART,shp-21-01,4_merged_1478084,657020_merged_1478236,
a_10704,1,4,1,794040,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,1_merged_1478081,794040_merged_1478169,
b_2000117,1,17,1,,0,Concord BART Via John Muir Concord,shp-17-51,4_merged_1478088,1086080,
a_3104,1,7,1,,0,PH BART  Via Shadelands,shp-7-04,1_merged_1478081,1449040,
a_10002,1,28,1,,1,Martinez AMTRAK Via VA Clinic,shp-28-51,4_merged_1478084,271020,
b_19,1,9,1,,1,DVC/PH  BART,shp-9-01,4_merged_1478088,1109080,
b_10002310,1,310,1,,1,CLAYTON,shp-310-01,1_merged_1478085,1305010,
b_1000114,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,4_merged_1478088,742080,
b_193,1,93X,1,,0,WC  BART,shp-93X-51,4_merged_1478088,694080,
b_221,1,21,1,,0,San Ramon TC,shp-21-51,4_merged_1478088,24080,
b_100011,1,1,1,,0,Rossmoor Via Walnut Creek BART,shp-1-52,2_merged_1478087,138040,
a_7001,1,311,1,248010,0,WC  BART Via PH  BART,shp-311-51,2_merged_1478083,248010_merged_1479218,
b_1010,1,10,1,,1,Washington Blvd /Clayton rd,shp-10-03,3_merged_1478086,1142020,
b_1000116,1,16,1,440040,1,AMTRAK Via Downtown PH,shp-16-01,2_merged_1478087,440040_merged_1479657,
b_510,1,10,1,,1,Clayton,shp-10-01,3_merged_1478086,1252020,
a_12202,1,17,1,,1,N Concord BART Via John Muir Concord,shp-17-01_merged_1478092,4_merged_1478084,1006020,
a_10804,1,6,1,586040,0,Orinda BART Via Orinda Village,shp-6-02,1_merged_1478081,586040_merged_1479008,
a_1802,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478084,291020,
a_3402,1,92X,1,274020,0,ACE Train,shp-92X-51,4_merged_1478084,274020_merged_1479041,
a_6901,1,310,1,854010,0,Concord BART,shp-310-51,2_merged_1478083,854010_merged_1479292,
b_1296,1,93X,1,,1,Antioch BART,shp-93X-01,4_merged_1478088,940080,
b_810,1,20,1,,0,DVC,shp-20-51,3_merged_1478086,904020,
b_1000298,1,98X,1,,0,WC  BART,shp-98X-51,2_merged_1478087,614040,
b_199,1,99X,1,,1,BART N CONCORD,shp-99X-02_merged_1478095,4_merged_1478088,422080,
b_2311,1,315,1,310070,0,Concord BART Via Clayton/Treat,shp-315-01,5,310070_merged_1479818,
a_15704,1,20,1,449040,0,DVC,shp-20-51,1_merged_1478081,449040_merged_1478741,
a_10602,1,35,1,738020,0,San Ramon  TC Via Crow Canyon,shp-35-03,4_merged_1478084,738020_merged_1479322,
b_10001316,1,316,1,,1,Downtown PH Via Martinez,shp-316-01,5,931070,
a_7904,1,16,1,,1,AMTRAK Via Downtown PH,shp-16-01,1_merged_1478081,112040,
a_3202,1,9,1,,0,WC  BART Via PH  BART,shp-9-51,4_merged_1478084,619020,
b_100015,1,5,1,,0,Creekside,shp-5-51,4_merged_1478088,1457080,
a_1902,1,5,1,,1,Walnut Creek BART,shp-5-01,4_merged_1478084,660020,
b_110,1,10,1,,0,Concord BART,shp-10-53,4_merged_1478088,175080,
b_100019,1,9,1,,1,DVC/PH  BART,shp-9-01,4_merged_1478088,771080,
b_17,1,7,1,,0,PH BART  Via Shadelands,shp-7-04,4_merged_1478088,1063080,
a_13401,1,320,1,500010,1,Concord BART Via Diamond Blvd,shp-320-01,2_merged_1478083,500010_merged_1478580,
b_118,1,18,1,204040,0,PH  BART,shp-18-51,2_merged_1478087,204040_merged_1479554,
a_7704,1,98X,1,1058040,0,WC  BART,shp-98X-51,1_merged_1478081,1058040_merged_1478758,
b_1000119,1,19,1,600020,0,Concord BART,shp-19-51,3_merged_1478086,600020_merged_1479485,
b_3314,1,314,1,,0,DVC Via Monument,shp-314-52,1_merged_1478085,696010,
a_8602,1,20,1,,1,Concord BART,shp-20-01,4_merged_1478084,169020,
b_1000115,1,15,1,,0,PH  BART,shp-15-51,4_merged_1478088,76080,
b_221,1,21,1,1080020,1,Walnut Creek BART,shp-21-01,3_merged_1478086,1080020_merged_1480482,
a_7404,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,1_merged_1478081,1366040,
b_1000218,1,18,1,,0,PH  BART,shp-18-51,4_merged_1478088,183080,
a_6901,1,310,1,1342010,0,Concord BART,shp-310-51,2_merged_1478083,1342010_merged_1478216,
b_10001310,1,320,1,,0,DVC Via Diamond,shp-320-51,5,643070,
a_17002,1,20,1,856020,1,Concord BART,shp-20-01,4_merged_1478084,856020_merged_1478817,
b_1000316,1,16,1,,0,Concord BART Via Downtown PH,shp-16-51,4_merged_1478088,296080,
a_12401,1,314,1,695010,1,Concord BART,shp-314-01,2_merged_1478083,695010_merged_1478440,
b_311,1,11,1,4020,0,PH  BART,shp-11-51,3_merged_1478086,4020_merged_1479337,
a_8902,1,10,1,,0,Concord BART,shp-10-51,4_merged_1478084,552020,
b_1000610,1,10,1,,0,Concord BART,shp-10-53,4_merged_1478088,1038080,
a_9904,1,21,1,153040,1,Walnut Creek BART,shp-21-01,1_merged_1478081,153040_merged_1478664,
a_7101,1,314,1,,1,Concord BART,shp-314-01,2_merged_1478083,667010,
a_9304,1,20,1,590040,0,DVC,shp-20-51,1_merged_1478081,590040_merged_1479265,
b_215,1,15,1,,1,Concord BART Via John Muir Concord,shp-15-04,4_merged_1478088,65080,
b_496,1,96X,1,892040,0,Walnut Creek BART Via Bishop Ranch,shp-96X-05,2_merged_1478087,892040_merged_1480550,
b_314,1,14,1,37020,0,Walnut Creek BART Via PH  BART,shp-14-51,3_merged_1478086,37020_merged_1480456,
b_1000215,1,15,1,562040,0,PH  BART,shp-15-51,2_merged_1478087,562040_merged_1480494,
a_17002,1,10,1,1028020,0,Concord BART,shp-10-53,4_merged_1478084,1028020_merged_1478775,
b_221,1,21,1,,1,Walnut Creek BART,shp-21-01,2_merged_1478087,217040,
a_13202,1,16,1,,0,Concord BART Via Downtown PH,shp-16-51,4_merged_1478084,1104020,
a_1607,1,321,1,717070,1,WC  BART,shp-321-01,3_merged_1478082,717070_merged_1478474,
a_3804,1,98X,1,,0,WC  BART,shp-98X-51,1_merged_1478081,1458040,
a_2602,1,612,1,501020,0,Concord Blvd At Ayers Rd,shp-612-02,4_merged_1478084,501020_merged_1478476,
b_1000119,1,19,1,862020,1,Martinez AMTRAK,shp-19-01,3_merged_1478086,862020_merged_1480307,
b_15,1,5,1,,0,Creekside,shp-5-51,4_merged_1478088,1258080,
a_1104,1,28,1,15040,1,Martinez AMTRAK Via VA Clinic,shp-28-51,1_merged_1478081,15040_merged_1478175,
a_7604,1,9,1,367040,1,DVC/PH  BART,shp-9-01,1_merged_1478081,367040_merged_1479033,
b_228,1,28,1,,1,Martinez AMTRAK Via VA Clinic,shp-28-51,2_merged_1478087,1014040,
a_2002,1,6,1,411020,0,Orinda BART  Via St Marys College,shp-6-51,4_merged_1478084,411020_merged_1478717,
b_1110,1,20,1,704020,0,DVC,shp-20-51,3_merged_1478086,704020_merged_1479955,
b_1110,1,20,1,690040,0,DVC,shp-20-51,2_merged_1478087,690040_merged_1480275,
b_1314,1,314,1,1170010,1,Concord BART,shp-314-01,1_merged_1478085,1170010_merged_1479702,
a_13104,1,14,1,941040,0,Walnut Creek BART Via PH  BART,shp-14-51,1_merged_1478081,941040_merged_1478159,
b_26,1,6,1,1244040,1,Lafayette BART Via St Marys College,shp-6-01,2_merged_1478087,1244040_merged_1480564,
b_100015,1,5,1,517040,0,Creekside,shp-5-51,2_merged_1478087,517040_merged_1480107,
a_4504,1,15,1,,1,Concord BART,shp-15-02,1_merged_1478081,1191040,
b_47,1,7,1,425020,0,PH BART  Via Shadelands,shp-7-04,3_merged_1478086,425020_merged_1479597,
b_10003310,1,310,1,,1,CLAYTON,shp-310-01,1_merged_1478085,1313010,
a_4004,1,10,1,,0,Concord BART,shp-10-53,1_merged_1478081,798040,
b_19,1,9,1,,0,WC  BART Via PH  BART,shp-9-51,4_merged_1478088,555080,
b_16,1,6,1,,1,Lafayette BART Via St Marys College,shp-6-01,4_merged_1478088,962080,
b_119,1,19,1,,1,Martinez AMTRAK,shp-19-01,3_merged_1478086,832020,
b_47,1,7,1,,0,PH BART  Via Shadelands,shp-7-04,4_merged_1478088,613080,
b_499,1,99X,1,,1,BART N CONCORD,shp-99X-03_merged_1478094,4_merged_1478088,1276080,
a_16602,1,35,1,874020,0,Dublin BART Via Bollinger Canyon,shp-35-52,4_merged_1478084,874020_merged_1478499,
a_12902,1,20,1,419020,1,Concord BART,shp-20-01,4_merged_1478084,419020_merged_1478952,
b_100021,1,1,1,1455040,1,Shadelands Via Walnut Creek BART,shp-1-01,2_merged_1478087,1455040_merged_1480393,
a_17304,1,10,1,,1,Clayton,shp-10-01,1_merged_1478081,897040,
b_26,1,6,1,842020,0,Orinda BART  Via St Marys College,shp-6-51,3_merged_1478086,842020_merged_1479537,
b_100016,1,6,1,174020,1,Lafayette BART Via St Marys College,shp-6-01,3_merged_1478086,174020_merged_1479969,
a_5102,1,28,1,,1,Martinez AMTRAK Via VA Clinic,shp-28-51,4_merged_1478084,758020,
b_10002321,1,321,1,,1,WC  BART,shp-321-01,5,915070,
a_7902,1,16,1,,1,AMTRAK Via Downtown PH,shp-16-01,4_merged_1478084,542020,
a_1002,1,21,1,,1,Walnut Creek BART,shp-21-01,4_merged_1478084,1356020,
a_1201,1,310,1,484010,0,Concord BART,shp-310-51,2_merged_1478083,484010_merged_1478944,
a_13102,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,4_merged_1478084,879020,
b_410,1,10,1,,0,Concord BART,shp-10-51,2_merged_1478087,488040,
