shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
DB0088,-122.017422,37.5903968,10001,
DB0088,-122.017417,37.590393,10002,
DB0088,-122.017221,37.590248,10003,
DB0088,-122.017042,37.590124,10004,
DB0088,-122.016748,37.589897,10005,
DB0088,-122.01658,37.589797,10006,
DB0088,-122.01652,37.589759,10007,
DB0088,-122.016505,37.589663,10008,
DB0088,-122.016582,37.589575,10009,
DB0088,-122.0167526,37.5894386,10010,
DB0088,-122.016837,37.589339,10011,
DB0088,-122.017084,37.589134,10012,
DB0088,-122.017329,37.588955,10013,
DB0088,-122.017504,37.588918,10014,
DB0088,-122.018133,37.58936,10015,
DB0088,-122.0186521,37.5896958,10016,
DB0088,-122.018958,37.589903,10017,
DB0088,-122.019417,37.590213,10018,
DB0088,-122.019573,37.59031,10019,
DB0088,-122.019712,37.590387,10020,
DB0088,-122.019845,37.590447,10021,
DB0088,-122.019973,37.590492,10022,
DB0088,-122.020086,37.590521,10023,
DB0088,-122.02034,37.590575,10024,
DB0088,-122.020481,37.590615,10025,
DB0088,-122.0206363,37.5901633,10026,
DB0088,-122.0206363,37.5901633,20001,
DB0088,-122.020896,37.589408,20002,
DB0088,-122.020915,37.589353,20003,
DB0088,-122.021124,37.588746,20004,
DB0088,-122.021269,37.588324,20005,
DB0088,-122.021532,37.587563,20006,
DB0088,-122.021568,37.587475,20007,
DB0088,-122.021612,37.58733,20008,
DB0088,-122.021651,37.587221,20009,
DB0088,-122.021728,37.587016,20010,
DB0088,-122.021752,37.586956,20011,
DB0088,-122.021871,37.586589,20012,
DB0088,-122.0218748,37.5865784,20013,
DB0088,-122.0218748,37.5865784,30001,
DB0088,-122.021927,37.586432,30002,
DB0088,-122.022192,37.585673,30003,
DB0088,-122.022554,37.584632,30004,
DB0088,-122.0227249,37.5841429,30005,
DB0088,-122.022779,37.583988,30006,
DB0088,-122.022916,37.583584,30007,
DB0088,-122.0229794,37.5833911,30008,
DB0088,-122.023172,37.582848,30009,
DB0088,-122.0231819,37.5828186,30010,
DB0088,-122.0231819,37.5828186,40001,
DB0088,-122.023343,37.582342,40002,
DB0088,-122.023436,37.582091,40003,
DB0088,-122.023648,37.58146,40004,
DB0088,-122.0237068,37.5812997,40005,
DB0088,-122.023724,37.581253,40006,
DB0088,-122.0238267,37.5809612,40007,
DB0088,-122.0238267,37.5809612,50001,
DB0088,-122.023893,37.580773,50002,
DB0088,-122.024064,37.580367,50003,
DB0088,-122.024177,37.580146,50004,
DB0088,-122.024476,37.579695,50005,
DB0088,-122.024897,37.579175,50006,
DB0088,-122.025579,37.578473,50007,
DB0088,-122.025758,37.578284,50008,
DB0088,-122.0259483,37.5780945,50009,
DB0088,-122.026131,37.577912,50010,
DB0088,-122.026306,37.577718,50011,
DB0088,-122.026948,37.576986,50012,
DB0088,-122.027052,37.576872,50013,
DB0088,-122.027267,37.57661,50014,
DB0088,-122.0272931,37.5765805,50015,
DB0088,-122.0272931,37.5765805,60001,
DB0088,-122.027638,37.576191,60002,
DB0088,-122.027941,37.575862,60003,
DB0088,-122.0282559,37.5754983,60004,
DB0088,-122.02827,37.575482,60005,
DB0088,-122.029049,37.574612,60006,
DB0088,-122.029122,37.57453,60007,
