trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
9656928,6:18:00,6:18:00,56336,1,,0,0,,1
9656928,6:24:00,6:24:00,56414,2,,0,0,,0
9656928,6:24:00,6:24:00,56424,3,,0,0,,0
9656928,6:25:00,6:25:00,52259,4,,0,0,,0
9656928,6:26:00,6:26:00,55032,5,,0,0,,0
9656928,6:26:00,6:26:00,55839,6,,0,0,,0
9656928,6:27:00,6:27:00,58493,7,,0,0,,1
9656928,6:34:00,6:34:00,57675,8,,0,0,,0
9656928,6:35:00,6:35:00,54299,9,,0,0,,0
9656928,6:35:00,6:35:00,53189,10,,0,0,,0
9656928,6:48:00,6:48:00,51397,11,,0,0,,1
9656928,6:52:00,6:52:00,51313,12,,0,0,,0
9656928,6:53:00,6:53:00,54232,13,,0,0,,0
9656928,6:53:00,6:53:00,53187,14,,0,0,,0
9656928,6:55:00,6:55:00,54720,15,,0,0,,0
9656928,6:56:00,6:56:00,53171,16,,0,0,,0
9656928,6:56:00,6:56:00,56762,17,,0,0,,0
9656928,6:57:00,6:57:00,57718,18,,0,0,,0
9656928,6:58:00,6:58:00,50782,19,,1,0,,1
9656936,6:48:00,6:48:00,56336,1,,0,0,,1
9656936,6:54:00,6:54:00,56414,2,,0,0,,0
9656936,6:54:00,6:54:00,56424,3,,0,0,,0
9656936,6:55:00,6:55:00,52259,4,,0,0,,0
9656936,6:56:00,6:56:00,55032,5,,0,0,,0
9656936,6:56:00,6:56:00,55839,6,,0,0,,0
9656936,6:57:00,6:57:00,58493,7,,0,0,,1
9656936,7:04:00,7:04:00,57675,8,,0,0,,0
9656936,7:05:00,7:05:00,54299,9,,0,0,,0
9656936,7:05:00,7:05:00,53189,10,,0,0,,0
9656936,7:18:00,7:18:00,51397,11,,0,0,,1
9656936,7:22:00,7:22:00,51313,12,,0,0,,0
9656936,7:23:00,7:23:00,54232,13,,0,0,,0
9656936,7:23:00,7:23:00,53187,14,,0,0,,0
9656936,7:25:00,7:25:00,54720,15,,0,0,,0
9656936,7:26:00,7:26:00,53171,16,,0,0,,0
9656936,7:26:00,7:26:00,56762,17,,0,0,,0
9656936,7:27:00,7:27:00,57718,18,,0,0,,0
9656936,7:28:00,7:28:00,50782,19,,1,0,,1
9656940,7:18:00,7:18:00,56336,1,,0,0,,1
9656940,7:24:00,7:24:00,56414,2,,0,0,,0
9656940,7:24:00,7:24:00,56424,3,,0,0,,0
9656940,7:25:00,7:25:00,52259,4,,0,0,,0
9656940,7:26:00,7:26:00,55032,5,,0,0,,0
9656940,7:26:00,7:26:00,55839,6,,0,0,,0
9656940,7:27:00,7:27:00,58493,7,,0,0,,1
9656940,7:34:00,7:34:00,57675,8,,0,0,,0
9656940,7:35:00,7:35:00,54299,9,,0,0,,0
9656940,7:35:00,7:35:00,53189,10,,0,0,,0
9656940,7:48:00,7:48:00,51397,11,,0,0,,1
9656940,7:53:00,7:53:00,51313,12,,0,0,,0
9656940,7:53:00,7:53:00,54232,13,,0,0,,0
9656940,7:54:00,7:54:00,53187,14,,0,0,,0
9656940,7:56:00,7:56:00,54720,15,,0,0,,0
9656940,7:57:00,7:57:00,53171,16,,0,0,,0
9656940,7:57:00,7:57:00,56762,17,,0,0,,0
9656940,7:58:00,7:58:00,57718,18,,0,0,,0
9656940,7:59:00,7:59:00,50782,19,,1,0,,1
9656951,8:00:00,8:00:00,56336,1,,0,0,,1
9656951,8:06:00,8:06:00,56414,2,,0,0,,0
9656951,8:06:00,8:06:00,56424,3,,0,0,,0
9656951,8:07:00,8:07:00,52259,4,,0,0,,0
9656951,8:08:00,8:08:00,55032,5,,0,0,,0
9656951,8:08:00,8:08:00,55839,6,,0,0,,0
9656951,8:09:00,8:09:00,58493,7,,0,0,,1
9656951,8:16:00,8:16:00,57675,8,,0,0,,0
9656951,8:17:00,8:17:00,54299,9,,0,0,,0
9656951,8:17:00,8:17:00,53189,10,,0,0,,0
9656951,8:30:00,8:30:00,51397,11,,0,0,,1
9656951,8:35:00,8:35:00,51313,12,,0,0,,0
9656951,8:35:00,8:35:00,54232,13,,0,0,,0
9656951,8:36:00,8:36:00,53187,14,,0,0,,0
9656951,8:38:00,8:38:00,54720,15,,0,0,,0
9656951,8:39:00,8:39:00,53171,16,,0,0,,0
9656951,8:39:00,8:39:00,56762,17,,0,0,,0
9656951,8:40:00,8:40:00,57718,18,,0,0,,0
9656951,8:41:00,8:41:00,50782,19,,1,0,,1
9656924,8:29:00,8:29:00,56336,1,,0,0,,1
9656924,8:35:00,8:35:00,56414,2,,0,0,,0
9656924,8:35:00,8:35:00,56424,3,,0,0,,0
9656924,8:36:00,8:36:00,52259,4,,0,0,,0
9656924,8:37:00,8:37:00,55032,5,,0,0,,0
9656924,8:37:00,8:37:00,55839,6,,0,0,,0
9656924,8:38:00,8:38:00,58493,7,,0,0,,1
9656924,8:45:00,8:45:00,57675,8,,0,0,,0
9656924,8:46:00,8:46:00,54299,9,,0,0,,0
9656924,8:46:00,8:46:00,53189,10,,0,0,,0
9656924,8:59:00,8:59:00,51397,11,,0,0,,1
9656924,9:04:00,9:04:00,51313,12,,0,0,,0
9656924,9:04:00,9:04:00,54232,13,,0,0,,0
9656924,9:05:00,9:05:00,53187,14,,0,0,,0
9656924,9:07:00,9:07:00,54720,15,,0,0,,0
9656924,9:08:00,9:08:00,53171,16,,0,0,,0
9656924,9:08:00,9:08:00,56762,17,,0,0,,0
9656924,9:09:00,9:09:00,57718,18,,0,0,,0
9656924,9:10:00,9:10:00,50782,19,,1,0,,1
9656938,9:00:00,9:00:00,56336,1,,0,0,,1
9656938,9:06:00,9:06:00,56414,2,,0,0,,0
9656938,9:06:00,9:06:00,56424,3,,0,0,,0
9656938,9:07:00,9:07:00,52259,4,,0,0,,0
9656938,9:08:00,9:08:00,55032,5,,0,0,,0
9656938,9:08:00,9:08:00,55839,6,,0,0,,0
9656938,9:09:00,9:09:00,58493,7,,0,0,,1
9656938,9:16:00,9:16:00,57675,8,,0,0,,0
9656938,9:17:00,9:17:00,54299,9,,0,0,,0
9656938,9:17:00,9:17:00,53189,10,,0,0,,0
9656938,9:30:00,9:30:00,51397,11,,0,0,,1
9656938,9:35:00,9:35:00,51313,12,,0,0,,0
9656938,9:35:00,9:35:00,54232,13,,0,0,,0
9656938,9:36:00,9:36:00,53187,14,,0,0,,0
9656938,9:38:00,9:38:00,54720,15,,0,0,,0
9656938,9:39:00,9:39:00,53171,16,,0,0,,0
9656938,9:39:00,9:39:00,56762,17,,0,0,,0
9656938,9:40:00,9:40:00,57718,18,,0,0,,0
9656938,9:41:00,9:41:00,50782,19,,1,0,,1
9656947,9:51:00,9:51:00,56336,1,,0,0,,1
9656947,9:57:00,9:57:00,56414,2,,0,0,,0
9656947,9:57:00,9:57:00,56424,3,,0,0,,0
9656947,9:58:00,9:58:00,52259,4,,0,0,,0
9656947,9:59:00,9:59:00,55032,5,,0,0,,0
9656947,9:59:00,9:59:00,55839,6,,0,0,,0
9656947,10:00:00,10:00:00,58493,7,,0,0,,1
9656947,10:07:00,10:07:00,57675,8,,0,0,,0
9656947,10:08:00,10:08:00,54299,9,,0,0,,0
9656947,10:08:00,10:08:00,53189,10,,0,0,,0
9656947,10:21:00,10:21:00,51397,11,,0,0,,1
9656947,10:26:00,10:26:00,51313,12,,0,0,,0
9656947,10:26:00,10:26:00,54232,13,,0,0,,0
9656947,10:27:00,10:27:00,53187,14,,0,0,,0
9656947,10:29:00,10:29:00,54720,15,,0,0,,0
9656947,10:30:00,10:30:00,53171,16,,0,0,,0
9656947,10:30:00,10:30:00,56762,17,,0,0,,0
9656947,10:31:00,10:31:00,57718,18,,0,0,,0
9656947,10:32:00,10:32:00,50782,19,,1,0,,1
9656926,10:57:00,10:57:00,56336,1,,0,0,,1
9656926,11:03:00,11:03:00,56414,2,,0,0,,0
9656926,11:03:00,11:03:00,56424,3,,0,0,,0
9656926,11:04:00,11:04:00,52259,4,,0,0,,0
9656926,11:05:00,11:05:00,55032,5,,0,0,,0
9656926,11:05:00,11:05:00,55839,6,,0,0,,0
9656926,11:06:00,11:06:00,58493,7,,0,0,,1
9656926,11:13:00,11:13:00,57675,8,,0,0,,0
9656926,11:14:00,11:14:00,54299,9,,0,0,,0
9656926,11:14:00,11:14:00,53189,10,,0,0,,0
9656926,11:27:00,11:27:00,51397,11,,0,0,,1
9656926,11:31:00,11:31:00,51313,12,,0,0,,0
9656926,11:32:00,11:32:00,54232,13,,0,0,,0
9656926,11:32:00,11:32:00,53187,14,,0,0,,0
9656926,11:34:00,11:34:00,54720,15,,0,0,,0
9656926,11:35:00,11:35:00,53171,16,,0,0,,0
9656926,11:35:00,11:35:00,56762,17,,0,0,,0
9656926,11:36:00,11:36:00,57718,18,,0,0,,0
9656926,11:37:00,11:37:00,50782,19,,1,0,,1
9656954,11:52:00,11:52:00,56336,1,,0,0,,1
9656954,11:58:00,11:58:00,56414,2,,0,0,,0
9656954,11:58:00,11:58:00,56424,3,,0,0,,0
9656954,11:59:00,11:59:00,52259,4,,0,0,,0
9656954,12:00:00,12:00:00,55032,5,,0,0,,0
9656954,12:00:00,12:00:00,55839,6,,0,0,,0
9656954,12:01:00,12:01:00,58493,7,,0,0,,1
9656954,12:08:00,12:08:00,57675,8,,0,0,,0
9656954,12:09:00,12:09:00,54299,9,,0,0,,0
9656954,12:09:00,12:09:00,53189,10,,0,0,,0
9656954,12:22:00,12:22:00,51397,11,,0,0,,1
9656954,12:26:00,12:26:00,51313,12,,0,0,,0
9656954,12:27:00,12:27:00,54232,13,,0,0,,0
9656954,12:27:00,12:27:00,53187,14,,0,0,,0
9656954,12:29:00,12:29:00,54720,15,,0,0,,0
9656954,12:30:00,12:30:00,53171,16,,0,0,,0
9656954,12:30:00,12:30:00,56762,17,,0,0,,0
9656954,12:31:00,12:31:00,57718,18,,0,0,,0
9656954,12:32:00,12:32:00,50782,19,,1,0,,1
