shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_899325,37.8293891352597,-122.266360633893,1,0
p_899325,37.8293500408401,-122.266093905387,2,23.87915984
p_899325,37.8286871701942,-122.266256947728,3,98.84037089
p_899325,37.82741,-122.26664,4,244.55359643
p_899325,37.82686,-122.26676,5,306.50726397
p_899325,37.82724,-122.26907,6,514.2034452
p_899325,37.8289426318828,-122.268628431681,7,707.14096807
p_899325,37.8298029056001,-122.268400687429,8,804.70781991
p_899325,37.8307,-122.27391,9,1299.83298736
p_899325,37.83091,-122.27522,10,1417.48927395
p_899325,37.83096,-122.27552,11,1444.47617803
p_899325,37.83098,-122.27563,12,1454.41106293
p_899325,37.83099,-122.27573,13,1463.28412351
p_899325,37.83098,-122.27581,14,1470.41374292
p_899325,37.83097,-122.27588,15,1476.67525993
p_899325,37.83095,-122.27594,16,1482.40479336
p_899325,37.83108,-122.27666,17,1547.41062182
p_899325,37.83119,-122.27735,18,1609.36859606
p_899325,37.83122,-122.2775,19,1622.98696024
p_899325,37.83124,-122.27764,20,1635.50995253
p_899325,37.83128,-122.2779,21,1658.82523247
p_899325,37.83133,-122.27823,22,1688.40154653
p_899325,37.83136,-122.2784,23,1703.73315521
p_899325,37.83118,-122.27937,24,1791.43150617
p_899325,37.83118,-122.27939,25,1793.19217474
p_899325,37.83109,-122.27984,26,1834.04730354
p_899325,37.83106,-122.27997,27,1845.96623713
p_899325,37.831,-122.28027,28,1873.20302592
p_899325,37.83084,-122.28108,29,1946.68849619
p_899325,37.83075,-122.2815,30,1984.98838982
p_899325,37.83061,-122.28218,31,2046.83543758
p_899325,37.8305,-122.28269,32,2093.36333251
p_899325,37.83038,-122.28329,33,2147.83731761
p_899325,37.83015,-122.28442,34,2250.53967308
p_899325,37.83005,-122.28491,35,2295.08174949
p_899325,37.82999,-122.28518,36,2319.76645101
p_899325,37.82994,-122.28542,37,2341.61151338
p_899325,37.82972,-122.28652,38,2441.48125847
p_899325,37.82965,-122.28685,39,2471.55387141
p_899325,37.8295,-122.28761,40,2540.50106895
p_899325,37.82943,-122.28794,41,2570.57376514
