trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
2_Trip8_H_HOL,13:00:00,13:00:00,2309331,0,,0,0,0,1,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:05:00,13:05:00,2319181,1,,0,0,2023.21970176329,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:05:30,13:05:30,2316832,2,,0,0,2229.0740476353,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:06:30,13:06:30,7800785,3,,0,0,2774.6479659645,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:07:00,13:07:00,2316833,4,,0,0,3075.54748927163,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:09:00,13:09:00,2319184,5,,0,0,3439.43926999034,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:10:00,13:10:00,2318569,6,,0,0,3926.17362919402,1,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:12:00,13:12:00,2319185,7,,0,0,4119.76086183667,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:14:00,13:14:00,2319186,8,,0,0,4527.24418887973,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:14:30,13:14:30,2318570,9,,0,0,4751.75756839051,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:19:00,13:19:00,2318571,10,,0,0,5630.61861802474,1,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:24:00,13:24:00,2318572,11,,0,0,6471.28145185427,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:24:30,13:24:30,2319187,12,,0,0,6810.1069190987,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:25:30,13:25:30,2318573,13,,0,0,7111.24769689439,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:27:00,13:27:00,2318574,14,,0,0,7723.22888805352,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:27:30,13:27:30,7807094,15,,0,0,8138.51298957315,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:29:00,13:29:00,2318575,16,,0,0,8587.76789393218,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:30:00,13:30:00,2319189,17,,0,0,8800.85775107665,0,,,,,1,1,,,,,,,,,,,
2_Trip8_H_HOL,13:32:30,13:32:30,2309331,18,,0,0,10153.22358231,1,,,,,1,1,,,,,,,,,,,
1_Trip1_H_HOL,06:00:00,06:00:00,2309331,0,,0,0,0,1,,,,,1,1,,,,,,,,,,,
1_Trip1_H_HOL,06:05:00,06:05:00,2319181,1,,0,0,2023.21970176329,0,,,,,1,1,,,,,,,,,,,
