stop_id,stop_city
795555,Sacramento
28708,Fairfield
28745,Fairfield
28609,Fairfield
28665,Fairfield
2455473,Vacaville
28680,Fairfield
28552,Fairfield
28747,Travis Afb
28611,Fairfield
28571,Fairfield
5414,Sacramento
28710,Fairfield
28729,Fairfield
28753,Fairfield
28660,Fairfield
28736,Fairfield
28752,Travis Afb
28696,Fairfield
28547,Fairfield
28678,Fairfield
28701,Fairfield
28712,Fairfield
28615,Fairfield
28687,Fairfield
795460,Fairfield
28677,Fairfield
28694,Fairfield
28627,Suisun City
28761,Fairfield
795462,Sacramento
9827,El Cerrito
28742,Fairfield
795052,Suisun City
795053,Suisun City
28545,Fairfield
28711,Fairfield
28748,Travis Afb
28703,Fairfield
5413,Davis
28723,Fairfield
28730,Fairfield
28574,Fairfield
28676,Fairfield
28600,Fairfield
2455430,Fairfield
795554,Sacramento
28725,Travis Afb
28587,Fairfield
28754,Suisun City
28592,Fairfield
28674,Fairfield
28737,Fairfield
28598,Fairfield
28603,Fairfield
28728,Fairfield
28722,Fairfield
28738,Fairfield
28589,Fairfield
2455475,Sacramento
28565,Fairfield
28721,Suisun City
28750,Suisun City
28637,Suisun City
28601,Fairfield
28759,Suisun City
28672,Fairfield
795057,Suisun City
28731,Fairfield
28648,Suisun City
28658,Suisun City
28550,Fairfield
28697,Fairfield
2335944,Fairfield
28626,Suisun City
28549,Fairfield
28751,Travis Afb
28647,Suisun City
28625,Suisun City
28713,Fairfield
28595,Fairfield
28580,Fairfield
795461,Suisun City
28653,Suisun City
28629,Suisun City
28541,Fairfield
28621,Fairfield
28593,Fairfield
28699,Fairfield
28667,Suisun City
2751008,Walnut Creek
28657,Suisun City
28548,Fairfield
28642,Suisun City
28562,Fairfield
805482,Fairfield
28570,Fairfield
28695,Fairfield
5412,Dixon
28720,Suisun City
28649,Fairfield
4147589,Suisun City
28709,Fairfield
795054,Suisun City
28669,Fairfield
28596,Fairfield
28544,Fairfield
28688,Fairfield
28582,Fairfield
28719,Fairfield
28684,Fairfield
28542,Fairfield
28746,Fairfield
28620,Fairfield
28757,Fairfield
28633,Suisun City
28568,Fairfield
28610,Fairfield
28567,Fairfield
28693,Fairfield
28758,Suisun City
28623,Suisun City
28733,Fairfield
28679,Fairfield
28622,Suisun City
28564,Fairfield
28583,Fairfield
5416,Benicia
28546,Fairfield
5417,Walnut Creek
28732,Fairfield
28735,Fairfield
28553,Fairfield
28655,Suisun City
2618157,Fairfield
28563,Fairfield
807829,Benicia
28586,Fairfield
28726,Suisun City
28704,Fairfield
28614,Fairfield
28659,Suisun City
28744,Fairfield
28706,Fairfield
28707,Fairfield
805313,Fairfield
28675,Fairfield
2501905,Fairfield
28756,Suisun City
28717,Fairfield
28606,Fairfield
28632,Suisun City
28714,Travis AFB
28540,Fairfield
5411,Vacaville
28702,Fairfield
5425,Sacramento
2436157,Fairfield
28584,Fairfield
28635,Suisun City
28558,Fairfield
28654,Suisun City
5230,Suisun City
28551,Fairfield
28644,Suisun City
28638,Suisun City
28617,Fairfield
28608,Fairfield
28670,Fairfield
28692,Fairfield
2455474,Vacaville
28763,Fairfield
28539,Fairfield
28618,Fairfield
28602,Fairfield
28575,Fairfield
28554,Fairfield
2455431,Fairfield
28594,Fairfield
28588,Fairfield
28634,Suisun City
28569,Fairfield
28572,Fairfield
28543,Fairfield
28762,Fairfield
28579,Fairfield
28689,Fairfield
28591,Fairfield
28641,Suisun City
28663,Fairfield
795056,Suisun City
28616,Fairfield
2436313,Suisun City
5424,Sacramento
28650,Fairfield
28755,Suisun City
2618156,Fairfield
28686,Fairfield
28639,Suisun City
28561,Fairfield
28749,Travis Afb
28599,Fairfield
28656,Fairfield
28651,Fairfield
28741,Fairfield
2617959,Suisun City
795055,Suisun City
28690,Fairfield
28685,Fairfield
28555,Fairfield
28576,Fairfield
28724,Fairfield
28613,Fairfield
28607,Fairfield
5351,Fairfield
28691,Fairfield
28566,Fairfield
28700,Fairfield
28662,Fairfield
28612,Fairfield
28727,Fairfield
28630,Suisun City
28664,Fairfield
28682,Fairfield
28645,Suisun City
28597,Fairfield
28590,Fairfield
28604,Fairfield
28619,Fairfield
28743,Fairfield
5310,Fairfield
28740,Fairfield
28673,Fairfield
28585,Fairfield
28646,Suisun City
28556,Fairfield
795553,Fairfield
28715,Fairfield
28560,Fairfield
28628,Suisun City
28671,Fairfield
5410,Vacaville
28668,Fairfield
28661,Fairfield
28681,Fairfield
28666,Fairfield
28734,Fairfield
28559,Fairfield
28631,Suisun City
28581,Fairfield
28643,Suisun City
