trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5665257_b_81109_tn_1,06:00:00,06:00:00,5351,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,28672,2,,0,0,615.998473080941,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,06:04:00,06:04:00,28673,3,,0,0,1700.41940674338,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,28674,4,,0,0,2906.79963593254,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,28675,5,,0,0,3174.40978428442,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,06:09:00,06:09:00,28676,6,,0,0,3620.7560933811,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,2455431,7,,0,0,9016.30371168583,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,06:17:00,06:17:00,28678,8,,0,0,9770.44028345962,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,28677,9,,0,0,10366.5476951885,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,,,2455430,10,,0,0,11180.8619744204,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_1,06:25:00,06:25:00,28761,11,,0,0,13361.27371716,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,15:00:00,15:00:00,5351,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,,,28672,2,,0,0,615.998473080941,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,15:04:00,15:04:00,28673,3,,0,0,1700.41940674338,1,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,,,28674,4,,0,0,2906.79963593254,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,,,28675,5,,0,0,3174.40978428442,0,,,,,1,1,,,,,,,,,,,
t_5665257_b_81109_tn_10,15:09:00,15:09:00,28676,6,,0,0,3620.7560933811,1,,,,,1,1,,,,,,,,,,,
