service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
23-09-SEP-02-FWKDY-Weekday-02,1,1,1,1,1,0,0,20231114,20240112
23-09-SEP-02-FSAT-Saturday-02,0,0,0,0,0,1,0,20231118,20240113
23-09-SEP-02-FSUN-Sunday-02,0,0,0,0,0,0,1,20231119,20240107
23-09-SEP-01-WKDY-Weekday-06,1,1,1,1,1,0,0,20231114,20231117
23-09-SEP-01-WKDY-Weekday-06--0111000,0,1,1,1,0,0,0,20231114,20231117
23-09-SEP-01-SAT-Saturday-05,0,0,0,0,0,1,0,20231118,20231118
23-09-SEP-01-SUN-Sunday-05,0,0,0,0,0,0,1,20231119,20231119
23-09-SEP-01-WKDY-Weekday-05,1,1,1,1,1,0,0,20231120,20240112
23-09-SEP-01-WKDY-Weekday-05--0111000,0,1,1,1,0,0,0,20231120,20240112
23-09-SEP-01-SUN-Sunday-04,0,0,0,0,0,0,1,20231123,20240107
23-09-SEP-01-SAT-Saturday-04,0,0,0,0,0,1,0,20231125,20240113
