stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
40003,40003,"Salesforce Transit Center-Bus Plaza Bay A",,  37.790097,-122.396066,1
40006,40006,"Folsom St & 2nd St",,  37.785447,-122.396745,1
40009,40009,"Howard St & 2nd St",,  37.786690,-122.398446,1
40012,40012,"4th St & Folsom St",,  37.781803,-122.400969,1
40023,40023,"Golden Gate Ave & Polk St",,  37.781212,-122.418585,1
40024,40024,"McAllister St & Polk St",,  37.780297,-122.418820,1
40025,40025,"Van Ness Ave & O'Farrell St",,  37.784819,-122.421389,1
40026,40026,"Van Ness Ave & Geary Blvd",,  37.785626,-122.421210,1
40027,40027,"Van Ness Ave & Sutter St",,  37.787621,-122.421945,1
40028,40028,"Van Ness Ave & Bush St",,  37.788421,-122.421783,1
40029,40029,"Van Ness Ave & Sacramento St",,  37.791358,-122.422708,1
40030,40030,"Van Ness Ave & Clay St",,  37.792110,-122.422515,1
40031,40031,"Van Ness Ave & Union St",,  37.798632,-122.424168,1
40032,40032,"Van Ness Ave & Union St",,  37.798492,-122.423825,1
40033,40033,"Lombard St & Fillmore St",,  37.799755,-122.435827,1
40034,40034,"Lombard St & Fillmore St",,  37.799930,-122.436282,1
40035,40035,"Richardson Ave & Lyon St",,  37.800413,-122.447393,1
40036,40036,"Richardson Ave & Francisco St",,  37.800331,-122.446832,1
40037,40037,"Golden Gate Bridge Toll Plaza",,  37.806784,-122.475396,1
40038,40038,"Golden Gate Bridge Toll Plaza",,  37.807219,-122.475202,1
40039,40039,"Van Ness Ave & Chestnut St",,  37.802453,-122.424626,1
40041,40041,"North Point St & Hyde St",,  37.805661,-122.420474,1
40042,40042,"North Point St & Hyde St",,  37.805798,-122.420272,1
40043,40043,"North Point St & Jones St",,  37.806077,-122.417180,1
40044,40044,"North Point St & Jones St",,  37.806172,-122.417293,1
40045,40045,"North Point St & Stockton St",,  37.806907,-122.410610,1
40046,40046,"North Point St & Stockton St",,  37.807040,-122.410404,1
40047,40047,"Battery St & Filbert St",,  37.802135,-122.401836,1
40048,40048,"Sansome St & Filbert St",,  37.802338,-122.402945,1
40049,40049,"Battery St & Jackson St",,  37.796861,-122.400789,1
40050,40050,"Sansome St & Pacific Ave",,  37.797681,-122.402013,1
40051,40051,"Battery St & Sacramento St",,  37.794228,-122.400241,1
40053,40053,"Battery St & Pine St",,  37.791986,-122.399786,1
40054,40054,"1st St & Mission St",,  37.789622,-122.397454,1
40055,40055,"The Embarcadero & Bay St",,  37.806616,-122.406050,1
40057,40057,"Fremont St & Mission St",,  37.790610,-122.396795,1
40058,40058,"Battery St & Green St",,  37.800540,-122.401523,1
40063,40063,"Van Ness Ave & Chestnut St",,  37.802348,-122.424888,1
40065,40065,"North Point St & Polk St",,  37.805324,-122.423888,1
40066,40066,"Battery St & Broadway",,  37.798299,-122.401068,1
