runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_15975_b_26877_d_31,1,1,1,t_881500_b_26877_tn_0,2335520,t_883809_b_26877_tn_0,2452891
1000000,c_15975_b_26877_d_31,8,10,1,t_5526972_b_26877_tn_0,2335513,t_5526974_b_26877_tn_0,2452891
1100000,c_15975_b_26877_d_31,9,11,1,t_5526976_b_26877_tn_0,2335513,t_883846_b_26877_tn_0,2452885
1200000,c_67253_b_none_d_0,1,12,1,t_5526996_b_none_tn_0,2335520,t_5527007_b_none_tn_0,2452891
1300000,c_67253_b_none_d_0,4,13,1,t_5526952_b_none_tn_0,2561390,t_5526964_b_none_tn_0,2452885
1400000,c_67253_b_none_d_0,7,14,1,t_882138_b_none_tn_0,2335513,t_5526989_b_none_tn_0,2452885
200000,c_15975_b_26877_d_31,10,2,1,t_5526977_b_26877_tn_0,2335513,t_883854_b_26877_tn_0,2452885
300000,c_15975_b_26877_d_31,11,3,1,t_501090_b_26877_tn_0,2430878,t_501107_b_26877_tn_0,2502237
400000,c_15975_b_26877_d_31,2,4,1,t_881501_b_26877_tn_0,2335520,t_883807_b_26877_tn_0,2452891
500000,c_15975_b_26877_d_31,3,5,1,t_881502_b_26877_tn_0,2335520,t_883808_b_26877_tn_0,2452891
600000,c_15975_b_26877_d_31,4,6,1,t_881261_b_26877_tn_0,2561390,t_881449_b_26877_tn_0,2452885
700000,c_15975_b_26877_d_31,5,7,1,t_881262_b_26877_tn_0,2561390,t_881451_b_26877_tn_0,2452885
800000,c_15975_b_26877_d_31,6,8,1,t_881263_b_26877_tn_0,2561390,t_881450_b_26877_tn_0,2452885
900000,c_15975_b_26877_d_31,7,9,1,t_5526971_b_26877_tn_0,2335513,t_883852_b_26877_tn_0,2452885
