trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_501090_b_26877_tn_0,07:20:00,07:20:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501090_b_26877_tn_0,07:22:00,07:22:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501090_b_26877_tn_0,07:33:00,07:33:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501090_b_26877_tn_0,07:34:00,07:34:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501091_b_26877_tn_0,07:45:00,07:45:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501091_b_26877_tn_0,07:47:00,07:47:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501091_b_26877_tn_0,07:58:00,07:58:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501091_b_26877_tn_0,07:59:00,07:59:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501092_b_26877_tn_0,08:10:00,08:10:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501092_b_26877_tn_0,08:12:00,08:12:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501092_b_26877_tn_0,08:23:00,08:23:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501092_b_26877_tn_0,08:24:00,08:24:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501093_b_26877_tn_0,08:35:00,08:35:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501093_b_26877_tn_0,08:37:00,08:37:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501093_b_26877_tn_0,08:48:00,08:48:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501093_b_26877_tn_0,08:49:00,08:49:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501094_b_26877_tn_0,09:00:00,09:00:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501094_b_26877_tn_0,09:02:00,09:02:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501094_b_26877_tn_0,09:13:00,09:13:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501094_b_26877_tn_0,09:14:00,09:14:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501095_b_26877_tn_0,09:25:00,09:25:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_501095_b_26877_tn_0,09:27:00,09:27:00,2502237,2,,0,0,231.31950504425987,1,,,,,1,1,,,,,,,,,,,
t_501095_b_26877_tn_0,09:38:00,09:38:00,2561409,3,,0,0,2356.862144524202,1,,,,,1,1,,,,,,,,,,,
t_501095_b_26877_tn_0,09:39:00,09:39:00,2430883,4,,0,0,2562.3149412099997,1,,,,,1,1,,,,,,,,,,,
t_501096_b_26877_tn_0,09:50:00,09:50:00,2430878,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
