runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_15475_b_33575_d_31,13099,1,1,t_317996_b_33575_tn_0,2371009,t_317994_b_33575_tn_0,2371009
1000000,c_15475_b_33575_d_31,5830,10,1,t_317957_b_33575_tn_1,785023,t_317929_b_33575_tn_2,785023
10000000,c_6314_b_78501_d_4,9854,100,1,t_216281_b_78501_tn_0,785056,t_216281_b_78501_tn_0,785023
10100000,c_6314_b_78501_d_64,2362,101,1,t_216374_b_78501_tn_1,785023,t_216374_b_78501_tn_9,785023
10200000,c_6314_b_78501_d_64,2842,102,1,t_216348_b_78501_tn_1,785023,t_216352_b_78501_tn_9,785023
10300000,c_6314_b_78501_d_64,3057,103,1,t_216327_b_78501_tn_1,785023,t_216366_b_78501_tn_9,785023
10400000,c_6314_b_78503_d_27,5830,104,1,t_216286_b_78503_tn_0,785056,t_216286_b_78503_tn_0,785023
10500000,c_6314_b_78503_d_27,9803,105,1,t_372039_b_78503_tn_0,785012,t_372070_b_78503_tn_0,784982
10600000,c_6314_b_78503_d_27,9804,106,1,t_372072_b_78503_tn_0,789256,t_372076_b_78503_tn_0,785015
10700000,c_6314_b_78503_d_27,9853,107,1,t_216282_b_78503_tn_0,785056,t_216282_b_78503_tn_0,785023
10800000,c_6314_b_78503_d_27,9854,108,1,t_216280_b_78503_tn_0,785056,t_216280_b_78503_tn_0,785023
10900000,c_6314_b_78503_d_31,12601,109,1,t_216284_b_78503_tn_0,785100,t_216284_b_78503_tn_0,785062
1100000,c_15475_b_33575_d_32,2842,11,1,t_317948_b_33575_tn_1,785023,t_317923_b_33575_tn_3,785023
11000000,c_6314_b_78503_d_31,12602,110,1,t_216279_b_78503_tn_0,785056,t_216279_b_78503_tn_0,785060
11100000,c_6314_b_78503_d_31,13099,111,1,t_318312_b_78503_tn_0,2371009,t_318311_b_78503_tn_0,2371009
11200000,c_6314_b_78503_d_31,21337,112,1,t_318324_b_78503_tn_0,2371009,t_318334_b_78503_tn_0,2371009
11300000,c_6314_b_78503_d_31,21338,113,1,t_318319_b_78503_tn_0,2371009,t_318328_b_78503_tn_0,2371009
11400000,c_6314_b_78503_d_31,2356,114,1,t_318332_b_78503_tn_1,2371009,t_318308_b_78503_tn_4,785012
11500000,c_6314_b_78503_d_31,2362,115,1,t_216259_b_78503_tn_1,785023,t_216373_b_78503_tn_3,785023
11600000,c_6314_b_78503_d_31,2660,116,1,t_216368_b_78503_tn_1,785023,t_216321_b_78503_tn_0,785023
11700000,c_6314_b_78503_d_31,2842,117,1,t_216361_b_78503_tn_1,785023,t_216353_b_78503_tn_0,785023
11800000,c_6314_b_78503_d_31,3056,118,1,t_216332_b_78503_tn_1,785023,t_216328_b_78503_tn_0,785023
11900000,c_6314_b_78503_d_31,3057,119,1,t_216359_b_78503_tn_1,785023,t_216350_b_78503_tn_3,785023
1200000,c_15475_b_33575_d_32,3057,12,1,t_317928_b_33575_tn_1,785023,t_317995_b_33575_tn_13,785023
12000000,c_6314_b_78503_d_31,5830,120,1,t_216278_b_78503_tn_0,784982,t_216326_b_78503_tn_2,785023
12100000,c_6314_b_78503_d_31,6032,121,1,t_216276_b_78503_tn_0,785060,t_216276_b_78503_tn_0,785023
12200000,c_6314_b_78503_d_32,2842,122,1,t_216370_b_78503_tn_1,785023,t_216377_b_78503_tn_3,785023
12300000,c_6314_b_78503_d_32,3057,123,1,t_216323_b_78503_tn_1,785023,t_216358_b_78503_tn_13,785023
12400000,c_6314_b_78503_d_4,5830,124,1,t_216285_b_78503_tn_0,785056,t_216285_b_78503_tn_0,784982
12500000,c_6314_b_78503_d_4,6032,125,1,t_216277_b_78503_tn_0,785060,t_216277_b_78503_tn_0,785023
12600000,c_6314_b_78503_d_4,9803,126,1,t_372082_b_78503_tn_0,785012,t_372085_b_78503_tn_0,784982
12700000,c_6314_b_78503_d_4,9804,127,1,t_767537_b_78503_tn_0,789256,t_372096_b_78503_tn_0,785015
12800000,c_6314_b_78503_d_4,9853,128,1,t_216283_b_78503_tn_0,785056,t_216283_b_78503_tn_0,785023
12900000,c_6314_b_78503_d_4,9854,129,1,t_216281_b_78503_tn_0,785056,t_216281_b_78503_tn_0,785023
1300000,c_15475_b_33575_d_64,2362,13,1,t_318011_b_33575_tn_1,785023,t_318011_b_33575_tn_9,785023
13000000,c_6314_b_78503_d_64,2362,130,1,t_216374_b_78503_tn_1,785023,t_216374_b_78503_tn_9,785023
13100000,c_6314_b_78503_d_64,2842,131,1,t_216348_b_78503_tn_1,785023,t_216352_b_78503_tn_9,785023
13200000,c_6314_b_78503_d_64,3057,132,1,t_216327_b_78503_tn_1,785023,t_216366_b_78503_tn_9,785023
1400000,c_15475_b_33575_d_64,2842,14,1,t_317942_b_33575_tn_1,785023,t_317944_b_33575_tn_9,785023
1500000,c_15475_b_33575_d_64,3057,15,1,t_317980_b_33575_tn_1,785023,t_318003_b_33575_tn_9,785023
1600000,c_15475_b_78502_d_31,13099,16,1,t_317996_b_78502_tn_0,2371009,t_317994_b_78502_tn_0,2371009
