trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5742666_b_81551_tn_0,12:45:00,12:45:00,2573264,1,Larkspur,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,12:52:00,12:52:00,2573263,2,Larkspur,0,0,7363.202130726349,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,12:56:00,12:56:00,2573262,3,Larkspur,0,0,9713.627192423382,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:04:00,13:04:00,2573260,4,Larkspur,0,0,20136.14880199024,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:07:00,13:07:00,2573255,5,Larkspur,0,0,22133.34118706802,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:22:00,13:22:00,2573259,6,Larkspur,0,0,34225.58766642903,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:34:00,13:34:00,2573258,7,Larkspur,0,0,49838.18935371473,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:37:00,13:37:00,2574329,8,Larkspur,0,0,51526.57521046213,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:45:00,13:45:00,2573257,9,Larkspur,0,0,58167.26727533708,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:51:00,13:51:00,2573256,10,Larkspur,0,0,64704.86781318339,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,13:57:00,13:57:00,2573261,11,Larkspur,0,0,68906.39767099888,1,,,,,1,1,,,,,,,,,,,
t_5742666_b_81551_tn_0,14:04:00,14:04:00,2574328,12,Larkspur,0,0,72208.88862106996,1,,,,,1,1,,,,,,,,,,,
t_5742667_b_81551_tn_0,14:21:00,14:21:00,2573264,1,Larkspur,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5742667_b_81551_tn_0,14:28:00,14:28:00,2573263,2,Larkspur,0,0,7363.202130726349,1,,,,,1,1,,,,,,,,,,,
