shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100015,37.593895,-122.476088,10001
100015,37.593841,-122.476036,10002
100015,37.593615,-122.475883,10003
100015,37.593371,-122.475773,10004
100015,37.592087,-122.475615,10005
100015,37.591557,-122.475584,10006
100015,37.591465,-122.475595,10007
100015,37.591276,-122.475641,10008
100015,37.591189,-122.475675,10009
100015,37.590178,-122.476166,10010
100015,37.589700,-122.476462,10011
100015,37.589231,-122.476803,10012
100015,37.588730,-122.477133,10013
100015,37.588358,-122.477302,10014
100015,37.588154,-122.477355,10015
100015,37.587885,-122.477400,10016
100015,37.587631,-122.477392,10017
100015,37.587631,-122.477392,20001
100015,37.587426,-122.477385,20002
100015,37.587322,-122.477382,20003
100015,37.587099,-122.477341,20004
100015,37.586740,-122.477239,20005
100015,37.586496,-122.477138,20006
100015,37.585966,-122.476806,20007
100015,37.585637,-122.476587,20008
100015,37.585637,-122.476587,30001
100015,37.585376,-122.476412,30002
100015,37.584924,-122.476037,30003
100015,37.584861,-122.475971,30004
100015,37.584388,-122.475485,30005
100015,37.584322,-122.475463,30006
100015,37.584001,-122.475099,30007
100015,37.583870,-122.474927,30008
100015,37.583854,-122.474904,30009
100015,37.583854,-122.474904,40001
100015,37.583576,-122.474486,40002
100015,37.583375,-122.474187,40003
100015,37.583079,-122.474459,40004
100015,37.582891,-122.474613,40005
100015,37.582891,-122.474613,50001
100015,37.582835,-122.474659,50002
100015,37.582639,-122.474811,50003
100015,37.582217,-122.475115,50004
100015,37.582125,-122.475115,50005
100015,37.581744,-122.475447,50006
100015,37.581648,-122.475536,50007
100015,37.581574,-122.475598,50008
100015,37.581177,-122.475928,50009
100015,37.580643,-122.476389,50010
100015,37.580806,-122.476716,50011
100015,37.581645,-122.478082,50012
100015,37.581704,-122.478195,50013
100015,37.581818,-122.478414,50014
100015,37.581916,-122.478644,50015
100015,37.581973,-122.478844,50016
100015,37.582024,-122.479090,50017
100015,37.582077,-122.479485,50018
100015,37.582077,-122.479485,60001
100015,37.582091,-122.479589,60002
100015,37.582254,-122.480798,60003
100015,37.582278,-122.481072,60004
100015,37.582285,-122.482561,60005
100015,37.582308,-122.482760,60006
100015,37.582342,-122.482920,60007
100015,37.582380,-122.483025,60008
100015,37.582468,-122.483197,60009
100015,37.582560,-122.483351,60010
100015,37.582560,-122.483351,70001
100015,37.582574,-122.483374,70002
100015,37.582637,-122.483483,70003
100015,37.582830,-122.483930,70004
100015,37.583333,-122.485396,70005
100015,37.583412,-122.485580,70006
100015,37.583550,-122.485800,70007
100015,37.583615,-122.485876,70008
100015,37.583740,-122.485988,70009
100015,37.583913,-122.486113,70010
100015,37.584014,-122.486199,70011
100015,37.584110,-122.486292,70012
100015,37.584110,-122.486292,80001
100015,37.584190,-122.486369,80002
100015,37.584352,-122.486569,80003
100015,37.584461,-122.486738,80004
100015,37.584914,-122.487562,80005
100015,37.585341,-122.488308,80006
100015,37.585471,-122.488548,80007
100015,37.585618,-122.488822,80008
100015,37.585743,-122.489085,80009
100015,37.585882,-122.489491,80010
100015,37.585926,-122.489698,80011
100015,37.586055,-122.490492,80012
100015,37.586163,-122.490888,80013
100015,37.586275,-122.491169,80014
100015,37.586352,-122.491311,80015
100015,37.586792,-122.492021,80016
100015,37.587628,-122.493294,80017
100015,37.587690,-122.493323,80018
100015,37.587863,-122.493545,80019
100015,37.587970,-122.493661,80020
100015,37.588066,-122.493744,80021
100015,37.588176,-122.493812,80022
100015,37.588288,-122.493860,80023
100015,37.588418,-122.493912,80024
100015,37.588472,-122.493930,80025
100015,37.588472,-122.493930,90001
100015,37.588574,-122.493963,90002
100015,37.588712,-122.494002,90003
100015,37.589069,-122.494057,90004
100015,37.589178,-122.494069,90005
100015,37.589298,-122.494092,90006
100015,37.589411,-122.494121,90007
100015,37.589502,-122.494163,90008
100015,37.589589,-122.494214,90009
100015,37.589625,-122.494288,90010
100015,37.589703,-122.494339,90011
100015,37.589764,-122.494384,90012
100015,37.589815,-122.494427,90013
100015,37.589859,-122.494472,90014
100015,37.590038,-122.494660,90015
100015,37.590193,-122.494884,90016
100015,37.590319,-122.495101,90017
100015,37.590549,-122.495529,90018
100015,37.590708,-122.495861,90019
100015,37.590929,-122.496457,90020
100015,37.590991,-122.496530,90021
100015,37.591096,-122.496986,90022
100015,37.591105,-122.497033,90023
100015,37.591105,-122.497033,100001
100015,37.591174,-122.497381,100002
100015,37.591237,-122.497789,100003
100015,37.591304,-122.498064,100004
100015,37.591388,-122.498294,100005
100015,37.591423,-122.498383,100006
100015,37.591448,-122.498494,100007
100015,37.591507,-122.498596,100008
100015,37.591598,-122.498708,100009
100015,37.592760,-122.500012,100010
100015,37.593942,-122.501288,100011
100015,37.594031,-122.501318,100012
100015,37.594138,-122.501422,100013
100015,37.594406,-122.501694,100014
100015,37.594821,-122.502136,100015
100015,37.594850,-122.502070,100016
100015,37.594900,-122.502045,100017
100015,37.594965,-122.502063,100018
100015,37.595579,-122.502939,100019
100015,37.595579,-122.502939,110001
100015,37.595632,-122.503015,110002
100015,37.595662,-122.503091,110003
100015,37.595655,-122.503166,110004
100015,37.595614,-122.503248,110005
100015,37.595944,-122.503710,110006
100015,37.598464,-122.501078,110007
100015,37.599255,-122.500215,110008
100015,37.599255,-122.500215,120001
100015,37.599432,-122.500022,120002
100015,37.599504,-122.499942,120003
100015,37.600044,-122.499409,120004
100015,37.600214,-122.499231,120005
100015,37.600427,-122.499008,120006
100015,37.600663,-122.498815,120007
100015,37.601179,-122.498467,120008
100015,37.601382,-122.498370,120009
100015,37.601853,-122.498231,120010
100015,37.601980,-122.498206,120011
100015,37.602362,-122.498173,120012
100015,37.602685,-122.498185,120013
100015,37.602948,-122.498202,120014
100015,37.603743,-122.498358,120015
100015,37.604099,-122.498408,120016
100015,37.604245,-122.498438,120017
100015,37.604415,-122.498467,120018
100015,37.604675,-122.498480,120019
100015,37.604928,-122.498471,120020
100015,37.605108,-122.498445,120021
100015,37.605345,-122.498394,120022
100015,37.605602,-122.498324,120023
100015,37.605757,-122.498268,120024
100015,37.605922,-122.498198,120025
100015,37.606058,-122.498144,120026
100015,37.606407,-122.497988,120027
100015,37.606620,-122.497858,120028
100015,37.606813,-122.497719,120029
100015,37.606923,-122.497631,120030
100015,37.606986,-122.497568,120031
100015,37.607120,-122.497446,120032
100015,37.607459,-122.497089,120033
100015,37.607605,-122.496909,120034
100015,37.607685,-122.496787,120035
100015,37.607746,-122.496693,120036
100015,37.607976,-122.496356,120037
100015,37.608364,-122.495819,120038
100015,37.608660,-122.495317,120039
100015,37.608742,-122.495194,120040
100015,37.608808,-122.495089,120041
100015,37.608808,-122.495089,130001
100015,37.608840,-122.495039,130002
100015,37.609628,-122.493754,130003
100015,37.609723,-122.493599,130004
100015,37.609873,-122.493357,130005
100015,37.610600,-122.492182,130006
100015,37.611113,-122.491332,130007
100015,37.611551,-122.490517,130008
100015,37.611910,-122.489894,130009
100015,37.613248,-122.487826,130010
100015,37.613802,-122.487068,130011
100015,37.614075,-122.486715,130012
100015,37.614202,-122.486575,130013
100015,37.614202,-122.486575,140001
100015,37.614327,-122.486437,140002
100015,37.614660,-122.486131,140003
100015,37.614874,-122.485976,140004
100015,37.615137,-122.485808,140005
100015,37.615354,-122.485704,140006
100015,37.615728,-122.485538,140007
100015,37.615952,-122.485442,140008
100015,37.616221,-122.485374,140009
100015,37.616325,-122.485354,140010
100015,37.616427,-122.485330,140011
100015,37.616625,-122.485297,140012
100015,37.616870,-122.485268,140013
100015,37.617223,-122.485263,140014
100015,37.617408,-122.485255,140015
100015,37.618060,-122.485244,140016
100015,37.618318,-122.485224,140017
100015,37.618421,-122.485211,140018
100015,37.618690,-122.485171,140019
100015,37.619124,-122.485072,140020
100015,37.619346,-122.485042,140021
100015,37.619540,-122.485020,140022
100015,37.619815,-122.484994,140023
100015,37.620216,-122.484969,140024
100015,37.620654,-122.484955,140025
100015,37.620862,-122.484949,140026
100015,37.620862,-122.484949,150001
100015,37.621504,-122.484930,150002
100015,37.621839,-122.484928,150003
100015,37.621957,-122.484932,150004
100015,37.622187,-122.484953,150005
100015,37.622349,-122.484980,150006
100015,37.622473,-122.485004,150007
100015,37.622592,-122.485033,150008
100015,37.622702,-122.485065,150009
100015,37.622751,-122.485082,150010
100015,37.622905,-122.485134,150011
100015,37.623103,-122.485214,150012
100015,37.623279,-122.485298,150013
100015,37.623373,-122.485349,150014
100015,37.623473,-122.485408,150015
100015,37.623652,-122.485523,150016
100015,37.623753,-122.485593,150017
100015,37.623879,-122.485689,150018
100015,37.624112,-122.485884,150019
100015,37.624811,-122.486526,150020
100015,37.625002,-122.486710,150021
100015,37.625405,-122.487082,150022
100015,37.625433,-122.487108,150023
100015,37.625879,-122.487523,150024
100015,37.626011,-122.487641,150025
100015,37.626526,-122.488101,150026
100015,37.626676,-122.488245,150027
100015,37.626903,-122.488449,150028
100015,37.626997,-122.488522,150029
100015,37.627117,-122.488611,150030
100015,37.627362,-122.488766,150031
100015,37.627761,-122.488897,150032
100015,37.627932,-122.488947,150033
100015,37.628099,-122.488989,150034
100015,37.628267,-122.489024,150035
100015,37.628353,-122.489038,150036
100015,37.628515,-122.489054,150037
100015,37.628912,-122.489071,150038
100015,37.629131,-122.489071,150039
100015,37.629305,-122.489067,150040
100015,37.629840,-122.489053,150041
100015,37.630309,-122.489074,150042
100015,37.630467,-122.489081,150043
100015,37.630467,-122.489081,160001
100015,37.630565,-122.489084,160002
100015,37.630927,-122.489098,160003
100015,37.631301,-122.489121,160004
100015,37.631672,-122.489167,160005
100015,37.632023,-122.489212,160006
100015,37.632539,-122.489271,160007
100015,37.632848,-122.489294,160008
100015,37.633758,-122.489334,160009
100015,37.634340,-122.489337,160010
100015,37.634340,-122.489337,170001
100015,37.634428,-122.489337,170002
100015,37.635773,-122.489343,170003
100015,37.636082,-122.489344,170004
100015,37.636474,-122.489348,170005
100015,37.636527,-122.489351,170006
100015,37.636855,-122.489353,170007
100015,37.636910,-122.489324,170008
100015,37.636910,-122.489324,180001
100015,37.637189,-122.489353,180002
100015,37.637437,-122.489377,180003
100015,37.638142,-122.489464,180004
100015,37.638197,-122.489524,180005
100015,37.638810,-122.489671,180006
100015,37.639126,-122.489765,180007
100015,37.639477,-122.489852,180008
100015,37.640031,-122.490051,180009
100015,37.640458,-122.490222,180010
100015,37.640684,-122.490313,180011
100015,37.641284,-122.490604,180012
100015,37.641807,-122.490873,180013
100015,37.641843,-122.490890,180014
100015,37.641843,-122.490890,190001
100015,37.641992,-122.490959,190002
100015,37.643180,-122.491479,190003
100015,37.643406,-122.491550,190004
100015,37.643676,-122.491586,190005
100015,37.644043,-122.491572,190006
100015,37.644647,-122.491520,190007
100015,37.644917,-122.491479,190008
100015,37.645122,-122.491436,190009
100015,37.645410,-122.491346,190010
100015,37.645947,-122.491145,190011
100015,37.645994,-122.491131,190012
100015,37.645994,-122.491131,200001
100015,37.646148,-122.491087,200002
100015,37.646424,-122.491025,200003
100015,37.646713,-122.490965,200004
100015,37.647028,-122.490899,200005
100015,37.647185,-122.490893,200006
100015,37.647553,-122.490897,200007
100015,37.647830,-122.490849,200008
100015,37.648753,-122.490635,200009
100015,37.648956,-122.490619,200010
100015,37.648956,-122.490619,210001
100015,37.649057,-122.490611,210002
100015,37.649266,-122.490575,210003
100015,37.649281,-122.490649,210004
100015,37.649289,-122.490729,210005
100015,37.649298,-122.490965,210006
100015,37.649316,-122.491143,210007
100015,37.649339,-122.491495,210008
100015,37.649339,-122.491495,220001
100015,37.649365,-122.491876,220002
100015,37.649405,-122.492403,220003
100015,37.649453,-122.492955,220004
100015,37.650406,-122.492826,220005
100015,37.651225,-122.492646,220006
100015,37.651914,-122.492524,220007
100015,37.652135,-122.492507,220008
100015,37.651954,-122.490870,220009
100015,37.652296,-122.490867,220010
100015,37.652388,-122.490848,220011
100015,37.652388,-122.490848,230001
100015,37.652420,-122.490841,230002
