runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_69694_b_81100_d_23,13,1,1,t_5664655_b_81100_tn_0,757826,t_5664655_b_81100_tn_0,757068
1000000,c_69694_b_81100_d_31,17,10,1,t_5664651_b_81100_tn_0,757068,t_5664654_b_81100_tn_0,757211
1100000,c_69694_b_81100_d_31,18,11,1,t_5665140_b_81100_tn_0,757751,t_5665036_b_81100_tn_0,757298
1200000,c_69694_b_81100_d_31,19,12,1,t_5665138_b_81100_tn_0,757330,t_5664921_b_81100_tn_0,757277
1300000,c_69694_b_81100_d_31,2,13,1,t_5664936_b_81100_tn_0,757298,t_5664686_b_81100_tn_0,757313
1400000,c_69694_b_81100_d_31,20,14,1,t_5664688_b_81100_tn_0,757277,t_5664602_b_81100_tn_0,757717
1500000,c_69694_b_81100_d_31,201,15,1,t_5664841_b_81100_tn_0,757874,t_5664846_b_81100_tn_0,757874
1600000,c_69694_b_81100_d_31,202,16,1,t_5664947_b_81100_tn_0,810950,t_5664619_b_81100_tn_0,757169
1700000,c_69694_b_81100_d_31,203,17,1,t_5664621_b_81100_tn_0,757823,t_5664679_b_81100_tn_0,757823
1800000,c_69694_b_81100_d_31,204,18,1,t_5664740_b_81100_tn_0,757068,t_5665994_b_81100_tn_0,757457
1900000,c_69694_b_81100_d_31,205,19,1,t_5664736_b_81100_tn_0,757112,t_5664708_b_81100_tn_0,758010
200000,c_69694_b_81100_d_31,1,2,1,t_5664614_b_81100_tn_0,757457,t_5664614_b_81100_tn_0,757277
2000000,c_69694_b_81100_d_31,206,20,1,t_5665017_b_81100_tn_0,757429,t_5664739_b_81100_tn_0,757068
2100000,c_69694_b_81100_d_31,207,21,1,t_5664673_b_81100_tn_0,757865,t_5664670_b_81100_tn_0,757313
2200000,c_69694_b_81100_d_31,208,22,1,t_5664618_b_81100_tn_0,924,t_5664710_b_81100_tn_0,940
2300000,c_69694_b_81100_d_31,209,23,1,t_5664637_b_81100_tn_0,757277,t_5664866_b_81100_tn_0,757874
2400000,c_69694_b_81100_d_31,21,24,1,t_5664929_b_81100_tn_0,757277,t_5665147_b_81100_tn_0,757457
2500000,c_69694_b_81100_d_31,22,25,1,t_5664917_b_81100_tn_0,757068,t_5664885_b_81100_tn_0,757168
2600000,c_69694_b_81100_d_31,23,26,1,t_5666220_b_81100_tn_0,757717,t_5666582_b_81100_tn_0,757717
2700000,c_69694_b_81100_d_31,24,27,1,t_5664617_b_81100_tn_0,757825,t_5664699_b_81100_tn_0,757068
2800000,c_69694_b_81100_d_31,25,28,1,t_5664738_b_81100_tn_0,757717,t_5664600_b_81100_tn_0,757068
2900000,c_69694_b_81100_d_31,26,29,1,t_5664765_b_81100_tn_0,757277,t_5665142_b_81100_tn_0,757068
300000,c_69694_b_81100_d_31,10,3,1,t_5664849_b_81100_tn_1,757874,t_5664813_b_81100_tn_0,757277
3000000,c_69694_b_81100_d_31,27,30,1,t_5664721_b_81100_tn_0,757457,t_5664834_b_81100_tn_0,757717
3100000,c_69694_b_81100_d_31,28,31,1,t_5664916_b_81100_tn_0,757168,t_5664613_b_81100_tn_0,757068
3200000,c_69694_b_81100_d_31,29,32,1,t_5664887_b_81100_tn_0,757068,t_5664837_b_81100_tn_0,757717
3300000,c_69694_b_81100_d_31,3,33,1,t_5664925_b_81100_tn_0,757457,t_5664783_b_81100_tn_0,757277
3400000,c_69694_b_81100_d_31,30,34,1,t_5664998_b_81100_tn_0,757277,t_5664944_b_81100_tn_0,757717
3500000,c_69694_b_81100_d_31,31,35,1,t_5664743_b_81100_tn_0,757717,t_5664889_b_81100_tn_0,757168
3600000,c_69694_b_81100_d_31,32,36,1,t_5664816_b_81100_tn_0,757277,t_5664992_b_81100_tn_0,757277
3700000,c_69694_b_81100_d_31,33,37,1,t_5664970_b_81100_tn_0,757717,t_5664977_b_81100_tn_0,757277
3800000,c_69694_b_81100_d_31,34,38,1,t_5664633_b_81100_tn_0,757277,t_5664838_b_81100_tn_0,757717
3900000,c_69694_b_81100_d_31,35,39,1,t_5664748_b_81100_tn_0,757068,t_5664955_b_81100_tn_0,757717
400000,c_69694_b_81100_d_31,11,4,1,t_5665035_b_81100_tn_0,757298,t_5664839_b_81100_tn_0,757277
4000000,c_69694_b_81100_d_31,36,40,1,t_5664769_b_81100_tn_0,757068,t_5665096_b_81100_tn_0,757068
4100000,c_69694_b_81100_d_31,37,41,1,t_5672928_b_81100_tn_0,757277,t_5672927_b_81100_tn_0,757277
4200000,c_69694_b_81100_d_31,4,42,1,t_5664850_b_81100_tn_0,757717,t_5664805_b_81100_tn_0,757277
4300000,c_69694_b_81100_d_31,5,43,1,t_5664599_b_81100_tn_0,757168,t_5664599_b_81100_tn_0,757068
4400000,c_69694_b_81100_d_31,6,44,1,t_5664926_b_81100_tn_0,757717,t_5664812_b_81100_tn_0,757277
4500000,c_69694_b_81100_d_31,7,45,1,t_5665149_b_81100_tn_0,757457,t_5665149_b_81100_tn_0,757277
4600000,c_69694_b_81100_d_31,8,46,1,t_5664928_b_81100_tn_0,757277,t_5664882_b_81100_tn_0,757168
4700000,c_69694_b_81100_d_31,9,47,1,t_5664867_b_81100_tn_0,757168,t_5666218_b_81100_tn_0,757277
4800000,c_69694_b_81100_d_32,204,48,1,t_5666201_b_81100_tn_0,757457,t_5666209_b_81100_tn_0,757457
4900000,c_69694_b_81100_d_32,206,49,1,t_5666202_b_81100_tn_0,757457,t_5666207_b_81100_tn_0,757457
500000,c_69694_b_81100_d_31,12,5,1,t_5665307_b_81100_tn_0,757426,t_5664969_b_81100_tn_0,757717
5000000,c_69694_b_81100_d_32,27,50,1,t_5666212_b_81100_tn_0,757457,t_5666213_b_81100_tn_0,757457
5100000,c_69694_b_81100_d_32,401,51,1,t_5664756_b_81100_tn_0,924,t_5664760_b_81100_tn_0,940
5200000,c_69694_b_81100_d_32,403,52,1,t_5664898_b_81100_tn_0,757823,t_5664904_b_81100_tn_0,757823
5300000,c_69694_b_81100_d_32,404,53,1,t_5664918_b_81100_tn_0,757874,t_5664603_b_81100_tn_0,757874
5400000,c_69694_b_81100_d_32,405,54,1,t_5664913_b_81100_tn_0,757112,t_5664953_b_81100_tn_0,758010
5500000,c_69694_b_81100_d_32,406,55,1,t_5664750_b_81100_tn_0,810950,t_5664833_b_81100_tn_0,757169
5600000,c_69694_b_81100_d_32,407,56,1,t_5664912_b_81100_tn_0,757865,t_5664907_b_81100_tn_0,757313
5700000,c_69694_b_81100_d_32,408,57,1,t_5665013_b_81100_tn_0,757874,t_5665013_b_81100_tn_0,757874
5800000,c_69694_b_81100_d_32,409,58,1,t_5664656_b_81100_tn_0,757874,t_5664941_b_81100_tn_0,757277
5900000,c_69694_b_81100_d_32,802,59,1,t_5664919_b_81100_tn_0,757874,t_5664863_b_81100_tn_0,757874
600000,c_69694_b_81100_d_31,13,6,1,t_5666580_b_81100_tn_0,757717,t_5664999_b_81100_tn_0,757848
6000000,c_69694_b_81100_d_32,805,60,1,t_5664922_b_81100_tn_0,757277,t_5664607_b_81100_tn_0,757277
6100000,c_69694_b_81100_d_32,806,61,1,t_5664915_b_81100_tn_0,757874,t_5665014_b_81100_tn_0,757874
6200000,c_69694_b_81100_d_32,808,62,1,t_5665008_b_81100_tn_0,757068,t_5664731_b_81100_tn_0,757277
6300000,c_69694_b_81100_d_32,810,63,1,t_5665006_b_81100_tn_0,757277,t_5664914_b_81100_tn_0,757874
6400000,c_69694_b_81100_d_32,814,64,1,t_5664829_b_81100_tn_0,757277,t_5664830_b_81100_tn_0,757068
6500000,c_69694_b_81100_d_32,815,65,1,t_5665007_b_81100_tn_0,757277,t_5664646_b_81100_tn_0,757717
6600000,c_69694_b_81100_d_32,820,66,1,t_5664933_b_81100_tn_0,757068,t_5666583_b_81100_tn_0,757457
6700000,c_69694_b_81100_d_64,806,67,1,t_5664892_b_81100_tn_0,757717,t_5664892_b_81100_tn_0,757277
6800000,c_69694_b_81100_d_64,808,68,1,t_5664732_b_81100_tn_0,757277,t_5664934_b_81100_tn_0,757168
6900000,c_69694_b_81100_d_64,810,69,1,t_5664945_b_81100_tn_0,757068,t_5665009_b_81100_tn_0,757068
700000,c_69694_b_81100_d_31,14,7,1,t_5664630_b_81100_tn_0,757168,t_5664764_b_81100_tn_0,757277
7000000,c_69694_b_81100_d_64,812,70,1,t_5664939_b_81100_tn_0,757277,t_5664643_b_81100_tn_0,757277
7100000,c_69694_b_81100_d_64,814,71,1,t_5664733_b_81100_tn_0,757277,t_5666584_b_81100_tn_0,757717
7200000,c_69694_b_81100_d_64,815,72,1,t_5665113_b_81100_tn_0,757277,t_5665002_b_81100_tn_0,757457
7300000,c_69694_b_81100_d_64,820,73,1,t_5664923_b_81100_tn_0,757277,t_5664890_b_81100_tn_0,757068
7400000,c_69694_b_81100_d_8,36,74,1,t_5664768_b_81100_tn_0,757826,t_5664768_b_81100_tn_0,757068
7500000,c_69694_b_81100_d_96,801,75,1,t_5664836_b_81100_tn_0,757457,t_5664624_b_81100_tn_0,757277
7600000,c_69694_b_81100_d_96,802,76,1,t_5664937_b_81100_tn_0,757298,t_5664937_b_81100_tn_0,757277
7700000,c_69694_b_81100_d_96,803,77,1,t_5664848_b_81100_tn_0,757168,t_5664871_b_81100_tn_0,757068
7800000,c_69694_b_81100_d_96,804,78,1,t_5664814_b_81100_tn_0,757457,t_5664815_b_81100_tn_0,757277
