stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2618272,79225,,Dyer St & San Carlos Avenue,Far Side,37.595781,-122.070689,,,0,,America/Los_Angeles,,,1
2618273,79224,,Union Landing Transit Ctr,Terminal,37.598839,-122.065906,,,0,,America/Los_Angeles,,,1
2618274,79223,,Union Landing Transit Center (Mid-Trip),Terminal,37.598921,-122.06586,,,0,,America/Los_Angeles,,,1
2618283,79213,,Union City Bl & Rocklin Dr,Far Side,37.567764,-122.072309,,,0,,America/Los_Angeles,,,1
2618284,79212,,Union City Bl & Bay Colony Dr,Far Side,37.571584,-122.077802,,,0,,America/Los_Angeles,,,1
2618298,79197,,Union City Bl & Horner St,Nearside,37.595333,-122.080761,,,0,,America/Los_Angeles,,,1
2618299,79196,,Alvarado Bl & Union City Bl,Nearside,37.591758,-122.0804,,,0,,America/Los_Angeles,,,1
2618300,79195,,Fredi St & Alvarado Bl,Nearside,37.592052,-122.077777,,,0,,America/Los_Angeles,,,1
2618301,79194,,Horner St & Fredi St,Nearside,37.593955,-122.077348,,,0,,America/Los_Angeles,,,1
2618302,79193,,Horner St & Union City Bl,Far Side,37.595426,-122.080062,,,0,,America/Los_Angeles,,,1
2618305,79190,,Meteor Dr & Galaxy Dr,Nearside,37.584789,-122.06894,,,0,,America/Los_Angeles,,,1
2618306,79189,,Meteor Dr & Chippendale Dr,Far Side,37.583625,-122.066662,,,0,,America/Los_Angeles,,,1
2618307,79188,,Delores Dr & Polaris Ave,Nearside,37.581935,-122.065716,,,0,,America/Los_Angeles,,,1
2618308,79187,,Delores Dr & Regents Bl,Nearside,37.579629,-122.068107,,,0,,America/Los_Angeles,,,1
2618310,79185,,Delores Dr & Jean Dr,Far Side,37.575517,-122.072475,,,0,,America/Los_Angeles,,,1
2618311,79184,,Delores Dr & Shiela Wy,Far Side,37.574741,-122.072392,,,0,,America/Los_Angeles,,,1
2618312,79183,,Delores Dr & Gina Wy,Nearside,37.57311,-122.073822,,,0,,America/Los_Angeles,,,1
2618313,79182,,Delores Dr & Shirley Ct,Far Side,37.571291,-122.07628,,,0,,America/Los_Angeles,,,1
2618314,79181,,Union City Bl & Rose Dr,Far Side,37.574639,-122.079489,,,0,,America/Los_Angeles,,,1
2618315,79180,,Union City Bl & Dyer St,Far Side,37.577125,-122.080725,,,0,,America/Los_Angeles,,,1
2618316,79179,,Dyer St & Jean Dr,Far Side,37.579697,-122.078388,,,0,,America/Los_Angeles,,,1
2618317,79178,,Dyer St & Deborah Dr,Far Side,37.582102,-122.076359,,,0,,America/Los_Angeles,,,1
2618318,79177,,Dyer St & Regents Bl,Nearside,37.584848,-122.074015,,,0,,America/Los_Angeles,,,1
2618391,79093,,Union City Bl & Tara Ct,Nearside,37.599999,-122.081683,,,0,,America/Los_Angeles,,,1
