runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_69720_b_81173_d_31,1001,1001,1,5668884,7275722,5669104,7275722
1000000,c_69720_b_81173_d_31,1110,1110,1,5669129,7275731,5668895,7275731
1100000,c_69720_b_81173_d_31,1111,1111,1,5668898,7277462,5668896,7275731
1200000,c_69720_b_81173_d_31,11241,11241,1,5669131,7275731,5669133,7275731
1300000,c_69720_b_81173_d_31,11242,11242,1,5669208,7275731,5669072,7275731
1400000,c_69720_b_81173_d_31,11243,11243,1,5669108,7277462,5669077,7277462
1500000,c_69720_b_81173_d_31,11244,11244,1,5669134,7275731,5669132,7275731
1600000,c_69720_b_81173_d_31,11245,11245,1,5669073,7275731,5669073,7277462
1700000,c_69720_b_81173_d_31,11246,11246,1,5669074,7277462,5669074,7275731
1800000,c_69720_b_81173_d_31,201,201,1,5669665,7275722,5669687,7275722
1900000,c_69720_b_81173_d_31,202,202,1,5669666,7275722,5669688,7275722
200000,c_69720_b_81173_d_31,1002,1002,1,5669026,7275722,5669076,7275722
2000000,c_69720_b_81173_d_31,2101,2101,1,5669195,7279773,5668883,7275722
2100000,c_69720_b_81173_d_31,2102,2102,1,5669193,7275722,5669221,7279773
2200000,c_69720_b_81173_d_31,2901,2901,1,5669067,7275731,5668945,7275731
2300000,c_69720_b_81173_d_31,2902,2902,1,5669135,7275731,5668977,7275731
2400000,c_69720_b_81173_d_31,2903,2903,1,5668909,7275731,5669137,7275731
2500000,c_69720_b_81173_d_31,2904,2904,1,5669149,7275731,5668878,7275731
2600000,c_69720_b_81173_d_31,2905,2905,1,5816333,7275722,5668876,7275731
2700000,c_69720_b_81173_d_31,2906,2906,1,5668875,7275731,5668979,7275731
2800000,c_69720_b_81173_d_31,2907,2907,1,5668981,7275731,5668877,7275731
2900000,c_69720_b_81173_d_31,2908,2908,1,5669138,7275731,5668980,7275731
300000,c_69720_b_81173_d_31,1003,1003,1,5668921,7283933,5669405,7278073
3000000,c_69720_b_81173_d_31,301,301,1,5669627,7275722,5669626,7275722
3100000,c_69720_b_81173_d_31,302,302,1,5669628,7275722,5669625,7275722
3200000,c_69720_b_81173_d_31,401,401,1,5669502,7275722,5669561,7275722
3300000,c_69720_b_81173_d_31,402,402,1,5669562,7275722,5669521,7275722
3400000,c_69720_b_81173_d_31,501,501,1,5669484,7275722,5669499,7275722
3500000,c_69720_b_81173_d_31,502,502,1,5669532,7275722,5669500,7275722
3600000,c_69720_b_81173_d_32,1001Sat,1001Sat,1,5669107,7276556,5669015,7276071
3700000,c_69720_b_81173_d_32,1002Sat,1002Sat,1,5669036,7276556,5669206,7276071
3800000,c_69720_b_81173_d_32,1003Sat,1003Sat,1,5668916,7283933,5668918,7276071
3900000,c_69720_b_81173_d_32,1004Sat,1004Sat,1,5668849,7276556,5669121,7276071
400000,c_69720_b_81173_d_31,1004,1004,1,5669027,7275722,5669118,7283933
4000000,c_69720_b_81173_d_32,1108Sat,1108Sat,1,5669189,7275731,5668920,7277462
4100000,c_69720_b_81173_d_32,1109Sat,1109Sat,1,5668889,7275731,5668992,7275731
4200000,c_69720_b_81173_d_32,1110Sat,1110Sat,1,5669692,7277462,5668946,7275731
4300000,c_69720_b_81173_d_32,1111Sat,1111Sat,1,5669031,7275731,5669039,7275731
4400000,c_69720_b_81173_d_32,201Sat,201Sat,1,5669655,7275722,5669664,7275722
4500000,c_69720_b_81173_d_32,301Sat,301Sat,1,5669593,7275722,5669592,7275722
4600000,c_69720_b_81173_d_32,401Sat,401Sat,1,5669539,7275722,5669581,7275722
4700000,c_69720_b_81173_d_32,402Sat,402Sat,1,5669522,7275722,5669530,7275722
4800000,c_69720_b_81173_d_32,501Sat,501Sat,1,5669550,7275722,5669560,7275722
4900000,c_69720_b_81173_d_64,1001Sun,1001Sun,1,5669105,7276556,5669054,7283933
500000,c_69720_b_81173_d_31,1005,1005,1,5669320,7278073,5669408,7278073
5000000,c_69720_b_81173_d_64,1002Sun,1002Sun,1,5669106,7276556,5669175,7276071
5100000,c_69720_b_81173_d_64,1003Sun,1003Sun,1,5669191,7276556,5669178,7276071
5200000,c_69720_b_81173_d_64,1004Sun,1004Sun,1,5669180,7283933,5669174,7276071
5300000,c_69720_b_81173_d_64,1108Sun,1108Sun,1,5669061,7275731,5669214,7275731
5400000,c_69720_b_81173_d_64,1109Sun,1109Sun,1,5668940,7275731,5669099,7275731
5500000,c_69720_b_81173_d_64,1110Sun,1110Sun,1,5668941,7275731,5668935,7275731
5600000,c_69720_b_81173_d_64,1111Sun,1111Sun,1,5669140,7275731,5668987,7275722
600000,c_69720_b_81173_d_31,1006,1006,1,5669075,7275722,5669057,7278073
700000,c_69720_b_81173_d_31,1007,1007,1,5669321,7278073,5669409,7278073
800000,c_69720_b_81173_d_31,1108,1108,1,5669173,7275731,5668926,7275731
900000,c_69720_b_81173_d_31,1109,1109,1,5669128,7275731,5669045,7277462
