stop_id,stop_city
89008,Napa
7283914,Yountville
7291061,Napa
2528963,Napa
7276260,Napa
2537669,St. Helena
7293676,Napa
7276887,Napa
7276261,Napa
2528968,Napa
7291063,Thompson
7275727,Napa
7283910,Napa
7289135,Thompson
7276554,Napa
7289133,American Canyon
7285695,Larkmead
7275898,Napa
2576359,Napa
7283900,Napa
7276549,Napa
2576355,Napa
7285705,Yountville
7276555,Napa
7285704,Yountville
2528914,Napa
2529038,Napa
2576356,Napa
2529051,Napa
2528988,Napa
7291071,American Canyon
2529011,Napa
7276264,Napa
7285698,St. Helena
7285702,Rutherford
7293772,Napa
7289125,Vallejo
2528855,Napa
7283913,Napa
7293682,Napa
2628979,American Canyon
2529036,Napa
2555746,Napa
7276883,Napa
7275730,Napa
2537672,St. Helena
7283926,Barro
2528915,Napa
7291064,Napa
7285699,St. Helena
7283929,Larkmead
2529067,Napa
2528939,Napa
7291067,American Canyon
7293782,Napa
7276072,Napa
2529027,Napa
7276878,Napa
7293761,Napa
2528987,Napa
7291068,American Canyon
2537663,American Canyon
2528941,Napa
2537653,American Canyon
2528919,Napa
2529035,Napa
2537673,St. Helena
7293677,Napa
2528852,Napa
7285718,Napa
7275894,Napa
7276265,Napa
7276077,Napa
7291076,Vallejo
2528908,Napa
7285701,St. Helena
7289134,American Canyon
7284848,Napa
7276551,Napa
2528992,Yountville
7276553,Napa
7291073,Vallejo
7283918,Yountville
7275722,Napa
2537655,American Canyon
2528965,Napa
2537651,American Canyon
7285716,Napa
2528952,Napa
2529046,Napa
2528911,Napa
7289124,Vallejo
89006,Napa
7283927,Larkmead
7293727,Napa
7291065,American Canyon
7276071,Napa
7275893,Napa
7275731,Napa
2646221,American Canyon
2528907,Napa
2528954,Napa
7276266,Napa
2537675,St. Helena
7279773,Suisun City
2537670,St. Helena
7275899,Napa
2537654,American Canyon
2537666,St. Helena
7293667,Napa
7365586,Napa
2528948,Napa
2528913,Napa
2528933,Napa
2529039,Napa
2576337,Napa
2528944,Napa
2528971,Napa
2528920,Napa
2528848,Napa
7275726,Napa
7276263,Napa
7283921,St. Helena
7293784,Napa
7285700,St. Helena
7276877,Napa
2537659,American Canyon
7289137,Napa
7283917,Yountville
2528931,Napa
2528900,Napa
2529028,Napa
2529072,Napa
7283928,Larkmead
7283903,Napa
2537657,American Canyon
2529022,Napa
2528918,Napa
7289128,American Canyon
7285694,Larkmead
7282218,El Cerrito
7285709,Napa
2528956,Napa
7278615,American Canyon
7283907,Napa
7283901,Napa
2537664,St. Helena
7289126,Vallejo
2528922,Napa
7285712,Napa
7285707,Napa
2528940,Napa
7365588,Napa
7293773,Napa
2528960,Napa
2528996,Napa
2528946,Napa
2537658,American Canyon
7276069,Napa
2529054,Napa
7293730,Napa
7285710,Napa
7275729,Napa
2537662,American Canyon
7284849,St. Helena
7276075,Napa
2529069,Napa
7279774,Fairfield
7291074,Vallejo
7276550,Napa
7275892,Napa
2528898,Napa
7291060,Napa
2528910,Napa
7291072,Vallejo
2528854,Napa
2537676,St. Helena
7291070,American Canyon
7283909,Napa
7289132,American Canyon
7283915,Yountville
7289138,Napa
7276880,Napa
2528967,Napa
7276073,Napa
7276890,Napa
2529055,Napa
7293760,Vallejo
2576343,Napa
7285703,Yountville
2528943,Napa
4160257,Napa
7277462,Vallejo
2528942,Napa
2528881,Napa
2528845,Napa
7275896,Napa
7284847,Napa
2537665,St. Helena
2576353,Napa
2528906,Napa
7276070,Napa
2528964,Napa
2576354,Napa
7276884,Napa
7289127,Vallejo
2528903,Napa
7276882,Napa
7365584,Napa
2528912,Napa
2528901,Napa
7276259,Napa
2528959,Napa
2528899,Napa
2528909,Napa
2528849,Napa
7285696,Barro
7293714,Napa
2528905,Napa
2529014,Napa
2529063,Napa
2537661,American Canyon
2528947,Napa
2529075,Napa
7283908,Napa
7276879,Napa
2529010,Napa
7276262,Napa
2537652,American Canyon
2576342,Napa
7283923,St. Helena
2555754,Yountville
7291066,American Canyon
7283912,Napa
7283905,Napa
2528839,Napa
2537668,St. Helena
7283906,Napa
2576344,Napa
7291062,Napa
7276876,Napa
7283930,Calistoga
2537667,St. Helena
2528921,Napa
7289136,Thompson
2528966,Napa
7291075,Vallejo
2528902,Napa
7283925,St. Helena
7276886,Napa
7291069,American Canyon
2537656,American Canyon
2528896,Napa
7283904,Napa
2528985,Napa
2752259,American Canyon
7277463,American Canyon
7278073,Napa
2528989,Napa
2528991,Napa
2528957,Napa
2528851,Napa
7283933,Calistoga
2528958,Napa
2537650,American Canyon
2528986,Napa
7293774,Napa
7283920,Yountville
2528932,Napa
2576348,Napa
2576339,Napa
7276881,Napa
7276076,Napa
7276885,Napa
2528840,Napa
7283931,Calistoga
7275895,Napa
7283922,St. Helena
7289129,American Canyon
7283932,Calistoga
7293679,Napa
7276889,Napa
2529073,Napa
2528955,Napa
2529053,Napa
2528897,Napa
7283924,St. Helena
7276888,Napa
7285708,Napa
7285711,Napa
2529029,Napa
2529076,Napa
7283911,Napa
7275728,Napa
7365585,Napa
2529068,Napa
2576336,Napa
2529021,Napa
7276552,Napa
7289139,Napa
2529007,Napa
2528937,Napa
2576358,Napa
2529018,Napa
7285714,Napa
7283919,Yountville
2576338,Napa
7289130,American Canyon
4160258,Napa
7276074,Napa
7283899,Napa
2528904,Napa
2529071,Napa
7276891,Napa
2528938,Napa
7276556,Napa
2628978,American Canyon
7275900,Napa
7285713,Napa
7285706,Yountville
7285697,St. Helena
7285693,Larkmead
2528831,Napa
2576335,Napa
2529052,Napa
7289131,American Canyon
2528841,Napa
7283902,Napa
7285715,Napa
